date,record_number,record_type,module,short_notes,project_name,status
08/27/2026,26TMP-080124,Application Prereview,Planning,,Residential - Multiple Family Development,
08/27/2026,26-101519,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
08/25/2026,26TMP-078917,Application Prereview,Planning,,Residential - Multiple Family Development,
08/25/2026,26TMP-078811,Application Prereview,Planning,,Residential - Multiple Family Development,
08/25/2026,26-101502,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
08/25/2026,26-101501,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
08/24/2026,26-101494,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
08/24/2026,26TMP-078538,Application Prereview,Planning,,Residential - Multiple Family Development,
08/22/2026,26-101486,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
08/22/2026,26TMP-078058,Application Prereview,Planning,,Residential - Multiple Family Development,
08/19/2026,26TMP-076913,Application Prereview,Planning,,Residential - Multiple Family Development,
08/19/2026,26-101468,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
08/19/2026,26-400086,Land Use Other,Planning,,Residential - Multiple Family Development,In Process
08/18/2026,26-101458,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
08/18/2026,26TMP-076425,Application Prereview,Planning,,Residential - Multiple Family Development,
08/17/2026,26-0544,Land Use,Planning,,Residential - Multiple Family Development,In Process
08/15/2026,26TMP-075684,Application Prereview,Planning,,Residential - Multiple Family Development,
08/15/2026,26-101444,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
08/11/2026,26-0512,Land Use,Planning,,Residential - Multiple Family Development,In Process
08/11/2026,26-0520,Land Use,Planning,,Residential - Multiple Family Development,In Process
08/11/2026,26-0519,Vacation and Abandonment,Planning,,Residential - Multiple Family Development,In Process
08/11/2026,26-0518,Land Use,Planning,,Residential - Multiple Family Development,In Process
08/10/2026,26-400079,Land Use Other,Planning,,Residential - Multiple Family Development,In Process
08/06/2026,26-400078,Land Use Other,Planning,,Residential - Multiple Family Development,In Process
08/05/2026,26TMP-072370,Application Prereview,Planning,,Residential - Multiple Family Development,
08/05/2026,26-101395,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
07/16/2026,26TMP-065514,Application Prereview,Planning,,Residential - Multiple Family Development,
07/16/2026,26-101285,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
07/14/2026,26TMP-064170,Application Prereview,Planning,,Residential - Multiple Family Development,
07/14/2026,26-101254,Application Prereview,Planning,,Residential - Multiple Family Development,Complete
07/12/2026,26-101244,Application Prereview,Planning,,Residential - Multiple Family Development,Complete
07/12/2026,26TMP-063492,Application Prereview,Planning,,Residential - Multiple Family Development,
07/10/2026,26TMP-063238,Application Prereview,Planning,,Residential - Multiple Family Development,
07/10/2026,26-101238,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
07/09/2026,26TMP-062934,Application Prereview,Planning,,Residential - Multiple Family Development,
07/09/2026,26-101233,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
07/08/2026,26TMP-062400,Application Prereview,Planning,,Residential - Multiple Family Development,
07/08/2026,26-101224,Application Prereview,Planning,,Residential - Multiple Family Development,Pending
07/07/2026,26TMP-061577,Application Prereview,Planning,,Residential - Multiple Family Development,
07/07/2026,26TMP-061502,Application Prereview,Planning,,Residential - Multiple Family Development,
