date	packet	agenda	meeting	cancelled
Dec 16, 2026 2:00 PM			4205	False
Nov 18, 2026 2:00 PM			4204	False
Oct 21, 2026 2:00 PM			4203	False
Sep 16, 2026 2:00 PM			4202	False
Jul 15, 2026 2:00 PM	3950	3950	4201	False
Jun 17, 2026 2:00 PM			4200	False
May 20, 2026 2:00 PM			4199	True
Apr 15, 2026 2:00 PM			4198	True
Mar 18, 2026 2:00 PM	3863	3863	4197	False
Feb 18, 2026 2:00 PM	3844	3844	4196	False
Jan 21, 2026 2:00 PM	3820	3820	4195	False
Dec 17, 2025 2:00 PM	3801	3801	3884	False
Nov 19, 2025 2:00 PM	3783	3783	3883	False
Oct 15, 2025 2:00 PM	3756	3756	3882	False
Sep 17, 2025 2:00 PM	3721	3721	3881	False
Aug 20, 2025 2:00 PM	3723	3723	4081	False
Jul 16, 2025 2:00 PM	3692	3692	3880	False
Jun 25, 2025 12:30 PM	3679	3679	4136	False
Jun 18, 2025 2:00 PM	3667	3667	3879	False
May 21, 2025 2:00 PM	3644	3644	3878	False
Apr 23, 2025 2:00 PM	3625	3625	4117	False
Apr 16, 2025 2:00 PM	3623	3623	3877	False
Mar 19, 2025 2:00 PM	3600	3600	3876	False
Feb 19, 2025 2:00 PM			3875	True
Jan 15, 2025 2:00 PM	3561	3561	3874	False
Dec 18, 2024 2:00 PM	3548	3548	3931	False
Nov 20, 2024 2:00 AM	3505	3505	3930	False
Oct 16, 2024 2:00 PM			3933	True
Sep 18, 2024 2:00 PM	3472	3472	3663	False
Aug 29, 2024 10:00 AM	3459	3459	3867	False
Jul 17, 2024 2:00 PM	3440	3440	3662	False
Jun 20, 2024 2:00 PM	3416	3416	3661	False
May 15, 2024 2:00 PM	3387	3387	3660	False
Apr 17, 2024 2:00 PM	3361	3361	3659	False
Mar 20, 2024 2:00 PM	3351	3351	3658	False
Feb 21, 2024 2:00 PM	3330	3330	3657	False
Jan 17, 2024 2:00 PM	3299	3299	3656	False
