packet	item	architect	evidence	also_seen
udrb_txt/pkt_3299.txt	(trailing)		{}	
udrb_txt/pkt_3299.txt	6.1.a	Kobi Karp Architecture and Interior Design, Inc	{'role_block': 39}	
udrb_txt/pkt_3351.txt	(trailing)		{}	
udrb_txt/pkt_3351.txt	6.1.a		{}	
udrb_txt/pkt_3351.txt	6.2.a	BEHAR FONT PARTNERS, P.A	{'copyright': 26}	
udrb_txt/pkt_3351.txt	6.3.a		{}	MAPCONS GROUP, INC(1)
udrb_txt/pkt_3361.txt	(trailing)		{}	
udrb_txt/pkt_3361.txt	6.1.a	BURGOS LANZA & ASSOCIATES	{'role_block': 1}	
udrb_txt/pkt_3361.txt	6.2.a		{}	
udrb_txt/pkt_3361.txt	6.3.a		{}	
udrb_txt/pkt_3387.txt	(trailing)		{}	
udrb_txt/pkt_3387.txt	6.1.a	Arquitectonica	{'prose': 1}	
udrb_txt/pkt_3387.txt	6.2.a		{}	
udrb_txt/pkt_3387.txt	6.3.a	Arquitectonica	{'prose': 1}	
udrb_txt/pkt_3387.txt	6.4.a	Kobi Karp Architecture and Interior Design, Inc	{'role_block': 34}	Kobi Karp entitled Clear Residences(1)
udrb_txt/pkt_3416.txt	(trailing)		{}	
udrb_txt/pkt_3416.txt	6.1.a		{}	
udrb_txt/pkt_3416.txt	6.2.a	Sieger Suarez Architects LLC	{'prose': 1}	
udrb_txt/pkt_3416.txt	6.3.a		{}	
udrb_txt/pkt_3440.txt	(trailing)		{}	
udrb_txt/pkt_3440.txt	6.1.a		{}	
udrb_txt/pkt_3440.txt	6.2.a	Arquitectonica	{'prose': 1}	Fortin, Leavy, Skyles, Inc(1)
udrb_txt/pkt_3440.txt	6.3.a		{}	
udrb_txt/pkt_3440.txt	6.4.a	BEHAR FONT PARTNERS, P.A	{'copyright': 42}	Behar Font Partners, P(1), ALISON WALKER, FROM TREAGE LLC(1), PRIOR TO STARTING WORK(1)
udrb_txt/pkt_3440.txt	6.5.a		{}	
udrb_txt/pkt_3472.txt	(trailing)		{}	
udrb_txt/pkt_3472.txt	6.1.a		{}	
udrb_txt/pkt_3472.txt	6.2.a	SV Design Inc	{'prose': 1}	
