AggressiveKey,Shape,CrossKind,Id,Kind,DisplayName,WebsiteDomain,Intel
"bctimbersalesbranchcariboochilcotin","control-char twin","","311","Buyer","BC Timber Sales Branch Cariboo-Chilcotin","","4"
"bctimbersalesbranchcariboochilcotin","control-char twin","","473332","Buyer","BC Timber Sales Branch<LF>Cariboo-Chilcotin","","0"
"ministryofcitizensservicesprocurementservicesbranch","control-char twin","","357","Buyer","Ministry of Citizens' ServicesProcurement Services Branch","","6"
"ministryofcitizensservicesprocurementservicesbranch","control-char twin","","473335","Buyer","Ministry of Citizens' Services<LF>Procurement Services Branch","","0"
"attorneygeneralprocurementservicesbranch","control-char twin","","501","Buyer","Attorney GeneralProcurement Services Branch","","9"
"attorneygeneralprocurementservicesbranch","control-char twin","","902256","Buyer","Attorney General<LF>Procurement Services Branch","","0"
"bcparksprovincialservicesbranchministryofenvironmentandparks","control-char twin","","660","Buyer","BC Parks - Provincial Services Branch Ministry of Environment and Parks","","2"
"bcparksprovincialservicesbranchministryofenvironmentandparks","control-char twin","","797333","Buyer","BC Parks - Provincial Services Branch<LF>Ministry of Environment and Parks","","0"
"ministryofforestssouthernengineering","aggressive-only: differs by a stripped word (inc/ltd/co/architects/partners/group)","","812","Buyer","Ministry of Forests — Southern Engineering Group","","2"
"ministryofforestssouthernengineering","aggressive-only: differs by a stripped word (inc/ltd/co/architects/partners/group)","","689488","Buyer","Ministry of ForestsSouthern Engineering Group","","0"
"cityspacesconsulting","fuzzy twin (check 4)","CROSS-KIND","4905","Vendor","CitySpaces Consulting Ltd.","","1"
"cityspacesconsulting","fuzzy twin (check 4)","CROSS-KIND","927792","Architect","CitySpaces Consulting","cityspaces.ca","23"
"senseengineering","fuzzy twin (check 4)","","20284","Competitor","Sense Engineering Ltd.","","2"
"senseengineering","fuzzy twin (check 4)","","927808","Competitor","Sense Engineering","senseengineering.com","89"
"christinelintott","fuzzy twin (check 4)","","70603","Architect","Christine Lintott Architects Inc.","lintottarchitect.ca","19"
"christinelintott","fuzzy twin (check 4)","","927759","Architect","Christine Lintott Architects","","0"
"babinebctimbersalesbranch","control-char twin","","71449","Buyer","Babine BC Timber Sales Branch","","0"
"babinebctimbersalesbranch","control-char twin","","473334","Buyer","Babine<LF>BC Timber Sales Branch","","0"
"continuum","aggressive-only: differs by a stripped word (inc/ltd/co/architects/partners/group)","CROSS-KIND","74300","Developer","Continuum Partners, LLC","","5"
"continuum","aggressive-only: differs by a stripped word (inc/ltd/co/architects/partners/group)","CROSS-KIND","927758","Architect","Continuum Architecture Inc","continuumarchitecture.ca","18"
"managementservicesdivisionministryofhousingandmunicipalaffairs","control-char twin","","658611","Buyer","Management Services Division<LF>Ministry of Housing and Municipal Affairs","","0"
"managementservicesdivisionministryofhousingandmunicipalaffairs","control-char twin","","658616","Buyer","Management Services Division Ministry of Housing and Municipal Affairs","","0"
"marinebranchministryoftransportationandtransit","control-char twin","","825162","Buyer","Marine Branch Ministry of Transportation and Transit","","0"
"marinebranchministryoftransportationandtransit","control-char twin","","840570","Buyer","Marine Branch<LF>Ministry of Transportation and Transit","","0"
"engineeringbranchministryofforests","control-char twin","","855968","Buyer","Engineering Branch<LF>Ministry of Forests","","0"
"engineeringbranchministryofforests","control-char twin","","855970","Buyer","Engineering Branch Ministry of Forests","","0"
"ministryofforestsregionaloperationscoastmountainsnaturalresourcedistrict","control-char twin","","902254","Buyer","Ministry of Forests<LF>Regional Operations - Coast Mountains Natural Resource District","","0"
"ministryofforestsregionaloperationscoastmountainsnaturalresourcedistrict","control-char twin","","902255","Buyer","Ministry of ForestsRegional Operations - Coast Mountains Natural Resource District","","0"
"sebaconstruction","fuzzy twin (check 4)","CROSS-KIND","927761","Developer","Seba Construction","","0"
"sebaconstruction","fuzzy twin (check 4)","CROSS-KIND","927807","GC","Seba Construction Ltd.","sebaconstruction.com","2"
