Id,Kind,DisplayName,WebsiteDomain,WhyPublic,Intel
"39028","Vendor","Encore Global Events (Canada) ULC","sd44.ca","held by SD44 North Vancouver School District","16"
"72211","Client","Provincial Health Services Authority (PHSA)","www2.gov.bc.ca","public suffix","8"
"54997","Developer","Petroglyph Development Group","snuneymuxw.ca","held by Snuneymuxw First Nation","7"
"38947","Developer","La Caisse (CDPQ)","ivanhoecambridge.com","held by Ivanhoé Cambridge","6"
"54118","Developer","Canada Lands Company Ltd.","twnation.ca","held by Tsleil-Waututh Nation | Tsleil-Waututh Nation — Economic Development","6"
"55016","Developer","Musqueam + Tsleil-Waututh + Aquilini Development","bellevuewa.gov","public suffix","6"
"68805","Developer","ICE District","majorprojects.alberta.ca","public suffix","6"
"39073","Vendor","ABC Life Literacy Canada","sd73.bc.ca","held by SD73 Kamloops-Thompson School District | School District 73 Kamloops/Thompson | Kamloops-Thompson School District No. 73 (SD73)","5"
"54074","Developer","Highland Valley Copper Corporation","golden.ca","held by Town of Golden","4"
"54101","Developer","Independent Academies Canada Inc.","okib.ca","held by Okanagan Indian Band (OKIB)","4"
"55001","Developer","Tsuma-as Housing Society","tseshaht.com","held by Tseshaht First Nation","4"
"55072","Developer","Canderel Management Inc.","ci.eureka.ca.gov","public suffix","4"
"54067","Developer","Chris Clement Group","ecuad.ca","held by Emily Carr University of Art and Design","3"
"54108","Developer","Lantzville Foothills Estates Inc","www2.gov.bc.ca","public suffix","3"
"54917","Developer","W5 Arbutus Holdings Ltd.","kennewick-wa.gov","public suffix","3"
"55065","Developer","Keltic Development","elmonteca.gov","public suffix","3"
"55095","Developer","104 Avenue and Whalley Development LP","hermosabeach.gov","public suffix","3"
"55105","Developer","Fast + Solterra Development","hpca.gov","public suffix","3"
"54075","Developer","CanCorp Properties Ltd.","rdn.bc.ca","held by Regional District of Nanaimo","2"
"54102","Developer","Dokie Wind Energy Inc.","rdos.bc.ca","held by Regional District of Okanagan Similkameen","2"
"54109","Developer","Westscapes Developments","qualicumbeach.com","held by Blind Bogey Drive, Qualicum Beach (Qualicum Beach (Town)) | Contract Admin & Project Management (Qualicum Beach (Town)) | Little Qualicum River Erosion Protection (Qualicum Beach (Town)) | Qualicum Beach (Town) | Street Line Painting (Qualicum Beach (Town)) | Town of Qualicum Beach","2"
"54117","Developer","Hills Health and Guest Ranch Ltd.","trail.ca","held by City of Trail","2"
"54955","Client","BC Ministry of Health","www2.gov.bc.ca","public suffix","2"
"54986","Developer","Takaya Developments Ltd.","twnation.ca","held by Tsleil-Waututh Nation | Tsleil-Waututh Nation — Economic Development","2"
"54999","Developer","Yos Economic Development","malahatnation.com","held by Malahat Nation","2"
"55073","Developer","Southgate Village Homes Ltd.","everettwa.gov","public suffix","2"
"55074","Developer","Southgate City Homes Ltd.","fifewa.gov","public suffix","2"
"55080","Developer","GSR Telford Development LP","glendaleca.gov","public suffix","2"
"55088","Developer","Moody Centre TOD partnership","parks.canada.ca","public suffix","2"
"55101","Developer","Huacheng Holdings","honolulu.gov","public suffix","2"
"55116","Developer","Villa Capri Enterprises","kingcounty.gov","public suffix","2"
"39006","Vendor","A.C. Consulting Solutions Inc.","ladysmith.ca","held by Town of Ladysmith","1"
"39021","Vendor","ConversArt","nelson.ca","held by City of Nelson","1"
"39026","Vendor","Neil Squire Society","cnv.org","held by City of North Vancouver","1"
"39029","Vendor","Converge Accessibilty LLC","northernhealth.ca","held by University Hospital of Northern British Columbia (UHNBC) | Northern Health Authority","1"
