Id,Kind,DisplayName,StoredFuzzy,ExpectedFuzzy
"71528","Competitor","MCW Group of Companies","mcw","mcwgroupofcompanies"
"504241","Developer","Innascore Developments Inc.","","innascoredevelopments"
"658682","Developer","Namdar Group","","namdargroup"
"927759","Architect","Christine Lintott Architects","","christinelintottarchitects"
"927760","GC","Knappett Industries","","knappettindustries"
"927761","Developer","Seba Construction","","sebaconstruction"
"927762","Architect","Barefoot Planning + Design","barefootplanning+design","barefootplanningdesign"
"927767","GC","Hutchinson Contracting Ltd.","hutchinsoncontractingltd","hutchinsoncontracting"
"927769","Developer","Kors Development Services Inc","korsdevelopmentservicesinc","korsdevelopmentservices"
"927770","Architect","MJM Architect Inc.","mjmarchitectinc","mjmarchitect"
"927790","Architect","ABBARCH Architecture Inc.","abbarcharchitectureinc","abbarcharchitecture"
"927791","Vendor","Calid Services Ltd.","calidservicesltd","calidservices"
"927795","Architect","LEES + Associates","lees+associates","leesassociates"
"927797","GC","Hausen Projects Inc.","hausenprojectsinc","hausenprojects"
"927803","Architect","NES Architecture Ltd.","nesarchitectureltd","nesarchitecture"
"927804","Architect","OEM Architecture Office Inc.","oemarchitectureofficeinc","oemarchitectureoffice"
"927805","Vendor","Polaris Land Surveying Inc","polarislandsurveyinginc","polarislandsurveying"
"927806","Designer","Robert Blaney Design Inc","robertblaneydesigninc","robertblaneydesign"
"927807","GC","Seba Construction Ltd.","sebaconstructionltd","sebaconstruction"
