Id,Kind,DisplayName,StoredFuzzy,ExpectedFuzzy
"31","Architect","WNDR Architecture + Design Inc.","wndrarchitecturedesign","wndrarchitectureanddesign"
"85","Architect","DA Architects + Planners","daarchitectsplanners","daarchitectsandplanners"
"112","Architect","Carrier Johnson + Culture","carrierjohnsonculture","carrierjohnsonandculture"
"940","Architect","1080 Architecture, Planning + Interiors","1080architectureplanninginteriors","1080architectureplanningandinteriors"
"1502","GC","A&R Construction","arconstruction","aandrconstruction"
"1503","GC","A&R Contracting","arcontracting","aandrcontracting"
"3910","Developer","C&B Alberta Solar Development ULC","cbalbertasolardevelopmentulc","candbalbertasolardevelopmentulc"
"5464","Architect","Coupland Kraemer Architecture + Interior Design Inc.","couplandkraemerarchitectureinteriordesign","couplandkraemerarchitectureandinteriordesign"
"7345","Competitor","Fast + Epp","fastepp","fastandepp"
"7828","Architect","FUSE Architecture + Design","fusearchitecturedesign","fusearchitectureanddesign"
"8799","Architect","hcma architecture + design","hcmaarchitecturedesign","hcmaarchitectureanddesign"
"9836","Architect","J. Robert Thibodeau Architecture + Design Inc.","jrobertthibodeauarchitecturedesign","jrobertthibodeauarchitectureanddesign"
"11419","Competitor","Maskell Plenzik & Partners Engineering Inc. (MP&P)","maskellplenzikandpartnersengineeringincmpp","maskellplenzikandpartnersengineeringincmpandp"
"11948","Architect","Modern Office Design + Architecture","modernofficedesignarchitecture","modernofficedesignandarchitecture"
"12699","Architect","O2 Planning + Design Inc.","o2planningdesign","o2planninganddesign"
"14009","GC","R&L CONSTRUCTION LTD.","rlconstruction","randlconstruction"
"14910","Architect","SAHURI + Partners Architecture Inc.","sahuripartnersarchitecture","sahuriandpartnersarchitecture"
"14932","Architect","Sandalack + Associates","sandalackassociates","sandalackandassociates"
"15532","Subcontractor","Smith + Andersen","smithandersen","smithandandersen"
"17075","Architect","Toker + Associates Architecture","tokerassociatesarchitecture","tokerandassociatesarchitecture"
"19223","Architect","Khora Architecture + Interiors","khoraarchitectureinteriors","khoraarchitectureandinteriors"
"19357","Architect","Anyone Architecture + Design","anyonearchitecturedesign","anyonearchitectureanddesign"
"19531","Architect","Tony Osborn Architecture + Design Inc.","tonyosbornarchitecturedesign","tonyosbornarchitectureanddesign"
"20024","Architect","Koka Architecture + Design Inc.","kokaarchitecturedesign","kokaarchitectureanddesign"
"20151","Architect","J & R Katz Design + Architecture Inc.","jandrkatzdesignarchitecture","jandrkatzdesignandarchitecture"
"20300","Architect","Studio Senbel Architecture + Design Inc.","studiosenbelarchitecturedesign","studiosenbelarchitectureanddesign"
