Id,Kind,DisplayName
"75103","Buyer","Ministry of Citizens' Services<LF>Ministry of Transportation and Transit"
"272014","Buyer","BC Parks - Provincial Services Branch<LF>BC Parks and Conservation Officer Service Division<LF>Capital Investment Program<LF>Ministry of Environment and Parks"
"473331","Buyer","Fraser Health Authority<LF>Providence Health Care"
"473332","Buyer","BC Timber Sales Branch<LF>Cariboo-Chilcotin"
"473334","Buyer","Babine<LF>BC Timber Sales Branch"
"473335","Buyer","Ministry of Citizens' Services<LF>Procurement Services Branch"
"658611","Buyer","Management Services Division<LF>Ministry of Housing and Municipal Affairs"
"797333","Buyer","BC Parks - Provincial Services Branch<LF>Ministry of Environment and Parks"
"840570","Buyer","Marine Branch<LF>Ministry of Transportation and Transit"
"855968","Buyer","Engineering Branch<LF>Ministry of Forests"
"902252","Buyer","Ministry of Environment and Parks<LF>Ministry of Forests"
"902254","Buyer","Ministry of Forests<LF>Regional Operations - Coast Mountains Natural Resource District"
"902256","Buyer","Attorney General<LF>Procurement Services Branch"
