ShortId,LongId,Kind,ShortName,LongName,ShortIntel,LongIntel,ShortDomain,LongDomain
"75649","272396","Competitor","McElhanney","McElhanney Consulting Services Ltd.","234","205","mcelhanney.com",""
"18446","18454","GC","Wilco Contractors","Wilco Contractors South West Inc.","100","101","",""
"69625","10632","GC","Lafarge Canada","Lafarge Canada inc., operating as Wells Construction Ltd","158","2","",""
"113392","70543","Architect","Kasian","Kasian Architecture Interior Design and Planning","3","113","","kasian.com"
"7191","7193","GC","Everest Construction","Everest Construction Management Ltd","8","100","",""
"927808","20284","Competitor","Sense Engineering","Sense Engineering Ltd.","89","2","senseengineering.com",""
"927808","240237","Competitor","Sense Engineering","Sense Engineering (Alberta) Ltd","89","0","senseengineering.com",""
"271551","8538","Architect","Group2 Architecture","Group2 Architecture Interior Design Ltd.","0","72","","group2.ca"
"11123","47684","GC","Luxton Construction","Luxton Construction PLains Inc","46","16","",""
"271548","68756","Architect","ACI Architecture","ACI Architecture Inc. (& Stephens Kozak ACI)","0","60","","aci-arch.com"
"68631","25589","Architect","Gensler","Gensler Architecture & Design Canada Inc.","30","11","gensler.com",""
"3116","3117","Competitor","Beairsto & Associates Engineering Ltd.","Beairsto & Associates Engineering Ltd. (Beairsto & Associates)","34","3","",""
"68631","271571","Architect","Gensler","Gensler SD","30","0","gensler.com",""
"7775","7778","GC","Frontier Construction","Frontier Construction Products Ltd.","6","21","",""
"54571","271563","Architect","KMBR Architects","KMBR Architects Planners","26","1","kmbr.com",""
"271552","69614","Architect","Gibbs Gage Architects","Gibbs Gage Architects (GGA-Architecture)","0","27","",""
"54521","5085","Architect","Collabor8 Architecture","collabor8 Architecture and Design Inc.","12","8","",""
"271651","38926","Competitor","Glotman Simpson","Glotman Simpson Consulting Engineers","0","20","","glotmansimpson.com"
"68931","271628","Architect","DLR Group","DLR Group | Kwan Henmi","20","0","dlrgroup.com",""
"927759","70603","Architect","Christine Lintott Architects","Christine Lintott Architects Inc.","0","19","","lintottarchitect.ca"
"55056","272362","Architect","Hariri Pontarini Architects","Hariri Pontarini Architects and Adamson Architects","16","2","hariripontarini.com",""
"6596","6597","Competitor","EBA Engineering Consultants Ltd.","EBA Engineering Consultants Ltd. (EBA, A Tetra Tech Company) SCHEDULE A","16","1","",""
"75153","68625","GC","Swinerton","Swinerton Builders","6","11","","swinerton.com"
"55056","272361","Architect","Hariri Pontarini Architects","Hariri Pontarini Architects and Adamson Associates Architects","16","0","hariripontarini.com",""
"68826","75698","Developer","Truman","Truman (Truman Homes)","0","15","","trumanhomes.com"
"77573","68882","Architect","Oystryk","Oystryk & Team Architecture","3","11","","otarchitecture.ca"
"68906","76335","Architect","Scott Edwards Architecture","Scott Edwards Architecture (with Perkins & Will)","6","8","seallp.com",""
"54565","72062","Architect","Keystone Architecture","Keystone Architecture and Planning","12","2","keystonearch.ca",""
"75153","77196","GC","Swinerton","Swinerton Builders San Diego","6","8","","swinerton.com"
"75859","70973","GC","Haebler","Haebler Construction","5","9","","haebler.ca"
"71067","55107","Developer","JTA Development","JTA Development Consultants","8","5","","cityofinglewood.org"
"2137","2138","Competitor","All-Can Engineering & Surveys","All-Can Engineering & Surveys (1976) Ltd","4","8","",""
"271610","76887","Architect","BAR Architects","BAR Architects & Interiors","2","10","","bararch.com"
"10498","10499","GC","Kowal Construction","Kowal Construction Alta Ltd.","3","9","",""
"10643","10645","GC","Lafrentz Road Marking A Division of Canadian Road Builders Inc.","Lafrentz Road Marking A Division of Canadian Road Builders Inc. (Lafrentz Road Marking) Based on the","11","1","",""
"12940","12941","Competitor","Orbis Engineering","Orbis Engineering Field Services Ltd","4","8","",""
"16944","272364","Architect","ThinkSpace","Thinkspace Architecture Planning and Interior Design","12","0","thinkspace.ca",""
"38946","54469","Developer","Concert Properties","Concert Properties Ltd. and YMCA","11","1","concertproperties.com",""
"75153","77229","GC","Swinerton","Swinerton Builders (Sacramento)","6","6","","swinerton.com"
"75642","75631","Developer","Westbank","Westbank First Nation (lease)","11","0","westbankcorp.com",""
"70798","68982","GC","Durwest Construction","Durwest Construction Management","0","11","","durwest.com"
"75158","77205","GC","Sundt Construction","Sundt Construction San Diego","5","6","","sundt.com"
"75167","77298","GC","Mortenson Construction","Mortenson Construction — Seattle","6","5","","mortenson.com"
"75184","77260","Developer","BioMed Realty","BioMed Realty (Blackstone)","5","6","","biomedrealty.com"
"9566","9570","Competitor","Integral Group","Integral Group Engineering (Ontario)","5","5","",""
"16353","16354","Competitor","SweetTech Engineering","SweetTech Engineering Consultants","3","7","",""
"54728","19836","Architect","Studio Balcaen Kwan Architecture","Studio Balcaen Kwan Architecture & Design Inc.","5","5","",""
"68646","74279","Developer","Brookfield Properties","Brookfield Properties Retail Inc.","8","2","brookfieldproperties.com",""
"55066","74354","Developer","Grosvenor","Grosvenor Canada","7","2","elsegundo.org",""
"47544","5513","GC","Craftex Builders","Craftex Builders a Division of Leeville Construction","5","4","",""
"11476","11477","Competitor","McAroe Engineering","McAroe Engineering Winner","4","5","",""
"77573","13023","Architect","Oystryk","Oystryk Taff Architecture Ltd.","3","6","",""
"75578","30792","Developer","Pacific Reach Properties","Pacific Reach Properties Development","7","2","",""
"272389","38935","Competitor","Weiler Smith Bowers","Weiler Smith Bowers Consulting Structural Engineers","0","9","","wsb-eng.com"
"76973","77183","Developer","Wakeland Housing","Wakeland Housing and Development Corporation","7","2","","wakelandhdc.com"
"75588","28694","Developer","Beedie Living","Beedie Living Construction Ltd.","6","2","beedie.ca",""
"25304","32133","Architect","David Danyluck Architect","David Danyluck Architect AIBC","4","4","",""
"15429","15430","GC","Simmonds Contracting","SIMMONDS CONTRACTING 1469210 ALBERTA LTD.","5","3","",""
"272404","77304","GC","Howard S. Wright","Howard S. Wright (Balfour Beatty)","0","8","","balfourbeattyus.com"
"68826","53507","Developer","Truman","Truman Homes","0","8","","trumanhomes.com"
"75629","54991","Developer","Kwikwetlem First Nation","Kwikwetlem First Nation (Land Code)","6","2","","kwikwetlem.com"
"75153","76801","GC","Swinerton","Swinerton — San Diego","6","2","","swinerton.com"
"74252","76948","Developer","IMT Residential","IMT Residential (Investors Management Trust Real Estate Group, Inc.)","2","6","",""
"70916","28666","GC","Peak Construction","Peak Construction 1456 Ltd.","7","0","peakgrp.com",""
"71034","6094","Competitor","Design Works Engineering","Design Works Engineering & Inspections Ltd.","4","3","designworkseng.com",""
"7377","7378","GC","Fer-Pal Construction Ltd","Fer-Pal Construction Ltd 1","6","1","",""
"11418","11419","Competitor","Maskell Plenzik & Partners Engineering Inc.","Maskell Plenzik & Partners Engineering Inc. (MP&P)","4","3","",""
"14767","14768","Competitor","RSR Engineering","RSR Engineering Services Inc.","3","4","",""
