LoserId,SurvivorId,Domain,LoserName,LoserKind,LoserIntel,SurvivorName,SurvivorKind,SurvivorIntel,SurvivorClient
"77161","38934","stantec.com","Stantec San Diego","Architect","2","Stantec Inc.","Competitor","1831","DELTEK"
"77211","38934","stantec.com","Stantec (Sacramento)","Architect","2","Stantec Inc.","Competitor","1831","DELTEK"
"77339","38934","stantec.com","Stantec Structural Engineering","Competitor","5","Stantec Inc.","Competitor","1831","DELTEK"
"77705","38934","stantec.com","Stantec Architecture (Canada)","Architect","0","Stantec Inc.","Competitor","1831","DELTEK"
"77127","18657","wsp.com","WSP USA Buildings","Competitor","3","WSP Canada Inc.","Competitor","1801",""
"77884","18657","wsp.com","WSP Canada — Structural Engineering","Competitor","0","WSP Canada Inc.","Competitor","1801",""
"68620","1818","aecom.com","AECOM Hunt","GC","3","AECOM Canada Ltd.","Competitor","605",""
"77133","13243","pcl.com","PCL Construction Services","GC","6","PCL Construction","GC","449",""
"77193","13243","pcl.com","PCL Construction San Diego","GC","5","PCL Construction","GC","449",""
"77342","69543","morrisonhershfield.com","Morrison Hershfield (now Stantec)","Competitor","2","Morrison Hershfield","Competitor","165","DELTEK"
"77351","69671","ledcor.com","Ledcor Group","GC","6","Ledcor Construction","GC","156","DELTEK"
"20061","49","cressey.com","Cressey Developments","Developer","11","Cressey Development Group","KorClient","123","DELTEK"
"55110","202","greystar.com","Greystar Real Estate Partners","Developer","12","Greystar Development West, LLC","KorClient","108","DELTEK"
"77635","202","greystar.com","Greystar","Developer","0","Greystar Development West, LLC","KorClient","108","DELTEK"
"105","39","townline.com","Townline Homes Inc.","KorClient","10","Townline Group of Companies","KorClient","102","DELTEK"
"69623","12496","norr.com","NORR","Architect","19","NORR Architects Engineers Planners","Architect","67","DELTEK"
"77914","12496","norr.com","NORR Architects & Engineers","Architect","5","NORR Architects Engineers Planners","Architect","67","DELTEK"
"22200","218","bucci.com","Bucci Garden Homes Ltd","Developer","3","Bucci Developments Ltd.","KorClient","73","DELTEK"
"77343","69535","exp.com","EXP (EXP Services Inc.)","Competitor","2","EXP","Competitor","61",""
"77153","68631","gensler.com","Gensler San Diego","Architect","9","Gensler","Architect","30","DELTEK"
"77277","68631","gensler.com","Gensler Seattle","Architect","8","Gensler","Architect","30","DELTEK"
"77324","8129","gga-arch.com","GGA-Architecture (Gibbs Gage Architects)","Architect","10","GGA Architecture","Architect","34","DELTEK"
"76791","68925","hmcarchitects.com","HMC Architects — San Diego","Architect","6","HMC Architects","Architect","31","DELTEK"
"77131","68622","henselphelps.com","Hensel Phelps","GC","8","Hensel Phelps Construction Co.","GC","8",""
"77197","68622","henselphelps.com","Hensel Phelps San Diego","GC","7","Hensel Phelps Construction Co.","GC","8",""
"77230","68622","henselphelps.com","Hensel Phelps (Sacramento)","GC","6","Hensel Phelps Construction Co.","GC","8",""
"77300","68622","henselphelps.com","Hensel Phelps — Seattle","GC","7","Hensel Phelps Construction Co.","GC","8",""
"77226","54947","turnerconstruction.com","Turner Construction Company (Sacramento)","GC","2","Turner Construction","GC","22","DELTEK"
"77299","54947","turnerconstruction.com","Turner Construction — Seattle","GC","2","Turner Construction","GC","22","DELTEK"
"77306","54947","turnerconstruction.com","Turner Construction — Portland","GC","7","Turner Construction","GC","22","DELTEK"
"38949","167","onni.com","Onni Group","Developer","15","Onni Contracting (California), Inc.","KorClient","13","DELTEK"
"77312","167","onni.com","Onni Group — Seattle","Developer","4","Onni Contracting (California), Inc.","KorClient","13","DELTEK"
"68690","73788","holmes.us","Holmes Structures","Competitor","14","Holmes","Competitor","18",""
"76795","68930","lpadesignstudios.com","LPA Design Studios — San Diego","Architect","6","LPA Design Studios","Architect","26",""
"69649","169","amacon.com","Amacon","Developer","14","Amacon Developments","KorClient","8","DELTEK"
"71060","169","amacon.com","Amacon Construction","GC","8","Amacon Developments","KorClient","8","DELTEK"
"53900","228","holborn.ca","Holborn Group","Developer","3","Holborn Developments Ltd.","KorClient","27","DELTEK"
"76014","16986","thurber.ca","Thurber Engineering","Subcontractor","2","Thurber Engineering Ltd. (Thurber Engineering Ltd.)","Competitor","27",""
"16944","69109","thinkspace.ca","ThinkSpace","Architect","12","Thinkspace Architecture Planning Interior Design Ltd.","Architect","16","DELTEK"
"75161","54946","webcor.com","Webcor Builders","GC","5","Webcor","GC","11",""
"75714","54946","webcor.com","Webcor (Webcor Builders)","GC","9","Webcor","GC","11",""
"77202","54946","webcor.com","Webcor Builders San Diego","GC","3","Webcor","GC","11",""
"77355","68773","qualico.com","Qualico Developments","Developer","6","Qualico Group","Developer","22",""
"76801","68625","swinerton.com","Swinerton — San Diego","GC","2","Swinerton Builders","GC","11","DELTEK"
"77196","68625","swinerton.com","Swinerton Builders San Diego","GC","8","Swinerton Builders","GC","11","DELTEK"
"77229","68625","swinerton.com","Swinerton Builders (Sacramento)","GC","6","Swinerton Builders","GC","11","DELTEK"
"77171","38927","kpff.com","KPFF San Diego","Competitor","7","KPFF Consulting Engineers","Competitor","11",""
"77286","38927","kpff.com","KPFF Consulting Engineers — Seattle","Competitor","3","KPFF Consulting Engineers","Competitor","11",""
"77287","38927","kpff.com","KPFF Consulting Engineers — Portland","Competitor","5","KPFF Consulting Engineers","Competitor","11",""
"75694","53589","brookfieldresidential.com","Brookfield Residential Properties Inc.","Developer","10","Brookfield Residential","Developer","12",""
"77189","53589","brookfieldresidential.com","Brookfield Residential San Diego","Developer","4","Brookfield Residential","Developer","12",""
"77115","68630","callisonrtkl.com","CallisonRTKL","Architect","3","CallisonRTKL (CRTKL)","Architect","21",""
"75570","68912","millerhull.com","The Miller Hull Partnership","Architect","6","Miller Hull Partnership","Architect","14","DELTEK"
"77168","68912","millerhull.com","Miller Hull Partnership (San Diego)","Architect","4","Miller Hull Partnership","Architect","14","DELTEK"
"53507","75698","trumanhomes.com","Truman Homes","Developer","8","Truman (Truman Homes)","Developer","15",""
"54260","54553","ciccozziarchitecture.com","Robert Ciccozzi Architecture","Architect","7","Ciccozzi Architecture","Architect","16","DELTEK"
"72124","71157","protostatix.com","Protostatix","Competitor","7","Protostatix Engineering Consultants Inc.","Competitor","10",""
"76639","71157","protostatix.com","Protostatix Engineering Consultants Inc. (a division of Englobe)","Competitor","6","Protostatix Engineering Consultants Inc.","Competitor","10",""
"38923","77288","dci-engineers.com","DCI Engineers","Competitor","6","DCI Engineers — Seattle","Competitor","9",""
"77172","77288","dci-engineers.com","DCI Engineers San Diego","Competitor","3","DCI Engineers — Seattle","Competitor","9",""
"77289","77288","dci-engineers.com","DCI Engineers — Portland","Competitor","4","DCI Engineers — Seattle","Competitor","9",""
"77154","68872","smithgroup.com","SmithGroup San Diego","Architect","6","SmithGroup","Architect","16",""
"76838","68931","dlrgroup.com","DLR Group (Sacramento)","Architect","2","DLR Group","Architect","20",""
"75725","60360","arup.com","Arup (Seattle office)","Competitor","5","Arup","Competitor","16",""
"75587","216","wesbild.com","Wesbild","Developer","9","Wesbild Holdings Ltd.","KorClient","11","DELTEK"
"77278","68633","hok.com","HOK Seattle","Architect","6","HOK","Architect","14",""
"77279","68687","gglo.com","GGLO Design","Architect","7","GGLO","Architect","13",""
"54396","193","missiongroup.ca","Mission Group Homes","Developer","6","Mission Group","KorClient","13","DELTEK"
"77831","38974","reveryarchitecture.com","Revery Architecture","Architect","4","Revery Architecture Inc. (formerly Bing Thom Architects)","Architect","15","DELTEK"
"77155","68874","hga.com","HGA San Diego","Architect","6","HGA","Architect","13",""
"77301","68706","usa.skanska.com","Skanska USA — Seattle","GC","2","Skanska USA","Developer","7",""
"77307","68706","usa.skanska.com","Skanska USA — Portland","GC","6","Skanska USA","Developer","7",""
"77319","68706","usa.skanska.com","Skanska USA — Seattle (development arm)","Developer","3","Skanska USA","Developer","7",""
"77357","68774","rohitgroup.com","Rohit Group","Developer","3","Rohit Group of Companies","Developer","15",""
"68890","77101","som.com","SOM","Architect","5","Skidmore, Owings & Merrill (SOM)","Architect","11",""
"76886","77101","som.com","SOM (Skidmore, Owings & Merrill)","Architect","2","Skidmore, Owings & Merrill (SOM)","Architect","11",""
"77878","44","pcurban.ca","PC Urban Properties — IntraUrban","Developer","3","PC Urban Properties Corp.","KorClient","14","DELTEK"
"77158","68638","nbbj.com","NBBJ San Diego","Architect","4","NBBJ","Architect","13",""
"77257","76786","sgh.com","Simpson Gumpertz & Heger (SGH)","Competitor","6","Simpson Gumpertz & Heger (SGH) — San Diego","Competitor","11",""
"54847","124","mortisegroup.com","Mortise Group","Developer","3","Mortise Group of Companies","KorClient","13","DELTEK"
"77194","54950","clarkconstruction.com","Clark Construction San Diego","GC","4","Clark Construction Group","GC","10",""
"77174","68610","degenkolb.com","Degenkolb Engineers San Diego","Competitor","6","Degenkolb Engineers","Competitor","8",""
"77195","68628","suffolk.com","Suffolk Construction San Diego","GC","6","Suffolk Construction","GC","7","DELTEK"
"77157","68884","cannondesign.com","CannonDesign San Diego","Architect","3","CannonDesign","Architect","10",""
"69524","70693","aplinmartin.com","Aplin & Martin","Subcontractor","2","Aplin Martin Consultants","Architect","11","DELTEK"
"77179","38921","coffman.com","Coffman Engineers San Diego","Competitor","5","Coffman Engineers, Inc.","Competitor","7","DELTEK"
"77175","38930","miyamotointernational.com","Miyamoto International San Diego","Competitor","5","Miyamoto International","Competitor","7",""
"75662","54978","infrastructurebc.com","Partnerships BC (now Infrastructure BC)","Client","0","Infrastructure BC","Developer","12",""
"77170","68746","thorntontomasetti.com","Thornton Tomasetti San Diego","Competitor","5","Thornton Tomasetti","Competitor","7","DELTEK"
"77879","32319","quadreal.com","QuadReal Property Group — Archetype (False Creek Flats)","Developer","3","QuadReal Property Group","Developer","8","DELTEK"
"77227","54943","mccarthy.com","McCarthy Building Companies (Sacramento)","GC","4","McCarthy Building Companies","GC","7",""
"73795","75723","lendlease.com","Lendlease","Developer","4","Lendlease (Lendlease Americas)","Developer","7",""
"77233","77272","boldt.com","The Boldt Company (Sacramento)","GC","5","The Boldt Company","GC","6",""
"75599","22795","iconwestconstruction.ca","ICON West Construction Corp. (formerly ICON Pacific Construction Corp.)","GC","2","Icon West Construction Corp","GC","8",""
"53724","53418","westcorp.net","Westcorp Properties Inc.","Developer","2","Westcorp Developments Inc.","Developer","8",""
"75711","68621","bernards.com","Bernards (Bernards Bros., Inc.)","GC","5","Bernards","GC","5",""
"73714","77282","bora.co","Bora Architects","Architect","1","BORA Architecture & Interiors","Architect","9",""
"77173","77122","walterpmoore.com","Walter P Moore San Diego","Competitor","4","Walter P Moore","Competitor","6",""
"77198","77231","kitchell.com","Kitchell San Diego","GC","4","Kitchell Corporation","GC","6",""
"53281","76745","melcor.ca","Melcor Development","Developer","2","Melcor Developments Ltd.","Developer","7",""
"53843","94","tridecca.com","Tridecca Developments","Developer","0","Tridecca Project Management Inc.","KorClient","8","DELTEK"
"77284","68891","leverarchitecture.com","Leverett Architecture (Lever Architecture)","Architect","3","LEVER Architecture","Architect","5",""
"77803","69659","marcon.ca","Marcon Construction & Development","Developer","2","Marcon Developments","Developer","6","DELTEK"
"76850","77205","sundt.com","Sundt Construction (California)","GC","2","Sundt Construction San Diego","GC","6",""
"77156","36278","waremalcomb.com","Ware Malcomb San Diego","Architect","2","Ware Malcomb","Architect","5",""
"77186","77223","lennar.com","Lennar San Diego","Developer","2","Lennar (Sacramento Division)","Developer","5",""
"77203","77270","skylineconstruction.build","Skyline Construction San Diego","GC","3","Skyline Construction","GC","4",""
