Domain,Tier,Why,Id,Kind,DisplayName,Intel
"ellisdon.com","R2","a member is JV/composite-shaped","22257","GC","EllisDon Corporation","298"
"ellisdon.com","R2","a member is JV/composite-shaped","69026","GC","EllisDon Infrastructure","7"
"ellisdon.com","R2","a member is JV/composite-shaped","69204","GC","EllisDon Kinetic, A Joint Venture","7"
"cima.ca","R2","a member is JV/composite-shaped","4856","Competitor","CIMA+","169"
"cima.ca","R2","a member is JV/composite-shaped","70791","Competitor","CIMA+ Consulting Engineers","4"
"cima.ca","R2","a member is JV/composite-shaped","77758","Competitor","Bogdonov Pao Associates (BPA) / CIMA+","0"
"polyhomes.com","R3","no name carries the domain brand","28","KorClient","Polygon Development Ltd.","124"
"polyhomes.com","R3","no name carries the domain brand","38951","Developer","Polygon Homes","10"
"intracorphomes.com","S2","only some names carry the domain brand (initialism/rename shape)","29","KorClient","Intracorp Projects Ltd.","107"
"intracorphomes.com","S2","only some names carry the domain brand (initialism/rename shape)","53705","Developer","Intracorp Developments","9"
"intracorphomes.com","S2","only some names carry the domain brand (initialism/rename shape)","77802","Developer","Intracorp Homes","2"
"dialogdesign.ca","R2","a member is JV/composite-shaped","6154","Competitor","DIALOG","116"
"dialogdesign.ca","R2","a member is JV/composite-shaped","77753","Competitor","DIALOG Structural (Calgary studio, seismic/mass timber angle)","0"
"dialogdesign.ca","R2","a member is JV/composite-shaped","77832","Architect","DIALOG Design","0"
"dialogdesign.ca","R2","a member is JV/composite-shaped","77841","Competitor","DIALOG (with Jones Kwong Kishi in-house)","0"
"anthemproperties.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","207","KorClient","Anthem Properties Group Ltd.","80"
"anthemproperties.com","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","77847","Buyer","Port Moody Ismaili Jamatkhana / Aga Khan Cultural Hub","0"
"beedie.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","66","KorClient","Beedie Development Group","37"
"beedie.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","75588","Developer","Beedie Living","6"
"beedie.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","75606","GC","Beedie (Beedie Development Group — incl. Beedie Construction, Beedie Industrial, Beedie Living)","7"
"beedie.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","75777","Buyer","Beedie Industrial","14"
"bosaproperties.com","R2","a member is JV/composite-shaped","38943","Developer","Bosa Properties","51"
"bosaproperties.com","R2","a member is JV/composite-shaped","54232","Developer","Bosa Properties/Kingswood Properties","6"
"bosaproperties.com","R2","a member is JV/composite-shaped","76611","Developer","Blue Sky Properties","7"
"hdrinc.com","R3","no name carries the domain brand","70635","Competitor","HDR","40"
"hdrinc.com","R3","no name carries the domain brand","77159","Architect","HDR Architecture San Diego","4"
"cta.bc.ca","R3","no name carries the domain brand","4771","Architect","Chernoff Thompson Architects","37"
"cta.bc.ca","R3","no name carries the domain brand","70812","Architect","Jensen Chernoff Thompson Architects","5"
"aryze.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","68995","Developer","Aryze Developments","36"
"aryze.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","70628","Buyer","Aryze Development","3"
"aryze.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","70768","Developer","Greater Victoria Coalition to End Homelessness","0"
"omicronaec.com","S2","only some names carry the domain brand (initialism/rename shape)","8","KorClient","Omicron Development Inc.","27"
"omicronaec.com","S2","only some names carry the domain brand (initialism/rename shape)","68973","Architect","Omicron AEC","9"
"weststonegroup.com","S2","only some names carry the domain brand (initialism/rename shape)","152","KorClient","WestStone Properties Ltd.","31"
"weststonegroup.com","S2","only some names carry the domain brand (initialism/rename shape)","53658","Developer","WestStone Group","3"
"domushomes.ca","S2","only some names carry the domain brand (initialism/rename shape)","54","KorClient","Domus Homes","21"
"domushomes.ca","S2","only some names carry the domain brand (initialism/rename shape)","93","KorClient","Domus Projects Ltd","12"
"sd44.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","39028","Vendor","Encore Global Events (Canada) ULC","16"
"sd44.ca","R1b","a commercial-Kind row shares no name word with the public body on its domain: a wrong anchor or a subsidiary, not a merge","75852","Buyer","SD44 North Vancouver School District","17"
"ktgy.com","R2","a member is JV/composite-shaped","76890","Architect","KTGY","20"
"ktgy.com","R2","a member is JV/composite-shaped","77209","Architect","KTGY Architecture + Planning","12"
"iompropertygroup.com","R3","no name carries the domain brand","18","KorClient","Isle of Mann Property Group","24"
"iompropertygroup.com","R3","no name carries the domain brand","54813","Developer","Isle of Mann","7"
"group161.com","R3","no name carries the domain brand","24","Architect","DF Architecture","24"
"group161.com","R3","no name carries the domain brand","69704","Architect","Barnett Dembek Architects Inc","7"
"balfourbeattyus.com","S2","only some names carry the domain brand (initialism/rename shape)","68691","GC","Howard S. Wright, a Balfour Beatty company","12"
"balfourbeattyus.com","S2","only some names carry the domain brand (initialism/rename shape)","77139","GC","Balfour Beatty US","5"
"balfourbeattyus.com","S2","only some names carry the domain brand (initialism/rename shape)","77192","GC","Balfour Beatty US San Diego","6"
"balfourbeattyus.com","S2","only some names carry the domain brand (initialism/rename shape)","77304","GC","Howard S. Wright (Balfour Beatty)","8"
"sd71.bc.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","38979","Buyer","Spinal Cord Injury Canada","5"
"sd71.bc.ca","R1a","a commercial-Kind row shares a name word with the public body on the same domain: a mis-Kinded twin of it","39071","Buyer","Southside Communications Inc.","6"
