Domain,Tier,Members,Orgs
"www2.gov.bc.ca","U2","22","285 BC Timber Sales Branch Prince George | 573 BC Corrections | 596 BC Timber Sales Branch | 642 Ministry of Forests — Quesnel Fire Zone | 675 Public Library Services | 743 Office of the Fire Commissioner | 18917 Vancouver Coastal Health | 53679 BC Ministry of Transportation and Infrastructure | 54107 Newmark Group | 54108 Lantzville Foothills Estates Inc | 54954 BC Ministry of Education & Child Care | 54955 BC Ministry of Health | 69059 Ministry of Infrastructure and Citizens' Services | 69597 BC Ministry of Education | 72211 Provincial Health Services Authority (PHSA) | 76021 BC Ministry of Transportation and Transit | 77392 BC Infrastructure (Ministry of Infrastructure) | 77448 BC Corrections (Ministry of Public Safety) | 77449 BC Court Services (Ministry of Attorney General) | 77838 Province of BC (BC Housing / MHSSI) | 77901 BC Ministry of Attorney General — Courts Division | 77902 BC Ministry of Public Safety & Solicitor General — Corrections Capital Division"
"tol.ca","U1","3","439 Township of Langley | 18831 City of Langley | 54873 Langley Township"
"metrovancouver.org","U1","4","18868 Greater Vancouver Regional District (Metro Vancouver) | 23987 Metro Vancouver | 71025 Metro Vancouver Housing Corporation | 72160 Metro Vancouver Regional District"
"uvic.ca","U1","2","68861 University of Victoria (UVic) | 77385 University of Victoria"
"capitalprojectsreport.ucop.edu","U1","7","68858 UC San Diego Health | 77451 University of California, San Diego (UCSD) | 77452 University of California, Berkeley (UC Berkeley) | 77453 University of California, Davis (UC Davis) | 77454 University of California, Irvine (UC Irvine) | 77457 University of California, Riverside (UC Riverside) | 77458 University of California, Merced (UC Merced)"
"dcc-cdc.gc.ca","U2","2","47044 Defence Construction Canada | 54063 Mount Baldy Ski Corporation"
"calstate.edu","U1","7","68836 California State University system (CSU) — Chancellor's Office Capital Planning, Design & Construction | 77462 California State University, Fullerton (CSUF) | 77463 California State University, Los Angeles (CSULA) | 77464 San Diego State University (SDSU) | 77465 California State University, Sacramento | 77466 San Jose State University (SJSU) | 77468 California State University, San Bernardino (CSUSB)"
"alberta.ca","U1","7","734 Environment and Protected Areas | 881 Treasury Board and Finance | 5472 Covenant Health | 53255 Alberta Infrastructure | 70263 Government of Alberta — Ministry of Infrastructure (Alberta Infrastructure) | 70328 Alberta Social Housing Corporation (ASHC) — Government of Alberta | 77913 Alberta Infrastructure — Justice & Court Facilities"
"canada.ca","U2","32","18848 Correctional Service of Canada (CSC) | 18852 Department of Public Works and Government Services (PSPC) | 18886 Public Health Agency of Canada (PHAC) | 39046 Canadian Association of the Deaf | 40836 Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique | 40876 Canada Water Agency | Agence de l’eau du Canada | 41865 Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada | 41888 Employment and Social Development Canada | Emploi et Développement social Canada | 41894 Environment and Climate Change Canada | Environnement et Changement climatique Canada | 42649 Farm Products Council of Canada | Conseil des produits agricoles du Canada | 42653 Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada | 46375 Health Canada | Santé Canada | 46484 Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada | 46486 Impact Assessment Agency of Canada | Agence d'évaluation d'impact du Canada | 46487 Indigenous Services Canada | Services aux Autochtones Canada | 46559 National Defence | Défense nationale | 50573 Polar Knowledge Canada | Savoir polaire Canada | 50613 Public Services and Procurement Canada | Services publics et Approvisionnement Canada | 53130 Shared Services Canada | Services partagés Canada | 53247 Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada | 55663 Canada Revenue Agency | Agence du revenu du Canada | 66837 Parole Board of Canada | Commission des libérations conditionnelles du Canada | 68250 Status of Women Canada | Condition féminine Canada | 68587 Women and Gender Equality Canada | Femmes et Égalité des genres Canada | 69193 Public Service Commission of Canada | Commission de la fonction publique du Canada | 71350 Department of National Defence Canada | 76428 Public Services and Procurement Canada (PSPC) – Pacific Region | 77431 National Defence — CFB Esquimalt | 77432 National Defence — 4th Canadian Division (Western Canada) | 77830 Parks Canada — Banff 200-Block Visitor Centre | 77909 Public Services and Procurement Canada — Pacific Region Real Property | 77910 Department of National Defence — Infrastructure Projects (BC/AB)"
"sd83.bc.ca","U1","2","39078 DYNAMIC PERSONNEL CONSULTANTS | 69177 SD83 North Okanagan-Shuswap School District"
"fraserhealth.ca","U1","2","880 Fraser Health Authority | 38990 Betty Dion Enterprises Limited"
"epsb.ca","U1","3","542 Edmonton School District | 68782 Edmonton Public Schools (EPSB) | 77438 Edmonton Public Schools"
"sait.ca","U1","3","15690 Southern Alberta Institute of Technology (SAIT) | 70266 SAIT | 75549 SAIT (Southern Alberta Institute of Technology)"
"facilities.uw.edu","U1","3","57976 University of Washington | 77510 University of Washington (UW) — Seattle | 77511 UW Medicine"
"reddeer.ca","U1","2","354 The City of Red Deer | 76053 City of Red Deer"
"kingcounty.gov","U2","3","55116 Villa Capri Enterprises | 68839 King County (WA) | 77523 King County Metro Transit"
"regents.universityofcalifornia.edu","U1","2","65743 UNIVERSITY OF CALIFORNIA | 75539 University of California system (UC Office of the President capital program)"
"interiorhealth.ca","U1","2","38998 Standards Council of Canada | 54977 Interior Health"
"edmonton.ca","U1","2","53280 City of Edmonton | 77892 City of Edmonton — Valley Line West LRT"
"sd23.bc.ca","U1","4","54415 SD23 Central Okanagan School District | 77418 School District 23 Central Okanagan | 77770 Central Okanagan Public Schools (SD23) | 77793 SD23 Central Okanagan Public Schools — Burtch Road Middle School"
"ok.ubc.ca","U1","2","69457 University of British Columbia Okanagan Campus | 75490 UBC Okanagan"
"sd72.bc.ca","U1","2","39072 Stiff Sentences Inc. | 70314 SD72 Campbell River School District"
"cssd.ab.ca","U1","2","68781 Calgary Catholic School District (CCSD) | 77437 Calgary Catholic School District"
"sandiego.gov","U2","3","68835 City of San Diego | 76812 City of San Diego — Engineering & Capital Projects | 77502 City of San Diego — Capital Improvements Program"
"engage.sandiegocounty.gov","U1","2","68846 County of San Diego | 77503 San Diego County — Capital Improvement Program"
"aglc.ca","U1","3","434 Alberta Gaming, Liquor and Cannabis Commission | 53487 Alberta Gaming and Liquor Commission | 70329 Alberta Gaming, Liquor & Cannabis (AGLC)"
"bcit.ca","U1","3","18819 BC Institute of Technology | 54957 British Columbia Institute of Technology (BCIT) | 75745 BCIT"
"sdccd.edu","U1","3","69141 San Diego Community College District | 76809 San Diego Community College District — Measure HH | 77479 San Diego Community College District (SDCCD)"
"dgs.ca.gov","U1","3","76858 California Dept. of General Services (DGS) | 77507 California Department of General Services (DGS) — Real Estate Services Division | 77508 California Division of the State Architect (DSA)"
"francosud.ca","U1","2","247 Southern Francophone Region (Francosud) | 72052 Conseil scolaire FrancoSud"
