Id,Kind,DisplayName,Website,WebsiteDomain,Reason
"54107","Developer","Newmark Group","","www2.gov.bc.ca","WebsiteDomain set but Website empty"
"69369","Buyer","Tk'emlúps te Secwépemc","null","null","WebsiteDomain is the literal string 'null'"
"71236","Developer","Highstreet Ventures Inc.","https://buyhighstreet.ca","gohighstreet.ca","WebsiteDomain is not ExtractWebsiteDomain(Website) = 'buyhighstreet.ca'"
"71314","Buyer","Atira Women's Resource Society","null","null","WebsiteDomain is the literal string 'null'"
"71315","Buyer","Pauquachin First Nation","null","null","WebsiteDomain is the literal string 'null'"
"71316","Buyer","Heiltsuk Nation","null","null","WebsiteDomain is the literal string 'null'"
"71317","Buyer","West Moberly First Nations","null","null","WebsiteDomain is the literal string 'null'"
"71321","Buyer","Elizabeth Fry Society of Greater Vancouver","null","null","WebsiteDomain is the literal string 'null'"
"71322","Buyer","Attainable Homes Calgary","null","null","WebsiteDomain is the literal string 'null'"
"71324","Buyer","North Wind Wellness Centre Society","null","null","WebsiteDomain is the literal string 'null'"
"71336","Buyer","Bigstone Cree Nation","null","null","WebsiteDomain is the literal string 'null'"
"71337","Buyer","Woodland Cree First Nation","null","null","WebsiteDomain is the literal string 'null'"
"71338","Buyer","Nanoose First Nation","null","null","WebsiteDomain is the literal string 'null'"
"71528","Competitor","MCW Group of Companies","","mcw.com","WebsiteDomain set but Website empty"
"74300","Developer","Continuum Partners, LLC","https://continuumpartners.com/","","Website set but WebsiteDomain empty (half-anchored)"
"109620","Architect","DIALOG BC","https://www.dialogdesign.ca","","Website set but WebsiteDomain empty (half-anchored)"
"113392","Architect","Kasian","https://www.kasian.com","","Website set but WebsiteDomain empty (half-anchored)"
"271662","Competitor","HKS, Inc.","https://www.hksinc.com","","Website set but WebsiteDomain empty (half-anchored)"
"504241","Developer","Innascore Developments Inc.","","innascore.com","WebsiteDomain set but Website empty"
"658682","Developer","Namdar Group","https://namdargroup.com","","Website set but WebsiteDomain empty (half-anchored)"
"927759","Architect","Christine Lintott Architects","https://www.lintottarchitect.ca/","","Website set but WebsiteDomain empty (half-anchored)"
"927760","GC","Knappett Industries","https://knappettindustries.com/","","Website set but WebsiteDomain empty (half-anchored)"
"927798","Architect","Karen Hillel Architect","","hillelarch.ca","WebsiteDomain set but Website empty"
"927800","Architect","JRTW Planning Services","","jrtw.ca","WebsiteDomain set but Website empty"
"927803","Architect","NES Architecture Ltd.","","nesarch.ca","WebsiteDomain set but Website empty"
