"Company","Status","Match"
"JWDA (Joseph Wong Design Associates)","fuzzy","48|Architect|JWDA Inc."
"Carrier Johnson + Culture","exact","112|Carrier Johnson+Culture"
"AVRP Studios","exact","75176|AVRP Studios"
"Gensler San Diego","fuzzy","76885|Architect|Gensler"
"DBRDS (De Bartolo + Rimanic Design Studio)","fuzzy","20|Architect|DBRDS Design Studio"
"Safdie Rabines Architects","exact","68910|Safdie Rabines Architects"
"Studio E Architects","fuzzy","4|Architect|NSDA Architects"
"MVE + Partners","exact","76952|MVE + Partners"
"Tucker Sadler Architects","exact","75177|Tucker Sadler Architects"
"Martinez + Cutri Urban Studio","fuzzy","76958|Architect|Martinez + Cutri"
"Greystar","exact","70737|Greystar"
"Hines San Diego","fuzzy","649|Buyer|Hines Creek"
"Pacifica Companies","exact","76953|Pacifica Companies"
"Bosa Development","exact","69677|Bosa Development"
"Murfey Company","exact","76|Murfey Company"
"Chelsea Investment Corporation","fuzzy","110|KorClient|Kevington Building Corporation Ltd."
"Zephyr Partners","fuzzy","75868|Competitor|Bush, Bohlman & Partners"
"Wakeland Housing","NEW",
"Toll Brothers / Kennedy Wilson","exact","73896|Toll Brothers Kennedy Wilson"
"Trammell Crow Residential","fuzzy","69944|Architect|Wayne Fougere (architect for residential component)"
"Affirmed Housing","NEW",
"Cisterra Development","exact","76805|Cisterra Development"
"Pinnacle International","exact","53665|Pinnacle International"
"AO (Architects Orange)","NEW",
"Related California","exact","68645|Related California"
"Shopoff Realty Investments","fuzzy","200|KorClient|Larco Investments Ltd."
"TCA Architects (Irvine)","exact","76956|TCA Architects"
"The Irvine Company","fuzzy","76|KorClient|Murfey Company"
"H&S Ventures","fuzzy","50|KorClient|Allure Ventures Inc."
"Nabih Youssef & Associates (NYA)","exact","38931|Nabih Youssef Associates"
"Jamison Properties","fuzzy","141|KorClient|Northland Properties Ltd."
"Jamison Services","fuzzy","52|KorClient|M'Akola Development Services"
"Cityview","exact","4906|CityView"
"Carmel Partners","exact","68641|Carmel Partners"
"Mitsui Fudosan America","fuzzy","74239|Developer|Mitsui Fudosan America, Inc."
"Intergulf Development Group","exact","220|Intergulf Development Group"
"Holland Partner Group","exact","68644|Holland Partner Group"
"KTGY Architecture + Planning","fuzzy","75595|Architect|Studio One Architecture"
"Crescent Heights","exact","68642|Crescent Heights"
"Trammell Crow / High Street Residential","fuzzy","69944|Architect|Wayne Fougere (architect for residential component)"
"TCA Architects","exact","76956|TCA Architects"
"Johnson Fain","exact","68634|Johnson Fain"
"SCB San Francisco","fuzzy","73779|Architect|SOM (Skidmore, Owings & Merrill) — San Francisco"
"Jay Paul Company","exact","76901|Jay Paul Company"
"Mill Creek Residential","exact","73742|Mill Creek Residential"
"Mogavero Architects","exact","76835|Mogavero Architects"
"Lincoln Property Company","exact","68694|Lincoln Property Company"
"Hankey Investment Company","fuzzy","200|KorClient|Larco Investments Ltd."
"Mack Urban / AECOM Capital","fuzzy","142|KorClient|Capital Region Housing Corporation"
"GH Palmer Associates","exact","68643|G.H. Palmer Associates"
"Shopoff Realty","fuzzy","76967|Developer|Shopoff"
"DFH Architects","fuzzy","4|Architect|NSDA Architects"
"Nadel Architecture + Planning","fuzzy","75595|Architect|Studio One Architecture"
