category,job,kind,file
"00 Templates","99999-14","other-stick","\\Kor-fs01\Projects\Projects\00 Templates\99999-14 Sample Models for Presentation Standards (MB)\05 Stickfile\FAKE_727 North Rd_Tower - C.pdf"
"00 Templates","99999-14","other-stick","\\Kor-fs01\Projects\Projects\00 Templates\99999-14 Sample Models for Presentation Standards (MB)\05 Stickfile\S3.01-SHADE 121.pdf"
"00 Templates","99999-14","other-stick","\\Kor-fs01\Projects\Projects\00 Templates\99999-14 Sample Models for Presentation Standards (MB)\05 Stickfile\S3.01-SHADE 138.pdf"
"00 Templates","99999-14","other-stick","\\Kor-fs01\Projects\Projects\00 Templates\99999-14 Sample Models for Presentation Standards (MB)\05 Stickfile\S3.01-SHADE 149.pdf"
"01 Small Jobs","00759-02","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\00759-02 (535 Thurlow St Vancouver Ceiling Cracks)\05 Stickfile\535 Thurlow St Drawings .pdf"
"01 Small Jobs","00759-02","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\00759-02 (535 Thurlow St Vancouver Ceiling Cracks)\05 Stickfile\535 Thurlow St Scan Report.pdf"
"01 Small Jobs","00831-02","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\00831-02 (Sandman Penticton Pool Structure)\05 Stickfile\01 Architectural\23092 Pool - Issued for Coordination - May 2 2023.pdf"
"01 Small Jobs","00831-02","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\00831-02 (Sandman Penticton Pool Structure)\05 Stickfile\01 Architectural\Pages from 23092 Pool - Issued for Coordination - May 2 2023 1.pdf"
"01 Small Jobs","00831-02","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\00831-02 (Sandman Penticton Pool Structure)\05 Stickfile\01 Architectural\Pages from 23092 Pool - Issued for Coordination - May 2 2023 2.pdf"
"01 Small Jobs","00831-02","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\00831-02 (Sandman Penticton Pool Structure)\05 Stickfile\01 Architectural\Pages from 23092 Pool - Issued for Coordination - May 2 2023.pdf"
"01 Small Jobs","00966-06","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-06 (Sperling Plaza Review Precast Panel)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf"
"01 Small Jobs","00973-07","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\00973-07 (Robert Bosa Residence Bridges)\05 Stickfile\00973-07-S1 - Sealed and Signed.pdf"
"01 Small Jobs","01195-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01195-01 (402 West Pender Cornice)\05 Stickfile\01 Architectural\2022 01 31_402 W Pender_BP Revision.pdf"
"01 Small Jobs","01195-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01195-01 (402 West Pender Cornice)\05 Stickfile\01195-01 - 402 W Pender - Struct Stickfile - 2021-12-21.pdf"
"01 Small Jobs","01323-03","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01323-03 (731 Union St New Staircase)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf"
"01 Small Jobs","01375-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01375-01 (Reimer Residence, 6526 Bradner Rd, Abbotsford)\05 Stickfile\01375-01 Struct Stickfile 2018-08-10.pdf"
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\145.pdf"
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\17-25.pdf"
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\171115-ISSUED FOR GMP _FINAL.pdf"
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\215369-Arch Stickfilenew.pdf"
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\25-40.pdf"
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\47.pdf"
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\5-7.pdf"
