category,job,folder,structural_issues,newest_issue_date,newest_date_from_name,newest_issue,other_stick_pdfs,architectural_pdfs,model_folder,e2k,edb
"00 Templates","99999-14","\\Kor-fs01\Projects\Projects\00 Templates\99999-14 Sample Models for Presentation Standards (MB)",0,"","","",4,0,"",0,0
"01 Small Jobs","00171-04","\\Kor-fs01\Projects\Projects\01 Small Jobs\00171-04 (570 West 7th Ave Rood Load Review)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00171-04 (570 West 7th Ave Rood Load Review)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00444-03","\\Kor-fs01\Projects\Projects\01 Small Jobs\00444-03 (Jan Timmer Res, 6655 Madrona Cr)",0,"","","",0,0,"",0,0
"01 Small Jobs","00523-02","\\Kor-fs01\Projects\Projects\01 Small Jobs\00523-02 (Denman Place Hotel -Seismic review of hotel tower)",0,"","","",0,0,"",0,0
"01 Small Jobs","00635-02","\\Kor-fs01\Projects\Projects\01 Small Jobs\00635-02 (Tom Gaglardi Residence Review of Wall)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00635-02 (Tom Gaglardi Residence Review of Wall)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00638-03","\\Kor-fs01\Projects\Projects\01 Small Jobs\00638-03 (1833 Coast Meridian Rd Ramp Damage)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00638-03 (1833 Coast Meridian Rd Ramp Damage)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00656-02","\\Kor-fs01\Projects\Projects\01 Small Jobs\00656-02 (410 Columbia St New Westminster)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00656-02 (410 Columbia St New Westminster)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00759-02","\\Kor-fs01\Projects\Projects\01 Small Jobs\00759-02 (535 Thurlow St Vancouver Ceiling Cracks)",0,"","","",2,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00759-02 (535 Thurlow St Vancouver Ceiling Cracks)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00831-02","\\Kor-fs01\Projects\Projects\01 Small Jobs\00831-02 (Sandman Penticton Pool Structure)",0,"","","",0,4,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00831-02 (Sandman Penticton Pool Structure)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00831-03","\\Kor-fs01\Projects\Projects\01 Small Jobs\00831-03 (Sandman Penticton Parapet Wall)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00831-03 (Sandman Penticton Parapet Wall)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00966-02","\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-02 (Sperling Plaza 6400-6450 Robert St)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-02 (Sperling Plaza 6400-6450 Robert St)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00966-04","\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-04 (Sperling Plaza Review Precast Panel)",0,"","","",0,0,"",0,0
"01 Small Jobs","00966-05","\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-05 (Sperling Plaza Review Precast Panel)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-05 (Sperling Plaza Review Precast Panel)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00966-06","\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-06 (Sperling Plaza Review Precast Panel)",1,"2026-02-23","yes","\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-06 (Sperling Plaza Review Precast Panel)\05 Stickfile\01783-01 2026-02-23 Bean Around The World Lytton Stickfile.pdf",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\00966-06 (Sperling Plaza Review Precast Panel)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","00973-01","\\Kor-fs01\Projects\Projects\01 Small Jobs\00973-01 (3015 Rosebery Avenue)",0,"","","",0,0,"",0,0
"01 Small Jobs","00973-05","\\Kor-fs01\Projects\Projects\01 Small Jobs\00973-05 (Gazebo @ 3015 Rosebery Ave)",0,"","","",0,0,"",0,0
"01 Small Jobs","00973-06","\\Kor-fs01\Projects\Projects\01 Small Jobs\00973-06 (Robert Bosa Residence Balcony)",0,"","","",0,0,"",0,0
"01 Small Jobs","00973-07","\\Kor-fs01\Projects\Projects\01 Small Jobs\00973-07 (Robert Bosa Residence Bridges)",0,"","","",1,0,"",0,0
"01 Small Jobs","00973-08","\\Kor-fs01\Projects\Projects\01 Small Jobs\00973-08 (Robert Bosa Gazebo Redesign)",0,"","","",0,0,"",0,0
"01 Small Jobs","00991-04","\\Kor-fs01\Projects\Projects\01 Small Jobs\00991-04 (425 Carrall St Sidewalk Repair)",0,"","","",0,0,"",0,0
"01 Small Jobs","01009-04","\\Kor-fs01\Projects\Projects\01 Small Jobs\01009-04 (Sutton 845 Burrard Elevator Upgrade)",0,"","","",0,0,"",0,0
"01 Small Jobs","01195-01","\\Kor-fs01\Projects\Projects\01 Small Jobs\01195-01 (402 West Pender Cornice)",1,"2021-12-21","yes","\\Kor-fs01\Projects\Projects\01 Small Jobs\01195-01 (402 West Pender Cornice)\05 Stickfile\01195-01 - 402 W Pender - Struct Stickfile - 2021-12-21.pdf",0,1,"",0,0
"01 Small Jobs","01195-04","\\Kor-fs01\Projects\Projects\01 Small Jobs\01195-04 (402 West Pender BP Revisions)",0,"","","",0,0,"\\Kor-fs01\Projects\Projects\01 Small Jobs\01195-04 (402 West Pender BP Revisions)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"01 Small Jobs","01240-01","\\Kor-fs01\Projects\Projects\01 Small Jobs\01240-01 (705 Southborough, W Van)",0,"","","",0,0,"",0,0
