job,edb,e2k,bytes,outcome
"00171-04","","",0,"no .EDB in the model folder"
"00635-02","","",0,"no .EDB in the model folder"
"00638-03","","",0,"no .EDB in the model folder"
"00656-02","","",0,"no .EDB in the model folder"
"00759-02","","",0,"no .EDB in the model folder"
"00831-02","","",0,"no .EDB in the model folder"
"00831-03","","",0,"no .EDB in the model folder"
"00966-02","","",0,"no .EDB in the model folder"
"00966-05","","",0,"no .EDB in the model folder"
"00966-06","","",0,"no .EDB in the model folder"
"01195-04","","",0,"no .EDB in the model folder"
"01321-03","","",0,"no .EDB in the model folder"
"01323-03","","",0,"no .EDB in the model folder"
"01347-01","","",0,"no .EDB in the model folder"
"01537-02","","",0,"no .EDB in the model folder"
"01551-01","","",0,"no .EDB in the model folder"
"01576-01","","",0,"no .EDB in the model folder"
"01576-03","","",0,"no .EDB in the model folder"
"01580-01","","",0,"no .EDB in the model folder"
"01581-01","","",0,"no .EDB in the model folder"
"01582-01","","",0,"no .EDB in the model folder"
"01583-01","","",0,"no .EDB in the model folder"
"01584-01","","",0,"no .EDB in the model folder"
"01586-01","","",0,"no .EDB in the model folder"
"01587-01","","",0,"no .EDB in the model folder"
"01588-01","","",0,"no .EDB in the model folder"
"01589-01","","",0,"no .EDB in the model folder"
"01590-01","","",0,"no .EDB in the model folder"
"01591-01","","",0,"no .EDB in the model folder"
"01594-01","","",0,"no .EDB in the model folder"
"01595-01","","",0,"no .EDB in the model folder"
"01599-01","","",0,"no .EDB in the model folder"
"01600-01","","",0,"no .EDB in the model folder"
"01602-01","","",0,"no .EDB in the model folder"
"01603-01","","",0,"no .EDB in the model folder"
"01605-01","","",0,"no .EDB in the model folder"
"01605-02","","",0,"no .EDB in the model folder"
"01606-01","","",0,"no .EDB in the model folder"
"01607-01","","",0,"no .EDB in the model folder"
"01610-01","","",0,"no .EDB in the model folder"
"01611-01","","",0,"no .EDB in the model folder"
"01614-01","","",0,"no .EDB in the model folder"
"01615-01","","",0,"no .EDB in the model folder"
"01616-01","","",0,"no .EDB in the model folder"
"01616-02","","",0,"no .EDB in the model folder"
"01617-01","","",0,"no .EDB in the model folder"
"01618-01","","",0,"no .EDB in the model folder"
"01618-01","","",0,"no .EDB in the model folder"
"01620-01","","",0,"no .EDB in the model folder"
"01622-01","","",0,"no .EDB in the model folder"
"01623-01","","",0,"no .EDB in the model folder"
"01624-01","","",0,"no .EDB in the model folder"
"01625-01","","",0,"no .EDB in the model folder"
"01626-01","","",0,"no .EDB in the model folder"
"01627-01","","",0,"no .EDB in the model folder"
"01628-01","","",0,"no .EDB in the model folder"
"01629-01","","",0,"no .EDB in the model folder"
"01630-01","","",0,"no .EDB in the model folder"
"01631-01","","",0,"no .EDB in the model folder"
"01632-01","","",0,"no .EDB in the model folder"
"01633-01","","",0,"no .EDB in the model folder"
"01634-01","","",0,"no .EDB in the model folder"
"01635-01","","",0,"no .EDB in the model folder"
"01636-01","","",0,"no .EDB in the model folder"
"01637-01","","",0,"no .EDB in the model folder"
"01638-01","","",0,"no .EDB in the model folder"
"01639-01","","",0,"no .EDB in the model folder"
"01640-01","","",0,"no .EDB in the model folder"
"01641-01","","",0,"no .EDB in the model folder"
"01642-01","","",0,"no .EDB in the model folder"
"01643-01","","",0,"no .EDB in the model folder"
"01644-01","","",0,"no .EDB in the model folder"
"01645-01","","",0,"no .EDB in the model folder"
"01647-01","","",0,"no .EDB in the model folder"
"01648-01","","",0,"no .EDB in the model folder"
"01650-01","","",0,"no .EDB in the model folder"
"01651-01","","",0,"no .EDB in the model folder"
"01653-01","","",0,"no .EDB in the model folder"
"01654-01","","",0,"no .EDB in the model folder"
"01655-01","","",0,"no .EDB in the model folder"
"01656-01","","",0,"no .EDB in the model folder"
"01656-02","","",0,"no .EDB in the model folder"
"01657-01","","",0,"no .EDB in the model folder"
"01658-01","","",0,"no .EDB in the model folder"
"01659-01","","",0,"no .EDB in the model folder"
"01661-01","","",0,"no .EDB in the model folder"
"01662-01","","",0,"no .EDB in the model folder"
"01663-01","","",0,"no .EDB in the model folder"
"01665-01","","",0,"no .EDB in the model folder"
"01666-01","","",0,"no .EDB in the model folder"
"01668-04","","",0,"no .EDB in the model folder"
"01670-01","","",0,"no .EDB in the model folder"
"01672-01","","",0,"no .EDB in the model folder"
"01672-02","","",0,"no .EDB in the model folder"
"01673-01","","",0,"no .EDB in the model folder"
"01676-02","","",0,"no .EDB in the model folder"
"01678-01","","",0,"no .EDB in the model folder"
