run_id,job,page,sheet_number,sheet_type,title,level,scale_note,scale_denominator,slabs,columns,walls,lines,dxf_files,self_check,placed,storeys,flags,failure
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","1","S0.00","plan",,,,"96","0","0","0","1252","S0.00_1_LEVEL 4 REINFORCING PLAN NORTH SIDE.dxf | S0.00_2_LEVEL P3 PLAN FOUNDATIONS PLAN NORTH SIDE.dxf | S0.00_3_LEVEL P3 PLAN FOUNDATIONS PLAN SOUTH SIDE.dxf | S0.00_4_LEVEL P3 PLAN RAFT SLAB REINFORCING NORTH SIDE.dxf | S0.00_5_LEVEL P3 PLAN RAFT SLAB REINFORCING SOUTH SIDE.dxf | S0.00_6_LEVEL P3 PLAN STIRRUP REINFORCING NORTH SIDE.dxf | S0.00_7_LEVEL P3 PLAN STIRRUP REINFORCING SOUTH SIDE.dxf | S0.00_8_LEVEL P2 PLAN CONCRETE OUTLINE NORTH SIDE.dxf | S0.00_9_LEVEL P2 PLAN CONCRETE OUTLINE SOUTH SIDE.dxf | S0.00_10_LEVEL P2 REINFORCING PLAN NORTH SIDE.dxf | S0.00_11_LEVEL P2 REINFORCING PLAN SOUTH SIDE.dxf | S0.00_12_LEVEL P2 PLAN NORTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_13_LEVEL P2 PLAN SOUTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_14_LEVEL P1 PLAN CONCRETE OUTLINE NORTH SIDE.dxf | S0.00_15_LEVEL P1 PLAN CONCRETE OUTLINE SOUTH SIDE.dxf | S0.00_16_LEVEL P1 REINFORCING PLAN NORTH SIDE.dxf | S0.00_17_LEVEL P1 REINFORCING PLAN SOUTH SIDE.dxf | S0.00_18_LEVEL P1 PLAN NORTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_19_LEVEL P1 PLAN SOUTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_20_LEVEL 1 PLAN CONCRETE OUTLINE NORTH SIDE.dxf | S0.00_21_LEVEL 1 PLAN CONCRETE OUTLINE SOUTH SIDE.dxf | S0.00_22_LEVEL 1 REINFORCING PLAN NORTH SIDE.dxf | S0.00_23_LEVEL 1 REINFORCING PLAN SOUTH SIDE.dxf | S0.00_24_LEVEL 1 PLAN NORTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_25_LEVEL 1 PLAN SOUTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_26_LEVEL 2 PLAN CONCRETE OUTLINE NORTH SIDE.dxf | S0.00_27_LEVEL 2 PLAN CONCRETE OUTLINE SOUTH SIDE.dxf | S0.00_28_LEVEL 2 REINFORCING PLAN NORTH SIDE.dxf | S0.00_29_LEVEL 2 REINFORCING PLAN SOUTH SIDE.dxf | S0.00_30_LEVEL 2 PLAN NORTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_31_LEVEL 2 PLAN SOUTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_32_LEVEL 3 PLAN CONCRETE OUTLINE NORTH SIDE.dxf | S0.00_33_LEVEL 3 PLAN CONCRETE OUTLINE SOUTH SIDE.dxf | S0.00_34_LEVEL 3 REINFORCING PLAN NORTH SIDE.dxf | S0.00_35_LEVEL 3 REINFORCING PLAN SOUTH SIDE.dxf | S0.00_36_LEVEL 3 PLAN NORTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_37_LEVEL 3 PLAN SOUTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_38_LEVEL 4 PLAN CONCRETE OUTLINE NORTH SIDE.dxf | S0.00_39_LEVEL 4 PLAN CONCRETE OUTLINE SOUTH SIDE.dxf | S0.00_40_LEVEL 4 REINFORCING PLAN SOUTH SIDE.dxf | S0.00_41_LEVEL 4 PLAN NORTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_42_LEVEL 4 PLAN SOUTH SIDE DIAPHRAGM REINFORCING.dxf | S0.00_43_LEVEL 4 PLAN SOUTH SIDE BUILT UP POOL DECK.dxf | S0.00_44_LEVEL 5 PLAN CONCRETE OUTLINE NORTH SIDE.dxf | S0.00_45_LEVEL 5 REINFORCING PLAN NORTH SIDE.dxf | S0.00_46_LEVEL 5 PLAN DIAPHRAGM REINFORCING.dxf | S0.00_47_LEVEL 5 PLAN SOUTH SIDE.dxf | S0.00_48_LEVEL 6 12 PLAN CONCRETE OUTLINE.dxf | S0.00_49_LEVEL 6 12 PLAN REINFORCING.dxf | S0.00_50_LEVEL 6 12 PLAN DIAPHRAGM REINFORCING.dxf | S0.00_51_LEVEL 13 PLAN CONCRETE OUTLINE.dxf | S0.00_52_LEVEL 14 19 PLAN CONCRETE OUTLINE.dxf | S0.00_53_LEVEL 14 19 PLAN REINFORCING.dxf | S0.00_54_LEVEL 14-19 PLAN DIAPHRAGM REINFORCING.dxf | S0.00_55_LEVEL 20 22 PLAN CONCRETE OUTLINE.dxf | S0.00_56_LEVEL 23 24 PLAN CONCRETE OUTLINE.dxf | S0.00_57_LEVEL 25 32 PLAN CONCRETE OUTLINE.dxf | S0.00_58_LEVEL 25 32 PLAN REINFORCING.dxf | S0.00_59_LEVEL 25 32 PLAN DIAPHRAGM REINFORCING.dxf | S0.00_60_LEVEL 35 PLAN CONCRETE OUTLINE.dxf | S0.00_61_LEVEL 35 PLAN REINFORCING.dxf | S0.00_62_LEVEL 35 PLAN DIAPHRAGM REINFORCING.dxf | S0.00_63_ROOF PLAN CONCRETE OUTLINE.dxf | S0.00_64_ROOF PLAN REINFORCING.dxf | S0.00_65_LEVEL ROOF PLAN DIAPHRAGM REINFORCING.dxf | S0.00_66_MECHANICAL ROOF PLAN.dxf | S0.00_67_UPPER ROOF PLAN.dxf",,"False",,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","2","S0.01","plan",,,,"96","0","0","0","0",,,,,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","3","S0.02","plan",,,,"96","0","0","0","0",,,,,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","4","S0.04","cover/index",,,,"96","0","0","0","0",,,,,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","5","S0.05","cover/index",,,,"96","0","0","0","0",,,,,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","6","S0.06","cover/index",,,,"96","0","0","0","0",,,,,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","7","S0.07","cover/index",,,,"96","0","0","0","0",,,,,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","8","S1.01","notes/general",,,"1/8"" = 1'-0""","96","0","0","0","35",,,,,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","9","S1.02","notes/general",,,"1/8"" = 1'-0""","96","2","11","0","713",,,,,,
"0c722f24-6b8c-4875-b8e1-d8a41a5b7a14","30993-01","10","S1.03","details",,,,"96","19","3","32","2828",,,,,,
