Level,Element,Grade,Change,Category,ConcreteM3,RebarKg
LEVEL 1 - TN,Slab,,,,1565.9,
LEVEL 1 - TS,Slab,,,,811.1,
LEVEL 10 - TN,Slab,,,,125.5,
LEVEL 10 - TS,Slab,,,,125.6,
LEVEL 11 - TN,Slab,,,,125.8,
LEVEL 11 - TS,Slab,,,,125.8,
LEVEL 12 - TS,Slab,,,,125.6,
LEVEL 12-TN,Slab,,,,125.5,
LEVEL 13 - TS,Slab,,,,125.8,
LEVEL 13 TN,Slab,,,,125.8,
LEVEL 14 - TS,Slab,,,,125.6,
LEVEL 14 TN,Slab,,,,125.5,
LEVEL 15 - TS,Slab,,,,125.8,
LEVEL 15 TN,Slab,,,,125.8,
LEVEL 16 - TS,Slab,,,,125.6,
LEVEL 16 -TN,Slab,,,,125.5,
LEVEL 17 - TS,Slab,,,,125.8,
LEVEL 17 -TN,Slab,,,,125.8,
LEVEL 18 - TS,Slab,,,,125.6,
LEVEL 18 TN,Slab,,,,125.5,
LEVEL 19 - TN,Slab,,,,190.1,
LEVEL 19 - TS,Slab,,,,194.7,
LEVEL 2 - TN,Slab,,,,274.4,
LEVEL 2 - TS,Slab,,,,399.7,
LEVEL 3 - TN,Slab,,,,272.8,
LEVEL 3 - TS,Slab,,,,199.4,
LEVEL 4 - TN,Slab,,,,316.1,
LEVEL 4 - TS,Slab,,,,198.1,
LEVEL 5 - TN,Slab,,,,271.4,
LEVEL 5 - TS,Slab,,,,185.8,
LEVEL 6 - TN,Slab,,,,125.5,
LEVEL 6 - TS,Slab,,,,125.6,
LEVEL 7 - TN,Slab,,,,125.8,
LEVEL 7 - TS,Slab,,,,125.8,
LEVEL 8 - TN,Slab,,,,125.5,
LEVEL 8 - TS,Slab,,,,125.6,
LEVEL 9 - TN,Slab,,,,125.8,
LEVEL 9 - TS,Slab,,,,125.8,
LEVEL P1,Slab,,,,604.5,
LEVEL P2,Slab,,,,785.5,
LEVEL P3,Slab,,,,489.0,
LEVEL 1 - TN,Wall,,,,154.0,
LEVEL 1 - TS,Wall,,,,184.0,
LEVEL 19 - TN,Wall,,,,44.0,
LEVEL 19 - TS,Wall,,,,57.0,
LEVEL 4 - TN,Wall,,,,14.0,
LEVEL 5 - TN,Wall,,,,3.0,
LEVEL P1,Wall,,,,52.0,
LEVEL P2,Wall,,,,8.0,
LEVEL P3,Wall,,,,2459.0,
LEVEL 1 - TN,Column,,,,193.0,
LEVEL 1 - TS,Column,,,,144.0,
LEVEL 19 - TN,Column,,,,7.0,
LEVEL 19 - TS,Column,,,,10.0,
LEVEL 2 - TN,Column,,,,74.0,
LEVEL 2 - TS,Column,,,,79.0,
LEVEL 3 - TN,Column,,,,0.0,
LEVEL 3 - TS,Column,,,,0.0,
LEVEL 4 - MID-ST,Column,,,,0.0,
LEVEL 4 - TN,Column,,,,1.0,
LEVEL 4 - TS,Column,,,,25.0,
LEVEL 5 - TN,Column,,,,34.0,
LEVEL 5 - TS,Column,,,,38.0,
LEVEL P1,Column,,,,3.0,
LEVEL P3,Column,,,,206.0,
LEVEL P3,Foundation,,,,1665.0,
