Level,Element,Grade,Change,Category,ConcreteM3,RebarKg
LEVEL 1 - TN,Slab,,,,1561.2,
LEVEL 1 - TS,Slab,,,,829.3,
LEVEL 10 - TN,Slab,,,,125.3,
LEVEL 10 - TS,Slab,,,,125.4,
LEVEL 11 - TN,Slab,,,,125.5,
LEVEL 11 - TS,Slab,,,,125.6,
LEVEL 12 - TS,Slab,,,,125.4,
LEVEL 12-TN,Slab,,,,125.3,
LEVEL 13 - TS,Slab,,,,125.6,
LEVEL 13 TN,Slab,,,,125.5,
LEVEL 14 - TS,Slab,,,,125.4,
LEVEL 14 TN,Slab,,,,125.3,
LEVEL 15 - TS,Slab,,,,125.6,
LEVEL 15 TN,Slab,,,,125.5,
LEVEL 16 - TS,Slab,,,,125.4,
LEVEL 16 -TN,Slab,,,,125.3,
LEVEL 17 - TS,Slab,,,,125.6,
LEVEL 17 -TN,Slab,,,,125.5,
LEVEL 18 - TS,Slab,,,,125.4,
LEVEL 18 TN,Slab,,,,125.3,
LEVEL 19 - TN,Slab,,,,187.3,
LEVEL 19 - TS,Slab,,,,187.5,
LEVEL 2 - TN,Slab,,,,274.4,
LEVEL 2 - TS,Slab,,,,401.5,
LEVEL 3 - TN,Slab,,,,272.5,
LEVEL 3 - TS,Slab,,,,199.3,
LEVEL 4 - TN,Slab,,,,315.8,
LEVEL 4 - TS,Slab,,,,198.0,
LEVEL 5 - TN,Slab,,,,271.6,
LEVEL 5 - TS,Slab,,,,185.6,
LEVEL 6 - TN,Slab,,,,125.3,
LEVEL 6 - TS,Slab,,,,125.4,
LEVEL 7 - TN,Slab,,,,125.5,
LEVEL 7 - TS,Slab,,,,125.6,
LEVEL 8 - TN,Slab,,,,125.3,
LEVEL 8 - TS,Slab,,,,125.4,
LEVEL 9 - TN,Slab,,,,125.5,
LEVEL 9 - TS,Slab,,,,125.6,
LEVEL P1,Slab,,,,605.0,
LEVEL P2,Slab,,,,785.5,
LEVEL P3,Slab,,,,489.1,
LEVEL 1 - TN,Wall,,,,154.0,
LEVEL 1 - TS,Wall,,,,197.0,
LEVEL 19 - TN,Wall,,,,41.0,
LEVEL 19 - TS,Wall,,,,55.0,
LEVEL 2 - TN,Wall,,,,0.0,
LEVEL 4 - TN,Wall,,,,14.0,
LEVEL 5 - TN,Wall,,,,3.0,
LEVEL P1,Wall,,,,44.0,
LEVEL P2,Wall,,,,12.0,
LEVEL P3,Wall,,,,2475.0,
LEVEL 1 - TN,Column,,,,193.0,
LEVEL 1 - TS,Column,,,,147.0,
LEVEL 19 - TN,Column,,,,7.0,
LEVEL 19 - TS,Column,,,,10.0,
LEVEL 2 - TN,Column,,,,74.0,
LEVEL 2 - TS,Column,,,,79.0,
LEVEL 3 - TN,Column,,,,0.0,
LEVEL 3 - TS,Column,,,,0.0,
LEVEL 4 - MID-ST,Column,,,,0.0,
LEVEL 4 - TN,Column,,,,1.0,
LEVEL 4 - TS,Column,,,,25.0,
LEVEL 5 - TN,Column,,,,34.0,
LEVEL 5 - TS,Column,,,,38.0,
LEVEL P3,Column,,,,205.0,
LEVEL P3,Foundation,,,,1644.0,
