Level,Element,Grade,Change,Category,ConcreteM3,RebarKg
Roof,Slab,C30,(unchanged),,138.9,
L19,Slab,C30,Floor slab 11.81 in,2. Cadmakers/RFI/SI,378.1,
L18,Slab,C30,(unchanged),,212.2,
L17,Slab,C30,(unchanged),,210.4,
L16,Slab,C30,(unchanged),,210.5,
L15,Slab,C30,(unchanged),,210.4,
L14,Slab,C30,(unchanged),,210.5,
L13,Slab,C30,(unchanged),,210.4,
L12,Slab,C30,(unchanged),,210.5,
L11,Slab,C30,(unchanged),,210.4,
L10,Slab,C30,(unchanged),,210.5,
L9,Slab,C30,(unchanged),,210.4,
L8,Slab,C30,(unchanged),,210.5,
L7,Slab,C30,(unchanged),,210.4,
L6,Slab,C30,(unchanged),,210.4,
L5,Slab,C30,(unchanged),,286.6,
L4,Slab,C30,(unchanged),,268.1,
L3,Slab,C30,(unchanged),,277.6,
L2,Slab,C30,(unchanged),,286.5,
