Level,Element,Grade,Change,Category,ConcreteM3,RebarKg
LEVEL P3,Slab,,,,489.03,
LEVEL P2,Slab,30 MPa,,,785.48,
LEVEL P1,Slab,30 MPa,,,604.46,
LEVEL 1 - TS,Slab,,,,811.10,
LEVEL 1 - TN,Slab,30 MPa,,,1565.92,
LEVEL 2 - TS,Slab,30 MPa,,,399.68,
LEVEL 2 - TN,Slab,30 MPa,,,274.42,
LEVEL 3 - TS,Slab,30 MPa,,,199.43,
LEVEL 3 - TN,Slab,30 MPa,,,272.84,
LEVEL 4 - TS,Slab,30 MPa,,,198.13,
LEVEL 4 - TN,Slab,30 MPa,,,316.14,
LEVEL 5 - TS,Slab,30 MPa,,,185.79,
LEVEL 5 - TN,Slab,30 MPa,,,271.36,
LEVEL 6 - TS,Slab,30 MPa,,,125.64,
LEVEL 6 - TN,Slab,30 MPa,,,125.53,
LEVEL 7 - TS,Slab,30 MPa,,,125.84,
LEVEL 7 - TN,Slab,30 MPa,,,125.75,
LEVEL 8 - TS,Slab,30 MPa,,,125.64,
LEVEL 8 - TN,Slab,30 MPa,,,125.53,
LEVEL 9 - TS,Slab,30 MPa,,,125.84,
LEVEL 9 - TN,Slab,30 MPa,,,125.75,
LEVEL 10 - TS,Slab,30 MPa,,,125.64,
LEVEL 10 - TN,Slab,30 MPa,,,125.53,
LEVEL 11 - TS,Slab,30 MPa,,,125.84,
LEVEL 11 - TN,Slab,30 MPa,,,125.75,
LEVEL 12 - TS,Slab,30 MPa,,,125.64,
LEVEL 12-TN,Slab,30 MPa,,,125.53,
LEVEL 13 - TS,Slab,30 MPa,,,125.84,
LEVEL 13 TN,Slab,30 MPa,,,125.75,
LEVEL 14 - TS,Slab,30 MPa,,,125.64,
LEVEL 14 TN,Slab,30 MPa,,,125.53,
LEVEL 15 - TS,Slab,30 MPa,,,125.84,
LEVEL 15 TN,Slab,30 MPa,,,125.75,
LEVEL 16 - TS,Slab,30 MPa,,,125.64,
LEVEL 16 -TN,Slab,30 MPa,,,125.53,
LEVEL 17 - TS,Slab,30 MPa,,,125.84,
LEVEL 17 -TN,Slab,30 MPa,,,125.75,
LEVEL 18 - TS,Slab,30 MPa,,,125.64,
LEVEL 18 TN,Slab,30 MPa,,,125.53,
LEVEL 19 - TS,Slab,30 MPa,,,194.68,
LEVEL 19 - TN,Slab,30 MPa,,,190.08,
