Level,Element,Grade,Change,Category,ConcreteM3,RebarKg
LEVEL P3,Slab,,,,489.07,
LEVEL P2,Slab,30 MPa,,,785.45,
LEVEL P1,Slab,30 MPa,,,605.05,
LEVEL 1 - TS,Slab,,,,829.32,
LEVEL 1 - TN,Slab,30 MPa,,,1561.16,
LEVEL 2 - TS,Slab,30 MPa,,,401.50,
LEVEL 2 - TN,Slab,30 MPa,,,274.41,
LEVEL 3 - TS,Slab,30 MPa,,,199.27,
LEVEL 3 - TN,Slab,30 MPa,,,272.52,
LEVEL 4 - TS,Slab,30 MPa,,,197.97,
LEVEL 4 - TN,Slab,30 MPa,,,315.82,
LEVEL 5 - TS,Slab,30 MPa,,,185.61,
LEVEL 5 - TN,Slab,30 MPa,,,271.58,
LEVEL 6 - TS,Slab,30 MPa,,,125.44,
LEVEL 6 - TN,Slab,30 MPa,,,125.32,
LEVEL 7 - TS,Slab,30 MPa,,,125.64,
LEVEL 7 - TN,Slab,30 MPa,,,125.54,
LEVEL 8 - TS,Slab,30 MPa,,,125.44,
LEVEL 8 - TN,Slab,30 MPa,,,125.32,
LEVEL 9 - TS,Slab,30 MPa,,,125.64,
LEVEL 9 - TN,Slab,30 MPa,,,125.54,
LEVEL 10 - TS,Slab,30 MPa,,,125.44,
LEVEL 10 - TN,Slab,30 MPa,,,125.32,
LEVEL 11 - TS,Slab,30 MPa,,,125.64,
LEVEL 11 - TN,Slab,30 MPa,,,125.54,
LEVEL 12 - TS,Slab,30 MPa,,,125.44,
LEVEL 12-TN,Slab,30 MPa,,,125.32,
LEVEL 13 - TS,Slab,30 MPa,,,125.64,
LEVEL 13 TN,Slab,30 MPa,,,125.54,
LEVEL 14 - TS,Slab,30 MPa,,,125.44,
LEVEL 14 TN,Slab,30 MPa,,,125.32,
LEVEL 15 - TS,Slab,30 MPa,,,125.64,
LEVEL 15 TN,Slab,30 MPa,,,125.54,
LEVEL 16 - TS,Slab,30 MPa,,,125.44,
LEVEL 16 -TN,Slab,30 MPa,,,125.32,
LEVEL 17 - TS,Slab,30 MPa,,,125.64,
LEVEL 17 -TN,Slab,30 MPa,,,125.54,
LEVEL 18 - TS,Slab,30 MPa,,,125.44,
LEVEL 18 TN,Slab,30 MPa,,,125.32,
LEVEL 19 - TS,Slab,30 MPa,,,187.47,
LEVEL 19 - TN,Slab,30 MPa,,,187.34,
