Tab,UI Label / Column Header,ViewModel Property,Service / Loader Method,SQL Table.Column,Query / Calculation Notes
Overview,Projects (KPI),Headline.Projects,FinancialsService.ComputeHeadline(),PR.WBS1 (COUNT),Count of active watchlist projects from LoadBaseProjectsSync()
Overview,Total Fees (KPI),Headline.TotalFees,FinancialsService.ComputeHeadline(),PR.Fee,SUM(Fee) across all rows
Overview,Total Fee Billed (KPI),Headline.TotalFeeBilled,FinancialsService.ComputeHeadline(),PRSummaryMain.Revenue,"SUM(Revenue) via LoadFeeBilledSync(), grouped by WBS1"
Overview,Total GFA (KPI),Headline.TotalGfa,FinancialsService.ComputeHeadline(),ProjectCustomTabFields.CustActualGFA,SUM(GFA) across all rows
Overview,Hours Spent (KPI),Headline.HoursSpent,FinancialsService.ComputeHeadline(),tkDetail.RegHrs + tkDetail.OvtHrs,"SUM(RegHrs+OvtHrs) all LaborCodes 10-80, via LoadHoursByLaborSync()"
Overview,Hours Budgeted (KPI),Headline.HoursBudgeted,FinancialsService.ComputeHeadline(),PRLabor.EstimateHrs,"SUM(EstimateHrs) for Eng+Draft LaborIDs, or GFA/fee-based fallback"
Overview,Total Unbilled (KPI),Headline.TotalUnbilled,FinancialsService.ComputeHeadline(),PR.Fee - PRSummaryMain.Revenue,Calculated: TotalFees - TotalFeeBilled
Overview,% Fee Unbilled (KPI),Headline.PercentFeeUnbilled,FinancialsService.ComputeHeadline(),PR.Fee / PRSummaryMain.Revenue,Calculated: TotalUnbilled / TotalFees
Overview,Avg Fee per ft (KPI),Headline.AvgFeePerFt2,FinancialsService.ComputeHeadline(),PR.Fee / ProjectCustomTabFields.CustActualGFA,SUM(Fee where GFA>0) / SUM(GFA where GFA>0)
Overview,Hours Remaining (KPI),Headline.HoursRemaining,FinancialsService.ComputeHeadline(),PRLabor.EstimateHrs - tkDetail.(RegHrs+OvtHrs),Calculated: HoursBudgeted - HoursSpent
Overview,% Hours Spent (KPI),Headline.PercentHoursSpent,FinancialsService.ComputeHeadline(),tkDetail / PRLabor,Calculated: HoursSpent / HoursBudgeted
Overview,Team-Days Remaining (KPI),Headline.TeamDaysRemaining,FinancialsService.ComputeHeadline(),derived,Calculated: HoursRemaining / 7.5 / 35.0
Overview,Portfolio Risk Exposure Fee,PortfolioRiskExposureFee,RecalcPortfolio(),PR.Fee (filtered),SUM(Fee) where DeliveryConfidenceLevel == Critical
Overview,Portfolio Critical Count,PortfolioCriticalCount,RecalcPortfolio(),derived from tkDetail + PRLabor + PR.Fee,COUNT where FeeBilled>Fee OR HoursSpent>HoursBudgeted
Overview,Portfolio At Risk Count,PortfolioAtRiskCount,RecalcPortfolio(),derived from tkDetail + PRLabor,COUNT where PctHoursSpent > (PctFeeBilled + 0.15)
Overview,Portfolio Stable Count,PortfolioStableCount,RecalcPortfolio(),derived from tkDetail + PRLabor,COUNT where RemainingEng < 0.15 * HoursBudgeted (and not Critical/AtRisk)
Overview,Portfolio High Confidence Count,PortfolioHighConfidenceCount,RecalcPortfolio(),derived,COUNT of all remaining projects
Overview,Grid: Project Number,Wbs1,FinancialsService.LoadBaseProjectsSync(),PR.WBS1,Direct column
Overview,Grid: Name,Name,FinancialsService.LoadBaseProjectsSync(),PR.Name,Direct column
Overview,Grid: Phase,Phase,FinancialsService.LoadBaseProjectsSync(),ProjectCustomTabFields.CustProjectPhase,MAX grouped by WBS1
Overview,Grid: PM,Pm,FinancialsService.LoadBaseProjectsSync(),EMMain.FirstName + EMMain.LastName,Joined via PR.ProjMgr = EMMain.Employee
Overview,Grid: GFA,Gfa,FinancialsService.LoadBaseProjectsSync(),ProjectCustomTabFields.CustActualGFA,MAX grouped by WBS1
Overview,Grid: Fee,Fee,FinancialsService.LoadBaseProjectsSync(),PR.Fee,Direct column
Overview,Grid: Fee Billed,FeeBilled,FinancialsService.LoadFeeBilledSync(),PRSummaryMain.Revenue,SUM(Revenue) grouped by WBS1
Overview,Grid: % Billed,PercentBilled,Calculated,FeeBilled / Fee,Calculated: FeeBilled / Fee
Overview,Grid: Eng,EngHrs,FinancialsService.LoadHoursByLaborSync(),tkDetail.RegHrs + tkDetail.OvtHrs,SUM where LaborCode=10
Overview,Grid: Draft,DraftHrs,FinancialsService.LoadHoursByLaborSync(),tkDetail.RegHrs + tkDetail.OvtHrs,SUM where LaborCode=20
Overview,Grid: Chk,ChkHrs,FinancialsService.LoadHoursByLaborSync(),tkDetail.RegHrs + tkDetail.OvtHrs,SUM where LaborCode=30
Overview,Grid: Insp,InspHrs,FinancialsService.LoadHoursByLaborSync(),tkDetail.RegHrs + tkDetail.OvtHrs,SUM where LaborCode=40
Overview,Grid: Draft Budget,DraftBudget,FinancialsService.LoadPrLaborSync(),PRLabor.EstimateHrs,SUM(EstimateHrs) for Draft LaborID; fallback GFA/fee calc
Overview,Grid: Eng Budget,EngBudget,FinancialsService.LoadPrLaborSync(),PRLabor.EstimateHrs,SUM(EstimateHrs) for Eng LaborID; fallback GFA/fee calc
Overview,Grid: Draft%,DraftPercent,Calculated,tkDetail / PRLabor,DraftHrs / DraftBudget
Overview,Grid: Eng%,EngPercent,Calculated,tkDetail / PRLabor,EngHrs / EngBudget
Overview,Grid: Fee/Hours,FeePerHours,Calculated,PR.Fee / tkDetail,Fee / (Eng+Draft+Chk+Insp hours)
Overview,Grid: Billed/Hours,BilledPerHours,Calculated,PRSummaryMain.Revenue / tkDetail,FeeBilled / total hours
Exec Summary,Cash Position (KPI Card),KpiCardVm.ValueText,CashLoader.Load(),GLSummary.Amount + CFGBanks,SUM of GL entries for bank accounts; CFGBanks.Company/Account/Org defines accounts
Exec Summary,Cash History (sparkline),KpiCardVm.Points,CashLoader.Load(),GLSummary.Period + GLSummary.Amount,Cumulative monthly GL entries for bank account pairs
Exec Summary,AR Outstanding (KPI Card),KpiCardVm.ValueText,ArLoader.Load(),AR.InvBalanceSourceCurrency,SUM(InvBalanceSourceCurrency) for active watchlist WBS1s
