LoserId,SurvivorId,Reason
37170,30637,and-vs-ampersand variant of 'Act III Design & Construction Ltd.'
2645,2643,and-vs-ampersand variant of 'ARTE Roofing & Construction'
48434,48276,and-vs-ampersand variant of 'B and S Construction'
76226,53679,and-vs-ampersand variant of 'BC Ministry of Transportation and Infrastructure'
75652,76021,and-vs-ampersand variant of 'BC Ministry of Transportation and Transit'
3118,3116,and-vs-ampersand variant of 'Beairsto & Associates Engineering Ltd.'
75196,38919,and-vs-ampersand variant of 'Brandow & Johnston Inc.'
51093,40560,and-vs-ampersand variant of 'CANADA PAVING & CONSTRUCTION'
4435,4434,and-vs-ampersand variant of 'Casey Executive Coaching & Team Development'
33579,33577,and-vs-ampersand variant of 'City and Country Contracting'
24400,23420,and-vs-ampersand variant of 'Constec Designs & Contracting LTD.'
5611,5609,and-vs-ampersand variant of 'CT & Associates Engineering Inc.'
50448,67129,and-vs-ampersand variant of 'DesignPoint Engineering and Surveying Ltd'
6115,6112,and-vs-ampersand variant of 'Devitt & Forand Contractors Inc'
48089,47900,and-vs-ampersand variant of 'Emmons and Mitchell Construction'
885,244,and-vs-ampersand variant of 'Environment & Resources Sector'
7167,7166,and-vs-ampersand variant of 'Eurotech Roofing & Renovations Ltd.'
26637,26636,and-vs-ampersand variant of 'Hyer Homes & Renovations Ltd.'
60821,59175,and-vs-ampersand variant of 'INSIGHTS LEARNING & DEVELOPMENT'
9849,9847,and-vs-ampersand variant of 'J.R Construction Equipment Sales and Rentals Ltd.'
52919,10774,and-vs-ampersand variant of 'Leader Service & Renovations Ltd.'
10771,1066,and-vs-ampersand variant of 'Lea Painting & Construction'
37968,19008,and-vs-ampersand variant of 'Liban Property Management & Construction Co Ltd'
51128,49538,and-vs-ampersand variant of 'MacDonald Paving & Construction Ltd'
52063,41842,and-vs-ampersand variant of 'M AND R ENGINEERING LIMITED'
11508,11507,and-vs-ampersand variant of 'McCuaig & Associates Engineering Ltd.'
41785,11806,and-vs-ampersand variant of 'Mid-West Design & Construction Ltd.'
31533,31392,and-vs-ampersand variant of 'Modern Interior Concepts Design And Contracting Inc'
50148,47853,and-vs-ampersand variant of 'Nappaq Design and Construction Ltd.'
12197,12196,and-vs-ampersand variant of 'N.L. Smith and Sons Construction Ltd.'
12607,12606,and-vs-ampersand variant of 'Norwest Construction & Management Ltd.'
576,523,and-vs-ampersand variant of 'Office of the Child and Youth Advocate'
48663,48477,and-vs-ampersand variant of 'Olsen Construction & Consulting Services Ltd.'
34904,27957,and-vs-ampersand variant of 'PCM Pomeroy Construction and Maintenance'
53033,49197,and-vs-ampersand variant of 'Prestige Design and Construction'
13701,13699,and-vs-ampersand variant of 'Primary Engineering & Construction Corporation'
13768,13766,and-vs-ampersand variant of 'Professional Excavators & Construction Inc'
13830,13740,and-vs-ampersand variant of 'Pro Star Cleaning and Restoration'
13973,13972,and-vs-ampersand variant of 'Quest Construction & Management'
28872,25587,and-vs-ampersand variant of 'Rarity Homes & Construction Inc.'
14428,14427,and-vs-ampersand variant of 'RICE ENGINEERING & OPERATING LTD'
15372,15370,and-vs-ampersand variant of 'Shunda Consulting & Construction Management Ltd'
32007,31930,and-vs-ampersand variant of 'Sian Development & Contracting Ltd.'
71110,71019,and-vs-ampersand variant of 'Smith Bros. & Wilson'
63113,63103,and-vs-ampersand variant of 'TNT Construction and Maintenance'
46643,41116,and-vs-ampersand variant of 'Townsend and Sons Contracting Ltd.'
75187,68713,and-vs-ampersand variant of 'Wright Runstad & Company'
