LoserId,SurvivorId,Reason
76017,880,Fraser Health / BC Cancer -> Fraser Health Authority (#880)
76025,880,Fraser Health / Province of BC -> Fraser Health Authority (#880)
76429,54977,Interior Health Authority / BC Cancer -> Interior Health (#54977)
76034,54979,Island Health / BC Cancer -> Island Health (#54979)
76018,54979,Island Health / Infrastructure BC -> Island Health (#54979)
73800,54979,Vancouver Island Health Authority -> Island Health (#54979)
75958,54979,VIHA (Island Health) -> Island Health (#54979)
54819,54979,Island Health Authority / CRHD -> Island Health (#54979)
75655,54976,Northern Health Authority (Client) -> Northern Health (#54976)
75844,72211,PHSA (empty husk) -> Provincial Health Services Authority (#72211)
72308,72211,PHSA Major Capital Projects -> PHSA umbrella (#72211)
72330,72211,PHSA Planning and Projects -> PHSA umbrella (#72211)
54962,72211,PHSA incl BC Cancer (Client) -> PHSA umbrella (#72211)
