LoserId,SurvivorId,Reason
76577,90,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Air Studio Architecture -> Air Studio)
76181,70662,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Annie M Charbonneau -> Annie M Charbonneau Architecture Inc.)
76666,76667,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (BC Timber Sales Branch
Stuart-Nechako -> BC Timber Sales Branch Stuart-Nechako)
76576,76110,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Beedie -> Beedie Group)
75763,67888,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Boni-Maddison -> BONI MADDISON ARCHITECTS)
75564,73714,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Bora Architecture -> Bora Architects)
75697,3,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Cantiro -> Cantiro Group)
72470,76624,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (CapitalCare Group Inc. -> CapitalCare)
4637,4634,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Cervus Contractors Equipment LP -> CERVUS CONTRACTORS EQUIPMENT)
76796,69137,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Delawie Architects -> Delawie)
76566,70884,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (D.G.S. Construction Company Ltd. -> DGS Construction)
76693,69123,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (DYS Architects -> DYS Architecture)
76646,71204,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Eagle Builders LP -> Eagle Builders LLP)
75908,71074,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (EKISTICS -> EKISTICS Architecture Inc.)
76538,69434,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (f2a architecture -> F2A)
76728,54190,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (GBL Group -> GBL Architects)
76322,68874,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (HGA Architects -> HGA)
76655,71633,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (HSEA Architecture -> HSEA)
76610,69703,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Iredale Architecture -> Iredale Group Architecture)
75159,76997,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Level 10 Construction -> LEVEL 10 CONSTRUCTION LP)
75563,68695,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (LMN -> LMN Architects)
75918,69436,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (LWPAC -> LWPAC Architects)
76602,69436,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (LWPAC Architecture -> LWPAC Architects)
76153,26926,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (MCM Partnership Architects -> MCM Partnership)
76607,76161,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (MGBA Architecture Inc. -> MGBA Inc.)
76076,76614,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Millenium Development Corp. -> Millenium Development Group)
70102,70957,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Morphosis -> Morphosis Architects)
76678,54911,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Nilhts�I Ecoener Energy Corp -> Nilhts’I Ecoener Energy Corp)
76579,38970,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Olson Kundig Architects -> Olson Kundig)
76073,161,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Peterson -> Peterson Group)
69757,76707,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Raffi Architecture -> Raffi Architects)
76219,71330,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Ron Hart Architect Ltd -> Ron Hart Architecture)
76071,69446,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (RWA Architecture Group -> RWA Group Architecture)
76091,69731,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Thompson Creek Metals Company Inc. -> Thompson Creek Metals)
76063,70674,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Townline Group -> Townline)
54601,69250,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Wall Financial Group -> Wall Financial Corporation)
76658,25,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (Wilden -> Wilden Group)
76893,32418,north-cleanup 2026-06-21: descriptor/word-order/encoding variant of same firm; reviewed + Ian-approved (WRNS Studio -> Wrns Studio Architecture)
