LoserId,SurvivorId
76543,68983
75912,29895
76104,99
23782,70543
75553,70543
76695,211
54868,186
25809,54571
72169,54571
75582,125
76085,125
76688,125
70840,52
76279,70684
76682,69750
75476,17
75952,54985
76003,69589
76254,69589
76547,69589
76725,69589
76641,71134
76564,69312
46132,12496
75893,12496
76183,12496
76521,70681
76054,38950
76094,53
75016,53665
27391,34554
31330,69804
76684,69804
76571,69665
76056,38973
76526,190
76556,16
75583,150
53763,10
76494,69217
76228,69631
76679,69730
76395,68879
76070,43
54792,71109
76708,42
30799,75595
40907,20869
19719,19717
21582,19717
76701,69696
72164,69109
75511,69109
75795,69109
76511,69109
76942,68746
76503,69807
20099,221
23545,221
27091,221
76537,54947
76800,54947
76845,54947
25960,37793
76169,69121
18918,18917
72328,18917
18997,133
26556,133
31676,133
33239,133
34526,133
36090,133
37356,133
37583,133
37737,133
76080,191
76177,191
73674,54936
75825,38935
75895,38935
76513,38
76694,55102
