LoserId,SurvivorId
76128,69683
75783,68756
75717,70108
75796,38960
75836,38960
75521,476
75700,476
75591,50
2274,72435
75693,207
76127,207
75680,153
75696,53610
72110,2953
76401,2953
76111,69704
75650,38939
75651,43875
75975,53679
76119,205
75480,54928
75601,54928
76215,54928
76152,71099
25155,75573
69806,75573
76092,69677
75576,38943
3616,903
74051,54957
75827,75868
38920,75868
76612,69719
75522,72042
75701,68781
76418,68781
76453,575
76036,69207
70255,142
76083,142
75604,4708
76414,4708
76523,75841
68969,75841
75585,7
76268,54553
75577,691
76452,53119
4889,53280
76445,58
76252,4922
75484,4922
72007,76373
76463,54541
76106,38946
75608,38946
75580,38946
75505,49
75835,85
76661,54740
75586,89
76084,24
76524,73997
75839,73997
75840,73997
75472,73997
69860,6154
75875,6154
75991,6154
75645,6154
76244,6154
76286,6154
76321,69865
76216,54753
75992,69123
70043,69123
76632,68837
76629,68782
76303,22257
76640,75664
75873,38925
75494,7345
76241,7345
76540,69646
75789,7843
75579,54190
75644,54190
75506,1
75718,68631
75791,68631
76331,68631
75681,8129
76051,69614
76278,69232
76411,69232
75485,68986
76040,68986
76546,69629
76132,69629
76365,8799
75809,72190
75542,71316
76500,68998
75682,72071
75722,68644
75910,71250
75786,75930
72272,75930
75528,54979
75486,54979
75572,69676
75683,70543
76638,70543
76232,70543
75497,48505
76323,54571
75471,72169
75478,72169
75654,18869
76116,200
76534,69671
76413,69671
76113,75582
76205,69756
69001,76512
75729,68647
75730,68742
75666,68742
76368,75649
69529,75649
75673,75649
76470,69320
76542,69320
75843,69094
76653,11697
76444,23987
75969,23987
75529,23987
75976,69746
75837,69322
75495,68913
55017,55014
75597,69589
76200,69589
76302,69589
70241,76515
75544,71338
76598,76183
75531,852
76588,4
75898,38969
75732,38949
76616,38950
76016,68865
76176,68865
75656,75662
75589,70919
75603,13243
75715,13243
76243,13243
76250,20517
34673,55121
75620,69740
76004,75793
75684,75793
75720,75793
75571,53665
28,75574
76581,69122
75532,72211
76454,72211
76455,72211
530,72211
680,72211
76223,76159
68915,76159
76510,76159
76402,38972
70261,42656
76107,69694
76464,54015
75598,157
75647,38974
75861,38974
76596,38974
76299,69014
75667,69014
75824,69014
75830,69014
75831,69014
75493,69014
76451,72044
75686,14871
76328,38933
68984,76516
75833,69164
76120,69164
76541,69164
76064,69631
75537,771
75659,771
75829,70606
76330,68872
76155,69730
76186,75558
70904,75558
70005,75558
69984,75558
69608,75558
75473,75558
75030,15944
76506,15944
75507,68879
76175,68879
76593,43
76296,69326
76103,42
76118,54674
145,75595
16770,354
76122,69696
75491,18908
75708,68746
75669,68746
75985,68897
75780,69680
75816,75490
76433,75490
62038,763
17617,763
75538,459
76164,459
76474,459
75660,459
75540,74225
74905,68861
76300,15
75959,18918
38952,75853
75489,18920
72263,17746
75584,12
75781,75642
75590,60
76112,225
76062,69660
76010,38975
75474,38975
76211,38975
76297,38975
75922,38934
76006,38934
75668,38934
69473,38934
69972,38934
69976,38934
69941,38934
69987,38934
72455,38934
76340,38934
