LoserId,SurvivorId
53270,53569
53311,69677
53318,7723
53415,73785
53421,541
53422,53581
53434,53569
53446,23209
53476,17225
53484,53498
53499,16617
53561,55066
53637,328
53643,72376
54915,38946
55092,70099
68731,68713
68789,53581
68800,75642
68803,68805
68806,53119
69355,74011
69365,69401
69366,69740
69368,69402
69390,59399
69896,54159
69971,69094
70807,75504
70896,69676
70923,76011
70974,66443
71006,76110
71181,38948
71463,4771
71480,75055
71483,8799
71485,75896
71500,69767
71502,69765
72186,38975
72410,75066
72437,5472
74102,14871
74104,8799
74164,53581
74166,476
74168,612
74169,53119
74177,53280
74333,53287
74337,53119
74341,53119
74342,894
74343,53280
74344,53280
74345,53352
74347,5472
74357,304
74360,304
74362,53303
75508,54979
75509,54979
75510,54977
75514,18863
75515,902
75516,902
75517,54033
75518,158
75567,55056
75592,55056
75845,142
75847,18863
75848,69357
75849,54979
75850,54977
75862,69094
75865,70544
75872,75055
75890,68972
75894,69122
75900,69443
75904,69431
75905,71506
75924,54997
75925,55001
75926,66236
75927,66236
75929,54992
75933,59575
75939,54985
75940,54190
75941,54986
75942,69412
76015,69127
76022,399
76038,54977
76170,54735
76178,399
76179,6154
76185,54977
76187,68972
76188,54979
76192,68917
76201,38970
76203,55108
76204,399
76208,691
76209,72190
76212,880
76214,53802
76217,18832
76218,119
76224,75811
76227,54190
76229,69122
76230,69781
76231,22377
76237,69646
76248,68972
76339,16944
76343,54979
76344,69999
76349,18907
76351,54977
76352,54977
76353,54977
76354,57258
76355,18828
76360,69760
76366,326
76370,66236
76371,11072
76372,23640
76376,399
76377,36400
76378,85
76380,18869
76382,772
76383,71330
76386,70635
76389,54211
76477,70016
76481,69999
76482,70040
76483,54826
76484,69998
76487,69767
76488,69999
76493,75811
76495,68972
76497,54372
76509,69433
76525,69094
76528,54753
76531,54753
76532,54753
76545,38950
76549,29895
76550,69123
76551,2953
76552,54506
76559,771
76563,19306
76568,75575
76572,70878
76573,75055
76584,68778
76585,68931
76586,75864
76589,29895
76590,69765
76591,75025
76592,691
76594,69767
76597,54237
76603,71066
76608,8799
76609,69767
76615,8799
76618,69680
76619,69646
76621,275
76644,71201
76168,74115
76570,74115
75879,74161
74351,74346
70979,70072
75889,69032
55120,55107
75594,55107
69384,69383
75934,70915
75936,70915
75937,70915
69260,69234
71116,69234
70633,69230
75761,75760
76562,74103
71031,69583
76213,70911
76548,70911
76553,70911
