LoserId,SurvivorId,Reason
71278,68918,Bassetti Architects A Design Studio of HMC -> base Bassetti Architects
71280,7017,Entuitive -> Entuitive Corporation
71281,69014,RJC Engineers (Read Jones Christoffersen Ltd.) -> RJC Engineers base
71282,38934,Stantec -> Stantec Inc.
71283,1,GEC Architecture exact-name dup
71284,11381,Marshall Tittemore Architects exact-name dup (Clendor survivor)
71285,68919,Reimagine Architects (formerly Manasc Isaac Architects) exact-name dup
71286,14871,S2 Architecture exact-name dup (Clendor survivor)
71287,18771,Zeidler Architecture exact-name dup (Clendor survivor)
71288,70543,Kasian Architecture Interior Design and Planning exact-name dup (Clendor survivor)
71289,68763,McKinley Burkart exact-name dup (Clendor survivor)
71290,12496,NORR Architects Engineers Planners exact-name dup (Clendor survivor)
71291,54928,Bird Construction -> Bird Construction Inc.
71292,54934,Maple Reinders -> Maple Reinders Group
71293,207,Anthem Properties Group Ltd. exact-name dup (KorClient survivor)
71294,3,Cantiro -> Cantiro Group (KorClient survivor)
71295,53119,City of Calgary exact-name dup (Buyer with Clendor survivor)
