LoserId,SurvivorId,Reason
71296,7017,Entuitive re-ingest dup
71297,69014,RJC Engineers re-ingest dup
71298,38934,Stantec re-ingest dup
71299,1,GEC Architecture re-ingest dup
71300,11381,Marshall Tittemore re-ingest dup
71301,68919,Reimagine Architects re-ingest dup
71302,14871,S2 Architecture re-ingest dup
71303,18771,Zeidler Architecture re-ingest dup
71304,70543,Kasian re-ingest dup
71305,68763,McKinley Burkart re-ingest dup
71306,12496,NORR re-ingest dup
71307,54928,Bird Construction re-ingest dup
71308,54934,Maple Reinders re-ingest dup
71309,207,Anthem Properties re-ingest dup
71310,3,Cantiro re-ingest dup
71311,53119,City of Calgary re-ingest dup
