LoserId,SurvivorId,Reason
53286,53287,"Compound buyer 'Cenovus Energy Inc. / ConocoPhillips' -> primary Cenovus Energy Inc."
53326,53119,"Compound buyer 'City of Calgary / Nose Creek Sports and Recreation Asoociation' -> primary City of Calgary"
53327,53280,"Compound buyer 'City of Edmonton / The Katz Group of Companies / WAM Development Group' -> primary City of Edmonton"
53336,53119,"Compound buyer 'City of Calgary / Calgary Arts Development' -> primary City of Calgary"
53346,894,"Compound buyer 'Regional Municipality of Wood Buffalo / Macdonald Island Park Corp.' -> primary Regional Municipality of Wood Buffalo"
53350,53280,"Compound buyer 'City of Edmonton / Whitemud Equine Learning Centre' -> primary City of Edmonton"
53353,53280,"Compound buyer 'City of Edmonton / River Valley Alliance' -> primary City of Edmonton"
53363,53315,"Compound buyer 'City of Medicine Hat / MHPM Project Managers' -> primary City of Medicine Hat"
53404,53315,"Compound buyer 'City of Medicine Hat / Medicine Hat SPCA' -> primary City of Medicine Hat"
53482,304,"Compound buyer 'City of Spruce Grove / Aerials Gymnastics Club' -> primary City of Spruce Grove"
53577,304,"Compound buyer 'City of Spruce Grove / Town of Stony Plain' -> primary City of Spruce Grove"
53814,53834,"Compound buyer 'MacArthurGlen Group/ Vancouver Airport Authority' -> primary Vancouver Airport Authority"
53998,69680,"Compound buyer 'BC Ministry of Transportation and Infrastructure / TransLink' -> primary Translink"
54405,18838,"Compound buyer 'City of Surrey/ Orgaworld Canada Ltd.' -> primary City of Surrey"
54597,691,"Compound buyer 'City of Burnaby/ Tennis Canada' -> primary City of Burnaby"
54640,71314,"Compound buyer 'BC Housing/ Atira Women's Resource Society' -> primary Atira Women's Resource Society"
54657,54211,"Compound buyer 'City of Langford/ Maritime Museum of BC' -> primary City of Langford"
54704,69696,"Compound buyer 'Thind Properties/ BC Housing' -> primary Thind Properties"
54709,880,"Compound buyer 'Fraser Health Authority/ Progressive Intercultural Community Services Society (PICS)' -> primary Fraser Health Authority"
54720,771,"Compound buyer 'Translink/ Simon Fraser University' -> primary Simon Fraser University"
54737,69680,"Compound buyer 'TransLink / BC Ministry of Transportation and Infrastructure' -> primary Translink"
54745,69433,"Compound buyer 'BC Housing/ National Society of Hope' -> primary National Society of Hope"
54879,55106,"Compound buyer 'BC Housing/ Brightside Community Homes Foundation' -> primary Brightside Community Homes Foundation"
