JvId,DisplayName,WantedPrimary
53263,"ENMAX Energy Corp. / Capital Power Corp.","ENMAX Energy Corp."
53265,"Chinook Foundation/ Alberta Social Housing Corp.","Chinook Foundation"
53267,"Groupe Germain Hospitalite / Homes by Avi","Groupe Germain Hospitalite"
53380,"Alberta Seniors / Smoky Lake Foundation","Smoky Lake Foundation"
53421,"Town of Barrhead / County of Barrhead","Town of Barrhead"
53445,"Government of Alberta / Alberta Cancer Foundation","Alberta Cancer Foundation"
53538,"Parkland Foundation / The Bethany Group","Parkland Foundation"
53580,"MD of Greenview / Town of Valleyview","Town of Valleyview"
53707,"Steelhead LNG Corp./ Huu-ay-aht First Nations","Huu-ay-aht First Nations"
53720,"Enbridge/ Borealis Inc./ Kitselas First Nation","Kitselas First Nation"
53825,"Kiwanis Seniors Housing Society/ Polygon Homes","Kiwanis Seniors Housing Society"
53836,"Baptist Housing Society/ Vancouver Island Health Authority","Baptist Housing Society"
54279,"The Capital Region Hospital District (CRHD)/ Vancouver Island Health Authority","The Capital Region Hospital District (CRHD)"
54369,"BC Ministry of Transportation and Infrastructure / BC Transit","BC Transit"
54377,"BC Housing/ Catalyst Community Developments Society/  Shepherd of the Valley Lutheran Church","Catalyst Community Developments Society"
54402,"Wall Financial Corp./ BC Housing","Wall Financial Corp."
54403,"Ledingham McAllister/ BC Housing/ City of Burnaby","Ledingham McAllister"
54529,"Enbridge/ Borealis Geopower/ Kitselas First Nation","Kitselas First Nation"
54641,"Westbank Projects/ Squamish Nation","Squamish Nation"
54653,"Brightside Homes/ Wall Financial/ BC Housing","Brightside Homes"
54654,"BC Hydro/ BC Ministry of Transportation and Infrastructure","BC Hydro"
54655,"Vancouver Fraser Port Authority (VFPA)/ CP Rail","Vancouver Fraser Port Authority (VFPA)"
54663,"Catalyst Community Developments Society/ Vancouver Affordable Housing Agency (VAHA)","Catalyst Community Developments Society"
54705,"Concert Properties/ BC Housing","Concert Properties"
54714,"BC Housing/ Turning Points Collaborative Society (TPCS)","Turning Points Collaborative Society (TPCS)"
54715,"BC Housing/ City of Kamloops/ John Howard Society of the Thompson Region (JHSTR)","John Howard Society of the Thompson Region (JHSTR)"
54716,"BC Housing/ Lower Similkameen Community Services Society (LSCSS)","Lower Similkameen Community Services Society (LSCSS)"
54717,"BC Housing/ Options Community Services Society","Options Community Services Society"
54776,"BC Housing/ Hiyam Housing Society","Hiyam Housing Society"
54779,"BC Housing/ Vancouver Aboriginal Friendship Society (VAFCS)","Vancouver Aboriginal Friendship Society (VAFCS)"
54819,"Island Health Authority/ Capital Regional Hospital District","Island Health Authority"
54830,"BC Housing/ Lookout Health and Housing Society","Lookout Health and Housing Society"
54851,"Interior Health Authority/ Kootenay East Regional Hospital District","Interior Health Authority"
54876,"BC Housing/ Caliber Communities","Caliber Communities"
54878,"BC Housing/ Edgar Development and Orion Construction","BC Housing"
54881,"BC Housing/ Whistler Housing Authority","Whistler Housing Authority"
54888,"City of North Vancouver/ Catalyst Community Development Society","Catalyst Community Development Society"
55025,"SE-MI-AH-MU-ALE-LEN Housing Society + BC Housing","SE-MI-AH-MU-ALE-LEN Housing Society"
55027,"Westbank First Nation (lease) + private builder","Westbank First Nation"
55039,"Haisla Nation + Pembina Pipeline Corporation","Haisla Nation"
55040,"Lax Kw'alaams WAAP Housing Society + BC Housing","Lax Kw'alaams WAAP Housing Society"
55042,"Squiala First Nation + Property Development Group + League Assets","Squiala First Nation"
55118,"The Bloom Group / Nicholson Housing Society","The Bloom Group"
68783,"Calgary Municipal Land Corporation (CMLC) / Calgary Stampede","Calgary Municipal Land Corporation (CMLC)"
68785,"Calgary Sports & Entertainment Corp / City of Calgary / CMLC","Calgary Sports & Entertainment Corp"
69008,"UVic / Royal Roads University / Camosun College / JIBC","UVic"
69009,"District of Saanich / Greater Victoria Public Library","Greater Victoria Public Library"
69025,"District of New Hazelton / Regional District of Bulkley-Nechako","District of New Hazelton"
69029,"Pacific National Exhibition (PNE) / City of Vancouver","Pacific National Exhibition (PNE)"
69032,"Fraser Health / Infrastructure BC","Fraser Health"
69038,"BC Ministry of Transportation / BC Ferries","BC Ferries"
69041,"BC Housing / Our Place Society","Our Place Society"
69052,"Conseil scolaire francophone (SD 93) / Greater Victoria SD 61","Conseil scolaire francophone (SD 93)"
69060,"BC Housing / Chard Development Ltd.","Chard Development Ltd."
69180,"BC Housing / Aboriginal Coalition to End Homelessness","Aboriginal Coalition to End Homelessness"
69185,"Housing Okanagan Foundation / City of Kelowna","Housing Okanagan Foundation"
69230,"Royal BC Museum / Province of British Columbia","Royal BC Museum"
69252,"Kerkhoff Construction / North American Development Group","Kerkhoff Construction"
69259,"Great Gulf / Dream Unlimited","Great Gulf"
69267,"Partnerships BC / Ministry of Technology, Innovation and Citizens' Services","Ministry of Technology, Innovation and Citizens' Services"
69309,"Fraser Health / BC Cancer (PHSA)","Fraser Health"
69333,"Stryke Group / Tien Sher Group","Stryke Group"
69352,"Catalyst Community Developments / City of North Vancouver / BC Housing","Catalyst Community Developments"
69355,"Songhees Nation / Aryze Developments","Songhees Nation"
69358,"Tsuma-as Housing Society / Tseshaht First Nation","Tseshaht First Nation"
69359,"Tseshaht First Nation / Huu-ay-aht First Nations / Hupacasath First Nation","Tseshaht First Nation"
69360,"Tseshaht First Nation / Hupacasath First Nation / City of Port Alberni","Tseshaht First Nation"
69364,"Ntityix Development Corporation / Westbank First Nation","Westbank First Nation"
69365,"OKIB Group of Companies / Okanagan Indian Band","Okanagan Indian Band"
69366,"Penticton Indian Band / PIBDC","Penticton Indian Band"
69368,"Splatsin Development Corporation / Splatsin First Nation","Splatsin First Nation"
69372,"Kanaka Bar Indian Band / Lytton First Nation (joint)","Kanaka Bar Indian Band"
