LoserId,SurvivorId,Reason
54655,54058,"Compound buyer 'Vancouver Fraser Port Authority (VFPA)/ CP Rail' -> primary Vancouver Fraser Port Authority"
54851,71381,"Compound buyer 'Interior Health Authority/ Kootenay East Regional Hospital District' -> primary Interior Health Authority"
69009,18863,"Compound buyer 'District of Saanich / Greater Victoria Public Library' -> primary District of Saanich"
53580,53303,"Compound buyer 'MD of Greenview / Town of Valleyview' -> primary MD of Greenview"
53899,399,"Compound buyer 'City of Vancouver/Streetohome Foundation' -> primary City of Vancouver"
53914,71381,"Compound buyer 'Interior Health Authority/Central Okanagan Regional Hospital District' -> primary Interior Health Authority"
53993,69680,"Compound buyer 'TransLink/BC Institute of Technology' -> primary Translink"
54032,18917,"Compound buyer 'Vancouver Coastal Health/Sunshine Coast Regional Hospital District' -> primary Vancouver Coastal Health"
54111,53901,"Compound buyer 'Squamish First Nation/Concord Pacific' -> primary Squamish First Nation"
54120,18833,"Compound buyer 'City of Port Moody/TransLink' -> primary City of Port Moody"
54141,459,"Compound buyer 'University of British Columbia/Private Developers' -> primary University of British Columbia"
54212,54634,"Compound buyer 'Omicron/Victoria Airport Authority' -> primary Victoria Airport Authority"
54888,54007,"Compound buyer 'City of North Vancouver/ Catalyst Community Development Society' -> primary City of North Vancouver"
68783,69609,"Compound buyer 'Calgary Municipal Land Corporation (CMLC) / Calgary Stampede' -> primary Calgary Municipal Land Corporation"
69584,399,"Compound buyer 'City of Vancouver / Vancouver Park Board' -> primary City of Vancouver"
70012,54977,"Compound buyer 'Province of BC / Interior Health / Kaigo Senior Living' -> primary Interior Health"
70025,394,"Compound buyer 'City of Richmond (developer-funded amenity from YuanHeng/ViewStar)' -> primary City of Richmond"
70050,399,"Compound buyer 'City of Vancouver / Vancouver Public Library' -> primary City of Vancouver"
70051,399,"Compound buyer 'Vancouver Public Library / City of Vancouver' -> primary City of Vancouver"
70064,18833,"Compound buyer 'Port Moody Public Library / City of Port Moody' -> primary City of Port Moody"
70070,54976,"Compound buyer 'Providence Living / Northern Health' -> primary Northern Health"
70885,399,"Compound buyer 'City of Vancouver / Vancouver Board of Parks and Recreation' -> primary City of Vancouver"
71036,691,"Compound buyer 'City of Burnaby / School District 41' -> primary City of Burnaby"
71401,54977,"Compound buyer 'Interior Health / BC Cancer / Thompson Regional Hospital District' -> primary Interior Health"
69600,18863,"Compound buyer 'Saanich Public Library / District of Saanich' -> primary District of Saanich"
69606,53119,"Compound buyer 'City of Calgary / Calgary Sports and Entertainment' -> primary City of Calgary"
70095,771,"Compound buyer 'KPU / SFU / UFV Surrey' -> primary Simon Fraser University"
70269,71381,"Compound buyer 'Interior Health Authority / BC Cancer' -> primary Interior Health Authority"
71421,69999,"Compound buyer 'M'akola Housing Society / CRD' -> primary M'akola Housing Society"
71422,476,"Compound buyer 'Alberta Health Services / Alberta Infrastructure' -> primary Alberta Health Services"
71423,612,"Compound buyer 'Calgary Public Library / CMLC' -> primary Calgary Public Library"
71424,69609,"Compound buyer 'City of Calgary / Calgary Municipal Land Corporation' -> primary Calgary Municipal Land Corporation"
71425,53280,"Compound buyer 'City of Edmonton / Edmonton Public Library' -> primary City of Edmonton"
