LoserId,SurvivorId,Reason
55027,40313,"Cross-Kind compound buyer 'Westbank First Nation (lease) + private builder' -> WESTBANK FIRST NATION"
69379,54985,"Cross-Kind compound buyer 'Musqueam Capital Corporation / Musqueam Indian Band' -> Musqueam Capital Corporation"
54355,28498,"Cross-Kind compound buyer 'Chevron Canada Ltd./Woodside Energy Ltd.' -> Chevron Canada Ltd."
54876,38939,"Cross-Kind compound buyer 'BC Housing/ Caliber Communities' -> BC Housing"
69012,158,"Cross-Kind compound buyer 'Troika Developments / City of Kelowna' -> City of Kelowna"
69040,38939,"Cross-Kind compound buyer 'BC Housing / Capital Region Housing Corporation' -> BC Housing"
69364,54992,"Cross-Kind compound buyer 'Ntityix Development Corporation / Westbank First Nation' -> Ntityix Development Corporation"
69374,54983,"Cross-Kind compound buyer 'Nch'ḵay̓ Development Corporation / Sḵwx̱wú7mesh Úxwumixw (Squamish Nation)' -> Nch'ḵay̓ Development Corporation"
71329,38939,"Cross-Kind compound buyer 'BC Housing / Connective Support Society' -> BC Housing"
54016,53999,"Cross-Kind compound buyer 'Alterra Power Corp./ GE Energy Financial Services' -> Alterra Power Corp."
54377,38939,"Cross-Kind compound buyer 'BC Housing/ Catalyst Community Developments Society/  Shepherd of the Valley Lutheran Church' -> BC Housing"
54402,38939,"Cross-Kind compound buyer 'Wall Financial Corp./ BC Housing' -> BC Housing"
54403,38939,"Cross-Kind compound buyer 'Ledingham McAllister/ BC Housing/ City of Burnaby' -> BC Housing"
54636,38939,"Cross-Kind compound buyer 'BC Housing/Century Group' -> BC Housing"
54653,38939,"Cross-Kind compound buyer 'Brightside Homes/ Wall Financial/ BC Housing' -> BC Housing"
54654,43875,"Cross-Kind compound buyer 'BC Hydro/ BC Ministry of Transportation and Infrastructure' -> BC HYDRO"
54705,38939,"Cross-Kind compound buyer 'Concert Properties/ BC Housing' -> BC Housing"
54714,38939,"Cross-Kind compound buyer 'BC Housing/ Turning Points Collaborative Society (TPCS)' -> BC Housing"
54715,38939,"Cross-Kind compound buyer 'BC Housing/ City of Kamloops/ John Howard Society of the Thompson Region (JHSTR)' -> BC Housing"
54716,38939,"Cross-Kind compound buyer 'BC Housing/ Lower Similkameen Community Services Society (LSCSS)' -> BC Housing"
54717,38939,"Cross-Kind compound buyer 'BC Housing/ Options Community Services Society' -> BC Housing"
54776,38939,"Cross-Kind compound buyer 'BC Housing/ Hiyam Housing Society' -> BC Housing"
54778,38939,"Cross-Kind compound buyer 'BC Housing/ Capital Regional Housing Corp.' -> BC Housing"
54779,38939,"Cross-Kind compound buyer 'BC Housing/ Vancouver Aboriginal Friendship Society (VAFCS)' -> BC Housing"
54830,38939,"Cross-Kind compound buyer 'BC Housing/ Lookout Health and Housing Society' -> BC Housing"
54877,38939,"Cross-Kind compound buyer 'BC Housing/Tannin Developments Ltd.' -> BC Housing"
54878,38939,"Cross-Kind compound buyer 'BC Housing/ Edgar Development and Orion Construction' -> BC Housing"
54881,38939,"Cross-Kind compound buyer 'BC Housing/ Whistler Housing Authority' -> BC Housing"
55025,54990,"Cross-Kind compound buyer 'SE-MI-AH-MU-ALE-LEN Housing Society + BC Housing' -> SE-MI-AH-MU-ALE-LEN Housing Society"
55040,55005,"Cross-Kind compound buyer 'Lax Kw'alaams WAAP Housing Society + BC Housing' -> Lax Kw'alaams WAAP Housing Society"
68787,53581,"Cross-Kind compound buyer 'Katz Group / City of Edmonton' -> Katz Group"
69008,18916,"Cross-Kind compound buyer 'UVic / Royal Roads University / Camosun College / JIBC' -> University of Victoria"
69013,158,"Cross-Kind compound buyer 'City of Kelowna (lead) / Regional partners' -> City of Kelowna"
69029,22079,"Cross-Kind compound buyer 'Pacific National Exhibition (PNE) / City of Vancouver' -> Pacific National Exhibition"
69041,38939,"Cross-Kind compound buyer 'BC Housing / Our Place Society' -> BC Housing"
69060,38939,"Cross-Kind compound buyer 'BC Housing / Chard Development Ltd.' -> BC Housing"
69180,38939,"Cross-Kind compound buyer 'BC Housing / Aboriginal Coalition to End Homelessness' -> BC Housing"
69185,158,"Cross-Kind compound buyer 'Housing Okanagan Foundation / City of Kelowna' -> City of Kelowna"
69252,70544,"Cross-Kind compound buyer 'Kerkhoff Construction / North American Development Group' -> Kerkhoff Construction"
69352,38939,"Cross-Kind compound buyer 'Catalyst Community Developments / City of North Vancouver / BC Housing' -> BC Housing"
69358,55001,"Cross-Kind compound buyer 'Tsuma-as Housing Society / Tseshaht First Nation' -> Tsuma-as Housing Society"
69359,66236,"Cross-Kind compound buyer 'Tseshaht First Nation / Huu-ay-aht First Nations / Hupacasath First Nation' -> TSESHAHT FIRST NATION"
69360,66236,"Cross-Kind compound buyer 'Tseshaht First Nation / Hupacasath First Nation / City of Port Alberni' -> TSESHAHT FIRST NATION"
69373,59575,"Cross-Kind compound buyer 'Nlaka'pamux Nation Tribal Council (NNTC) / BluEarth Renewables' -> NLAKA'PAMUX NATION TRIBAL COUNCIL"
69394,69412,"Cross-Kind compound buyer 'Nak'azdli Development Corp / Deadwood Innovations' -> Nak'azdli Development Corp"
70013,57258,"Cross-Kind compound buyer 'Tsilhqot'in National Government / Red Road Recovery' -> TSILHQOT'IN NATIONAL GOVERNMENT"
70017,38939,"Cross-Kind compound buyer 'Canadian Mental Health Association – Kamloops / BC Housing' -> BC Housing"
70035,38939,"Cross-Kind compound buyer 'BC Housing (Makola Housing Society operator; Snuneymuxw First Nation partnership)' -> BC Housing"
70038,38939,"Cross-Kind compound buyer 'BC Housing / Snuneymuxw First Nation Youth and Family Society' -> BC Housing"
70042,66236,"Cross-Kind compound buyer 'Tseshaht First Nation / City of Port Alberni' -> TSESHAHT FIRST NATION"
70044,38939,"Cross-Kind compound buyer 'BC Housing / Lookout Housing and Health Society' -> BC Housing"
70060,38939,"Cross-Kind compound buyer 'BC Housing / Ann Davis Transition Society' -> BC Housing"
70061,38939,"Cross-Kind compound buyer 'New Vista Society / BC Housing' -> BC Housing"
70338,38939,"Cross-Kind compound buyer 'Turning Points Collaborative Society / BC Housing' -> BC Housing"
70339,38939,"Cross-Kind compound buyer 'Lu'ma Native Housing Society / BC Housing' -> BC Housing"
70341,38939,"Cross-Kind compound buyer 'Lower Similkameen Community Services Society / BC Housing' -> BC Housing"
70342,38939,"Cross-Kind compound buyer 'South Skaha Housing Society / BC Housing' -> BC Housing"
70343,38939,"Cross-Kind compound buyer 'Canadian Mental Health Association – Shuswap/Revelstoke / BC Housing' -> BC Housing"
70551,38939,"Cross-Kind compound buyer 'CMHA Vernon / BC Housing' -> BC Housing"
70554,38939,"Cross-Kind compound buyer 'BC Housing / A Way Home Kamloops' -> BC Housing"
70556,38939,"Cross-Kind compound buyer 'Eagle Valley Senior Citizens Housing Society / BC Housing / District of Sicamous' -> BC Housing"
70568,38939,"Cross-Kind compound buyer 'Okanagan Métis & Aboriginal Housing Society (OMAHS) / BC Housing' -> BC Housing"
70570,38939,"Cross-Kind compound buyer 'CMHA Kelowna / BC Housing' -> BC Housing"
70595,54735,"Cross-Kind compound buyer 'District Group / Tony Harris Developments Inc.' -> District Group"
70683,40313,"Cross-Kind compound buyer 'Anthem Properties / Westbank First Nation' -> WESTBANK FIRST NATION"
70780,38939,"Cross-Kind compound buyer 'BC Housing / CMHA Central Okanagan' -> BC Housing"
70887,38939,"Cross-Kind compound buyer 'EDGAR Development / BC Housing' -> BC Housing"
70895,38950,"Cross-Kind compound buyer 'Oxford Properties Group / CPP Investments' -> Oxford Properties Group"
70899,38939,"Cross-Kind compound buyer 'Westbank Corp / BC Housing' -> BC Housing"
70914,21489,"Cross-Kind compound buyer 'Westbank Corp / QuadReal Property Group' -> Westbank Corp"
70924,54506,"Cross-Kind compound buyer 'Transca Development / Grosvenor Americas / Citimark Group' -> Transca Development"
70929,21489,"Cross-Kind compound buyer 'Westbank Corp. / First Baptist Church' -> Westbank Corp"
70969,70097,"Cross-Kind compound buyer 'Intracorp / Inform' -> Intracorp"
70990,38939,"Cross-Kind compound buyer 'BC Housing / Housing Society' -> BC Housing"
70992,38939,"Cross-Kind compound buyer 'BC Housing / VAHA' -> BC Housing"
71000,38939,"Cross-Kind compound buyer 'RainCity Housing and Support Society / BC Housing' -> BC Housing"
71016,68778,"Cross-Kind compound buyer 'Hines / PC Urban' -> Hines"
71153,5472,"Cross-Kind compound buyer 'Alberta Infrastructure / Covenant Health' -> Covenant Health"
71331,38939,"Cross-Kind compound buyer 'BC Housing / Archway Community Services' -> BC Housing"
69397,55001,"Cross-Kind compound buyer 'Tseshaht First Nation / Tsuma-as Housing Society' -> Tsuma-as Housing Society"
69596,38939,"Cross-Kind compound buyer 'BC Housing / Pearson Dogwood Partnership' -> BC Housing"
69598,38939,"Cross-Kind compound buyer 'BC Housing / Build Canada Homes' -> BC Housing"
69788,53900,"Cross-Kind compound buyer 'Holborn Group / TA Global' -> Holborn Group"
70330,47044,"Cross-Kind compound buyer 'Defence Construction Canada (DCC) / Department of National Defence' -> Defence Construction Canada"
71420,38939,"Cross-Kind compound buyer 'BC Housing / City of Vancouver' -> BC Housing"
