LoserId,SurvivorId,Reason
19080,69692,DBA followup merge: 'Briana Mussatto DBA: Bold Properties' -> canonical 'Bold Properties'
21662,69649,DBA followup merge: 'Israel Gomez DBA: Amacon' -> canonical 'Amacon'
21942,69123,DBA followup merge: 'Knut Boeck DBA: dys architecture' -> canonical 'DYS Architecture'
22011,69094,DBA followup merge: 'Mitch Sakumoto DBA: Merrick Architecture' -> canonical 'Merrick Architecture'
22793,69644,DBA followup merge: 'Andre Linaksita DBA: Westbank Projects Corp.' -> canonical 'Westbank Projects Corp.'
24272,69589,DBA followup merge: 'Steve Nilan DBA: Musson Cattell Mackey Partnership' -> canonical 'Musson Cattell Mackey Partnership'
25248,70097,DBA followup merge: 'Karly Morgan DBA: Intracorp' -> canonical 'Intracorp'
27454,70098,DBA followup merge: 'Nathan  Ma DBA: Nicola Wealth' -> canonical 'Nicola Wealth'
27972,69742,DBA followup merge: 'Payam Imani DBA: Imani Development' -> canonical 'Imani Development'
30873,69250,DBA followup merge: 'Grant Myles DBA: Wall Financial Corporation' -> canonical 'Wall Financial Corporation'
31847,69760,DBA followup merge: 'Candice  Nichol DBA: Michael Green Architecture' -> canonical 'Michael Green Architecture'
32815,69725,DBA followup merge: 'Tom Bunting DBA: Formosis Architecture' -> canonical 'Formosis Architecture'
32833,69756,DBA followup merge: 'Low Hammond Rowe Architects Inc DBA: Low Hammond Rowe Architects' -> canonical 'Low Hammond Rowe Architects'
32929,69668,DBA followup merge: 'Graham Brewster DBA: Wesgroup' -> canonical 'Wesgroup'
34546,69680,DBA followup merge: 'Gordon Zhou DBA: TransLink' -> canonical 'Translink'
34582,69127,DBA followup merge: 'Anthony Munster DBA: Providence Health Care' -> canonical 'Providence Health Care'
35354,70099,DBA followup merge: 'Sarah Ghali DBA: Cadillac Fairview' -> canonical 'Cadillac Fairview'
