GroupKey,SurvivorId,SurvivorName,SurvivorKind,LoserId,LoserName,LoserKind,FkRefsRepointed
1026219bcunlimitedliability,56943,1026219 B.C. UNLIMITED LIABILITY,Vendor,72765,1026219 B.C. UNLIMITED LIABILITY CO,Vendor,2
1956466ont,48054,1956466 Ont Inc,Vendor,73391,1956466 Ont Ltd.,Vendor,2
3dsystems,1322,3D Systems Corporation,Vendor,73332,3D SYSTEMS INC.,Vendor,2
3vgeomatics,65473,3VGEOMATICS,Vendor,73333,3V GEOMATICS INC,Vendor,2
51northcontracting,1370,51 North Contracting,GC,73698,51 North Contracting Ltd.,Vendor,3
7159650canada,64336,7159650 CANADA INC,Vendor,72723,7159650 CANADA INCORPORATED,Vendor,3
abrailservices,1482,A & B Rail Services Limited,Vendor,73289,A&B RAIL SERVICES LTD.,Vendor,8
access,1628,ACCESS GROUP INC.,Vendor,73353,ACCESS CORP,Vendor,4
accuratedesigncommunication,59108,Accurate Design & Communication,Vendor,72711,ACCURATE DESIGN & COMMUNICATION INC,Vendor,3
accuratedesigncommunications,72599,Accurate Design & Communications,Vendor,39110,ACCURATE DESIGN COMMUNICATIONS INC.,Vendor,4
acfassociates,63376,ACF Associates,Vendor,73450,ACF Associates INC.,Vendor,3
aci,69626,ACI Architects Inc.,Architect,73059,ACI Architecture Inc.,Vendor,4
adgagroupconsultants,40492,ADGA GROUP CONSULTANTS INC.,Vendor,73383,ADGA Group Consultants,Vendor,6
adirondackinformationmanagement,55806,ADIRONDACK INFORMATION MANAGEMENT,Vendor,73380,Adirondack Information Management Inc.,Vendor,2
adreducation,39358,ADR EDUCATION,Vendor,73027,ADR Education Partnership,Vendor,4
adrmtechnologyconsulting,39170,ADRM TECHNOLOGY CONSULTING GROUP,Vendor,72653,ADRM TECHNOLOGY CONSULTING GROUP CORP,Vendor,3
adrmtechnologyconsulting,39170,ADRM TECHNOLOGY CONSULTING GROUP,Vendor,72672,ADRM TECHNOLOGY CONSULTING,Vendor,7
adrmtechnologyconsulting,39170,ADRM TECHNOLOGY CONSULTING GROUP,Vendor,72697,ADRM TECHNOLOGY CONSULTING CORP,Vendor,11
advancedenergymanagement,40779,ADVANCED ENERGY MANAGEMENT LTD.,Vendor,73365,ADVANCED ENERGY MANAGEMENT,Vendor,3
advancedenergymanagement,40779,ADVANCED ENERGY MANAGEMENT LTD.,Vendor,73385,ADVANCED ENERGY MANAGEMENT LIMITED,Vendor,3
advancedhepatechnologies,46465,ADVANCED H E P A TECHNOLOGIES INC,Vendor,73261,ADVANCED H.E.P.A. TECHNOLOGIES,Vendor,3
aecomcanada,1818,AECOM Canada Ltd.,Competitor,72703,AECOM CANADA ARCHITECTS LTD.,Vendor,2
aecomcanada,1818,AECOM Canada Ltd.,Competitor,73017,AECOM Canada Limited,Vendor,28
aecomcanada,1818,AECOM Canada Ltd.,Competitor,73364,AECOM CANADA,Vendor,18
