LoserId,SurvivorId,LoserName,SurvivorName
698,53119,"The City of Calgary","City of Calgary"
70300,53119,"City of Calgary (relevant reference – not a school division)","City of Calgary"
68821,53255,"Alberta Infrastructure (CBE / CCSD / EPSB)","Alberta Infrastructure"
68822,53255,"Alberta Infrastructure (CBE / EPSB)","Alberta Infrastructure"
18653,18657,"WSP Canada (WSP Construction Surveys)","WSP Canada Inc."
578,354,"City of Red Deer","The City of Red Deer"
53401,324,"The University of Calgary","University of Calgary"
53315,671,"City of Medicine Hat","The City of Medicine Hat"
72047,575,"Calgary Housing Company (City of Calgary)","Calgary Housing Company"
70303,575,"Calgary Housing Company (City-owned housing corporation)","Calgary Housing Company"
68636,69688,"Perkins&Will (Los Angeles office)","Perkins + Will Architects"
73712,69688,"Perkins&Will Seattle","Perkins + Will Architects"
73778,69688,"Perkins&Will (San Francisco)","Perkins + Will Architects"
50834,2711,"ASSOCIATED ENGINEERING (SASK.) LTD.","Associated Engineering (Alberta) Ltd."
2712,2711,"ASSOCIATED ENGINEERING (B.C.) LTD.","Associated Engineering (Alberta) Ltd."
72295,2711,"Associated Engineering","Associated Engineering (Alberta) Ltd."
71514,6154,"DIALOG (Alberta)","DIALOG"
68790,6154,"DIALOG (+ HOK)","DIALOG"
74165,6154,"DIALOG (+ HOK / 360 Architecture)","DIALOG"
72268,153,"Arcadis IBI Group (Vancouver)","Arcadis IBI Group"
70039,38939,"BC Housing (Our Place Society operator)","BC Housing"
69293,69932,"MGBA (Mallen Gowing Berzins Architecture)","MGBA"
72795,70543,"KASIAN ARCHITECTURE INTERIOR DESIGN","Kasian Architecture Interior Design and Planning"
72269,70543,"Kasian Architecture Interior Design & Planning — Vancouver","Kasian Architecture Interior Design and Planning"
70697,68974,"WA Architects Victoria","WA Architects"
53400,852,"Northern Alberta Institute of Technology (NAIT)","Northern Alberta Institute of Technology"
12813,69968,"Omicron Architecture Engineering Ltd.","Omicron Architecture Engineering Construction"
23402,22641,"Peter Rose Architecture & Interiors Inc.","Peter Rose Architecture"
71208,340,"Red Deer Polytechnic (formerly Red Deer College)","Red Deer Polytechnic"
72146,399,"City of Vancouver (Vancouver Board of Parks and Recreation)","City of Vancouver"
72148,399,"City of Vancouver (developer-delivered, City-operated)","City of Vancouver"
72271,1,"GEC Architecture (Vancouver — formerly Gomberoff Bell Lyon)","GEC Architecture"
73930,1,"GEC Architecture (Calgary office)","GEC Architecture"
348,596,"BC Timber Sales Branch Kamloops","BC Timber Sales Branch"
68629,70108,"AC Martin (A.C. Martin Partners)","AC Martin"
71128,388,"Civida (formerly Capital Region Housing Corporation)","Civida"
72309,691,"City of Burnaby — Engineering","City of Burnaby"
72283,69724,"Cornerstone Architecture (Vancouver)","Cornerstone Architecture"
74174,14910,"Sahuri + Partners (with Pfeiffer Partners)","SAHURI + Partners Architecture Inc."
70574,4708,"Chandos Construction (co-GC: Khowutzun Development)","Chandos Construction Ltd."
70537,68977,"studioHuB Architects (with MQN Architects)","studioHuB Architects"
69328,4856,"CIMA+ (formerly Bogdonov Pao Associates)","CIMA+"
46886,46645,"Don Saywell Development Ltd","Don Saywell Developments Ltd"
10624,69625,"Lafarge Canada Inc. (TBG Contracting Division of Lafarge Canada Inc.)","Lafarge Canada"
72267,69589,"Musson Cattell Mackey Partnership (MCM Architects)","Musson Cattell Mackey Partnership"
70602,158,"City of Kelowna (Kelowna International Airport – YLW)","City of Kelowna"
54934,11319,"Maple Reinders Group","Maple Reinders Constructors Ltd."
71082,11319,"Maple Reinders Construction","Maple Reinders Constructors Ltd."
11323,11319,"Maple Reinders Inc. (General Contractor)","Maple Reinders Constructors Ltd."
71466,54190,"GBL Architects (w/ DIALOG, RH Architects)","GBL Architects"
71261,54753,"Diamond Schmitt Architects (with Stantec Architecture)","Diamond Schmitt Architects"
72098,8129,"GGA-Architecture (formerly Gibbs Gage Architects)","GGA Architecture"
68758,8129,"GGA-Architecture (Gibbs Gage Architects)","GGA Architecture"
72152,394,"City of Richmond (developer-funded community amenity)","City of Richmond"
69429,74016,"Faction Architecture","Faction Architecture Inc. (Faction Projects Inc.)"
18913,69680,"TransLink (South Coast British Columbia Transportation Authority)","Translink"
22529,69214,"Johnston Davidson Architecture + Planning Inc.","Johnston Davidson Architecture"
69986,69756,"Low Hammond Rowe (LHR), Victoria","Low Hammond Rowe Architects"
3223,68976,"Berry Architecture & Associates Limited (Berry Architecture & Associates)","Berry Architecture + Associates"
72202,38956,"UBC Properties Trust (development manager)","UBC Properties Trust"
68841,23987,"Metro Vancouver (Metro Vancouver Regional District)","Metro Vancouver"
72321,72158,"City of Maple Ridge — Engineering","City of Maple Ridge"
72336,703,"Edmonton Public Library (EPL)","Edmonton Public Library"
72440,4922,"Clark Builders (Construction Manager)","Clark Builders"
72445,4922,"Clark Builders (confirmed as Construction Manager on DIALOG project page)","Clark Builders"
72082,18867,"Government of Alberta","Government of Alberta (APC)"
72439,18867,"Government of Alberta (Ministry of Seniors, Community and Social Services)","Government of Alberta (APC)"
69997,69164,"Shape Architecture (Vancouver)","SHAPE Architecture"
70944,771,"Simon Fraser University (Surrey campus)","Simon Fraser University"
48775,47805,"JONELJIM CONCRETE CONSTRUCTION (1994) LTD.","Joneljim Concrete Construction"
2366,2364,"Amron Construction (of Red Cliff, AB)","AMRON Construction"
69914,68746,"Thornton Tomasetti (with DIALOG)","Thornton Tomasetti"
54058,38952,"Vancouver Fraser Port Authority","Vancouver Fraser Port Authority (Port of Vancouver)"
73931,14871,"S2 Architecture (Calgary office)","S2 Architecture"
70888,71004,"Axiom Builders (Phase 1)","Axiom Builders"
23927,78,"Montage Development LTD","Montage Development Consultants"
71027,20517,"PCL Constructors Westcoast Inc. (P3)","PCL Constructors Westcoast Inc."
72266,38974,"Revery Architecture","Revery Architecture Inc. (formerly Bing Thom Architects)"
72149,38974,"Revery Architecture (existing CC)","Revery Architecture Inc. (formerly Bing Thom Architects)"
10525,10528,"Krawford Construction (2011) Inc","Krawford Construction Company Inc."
10526,10528,"Krawford Construction (20111) Inc","Krawford Construction Company Inc."
75026,72211,"Provincial Health Services Authority (Incl. BCCSS)","Provincial Health Services Authority (PHSA)"
71535,68919,"Reimagine Architects","Reimagine Architects (formerly Manasc Isaac)"
23357,71067,"JTA Development Consultants","JTA Development"
72244,207,"Anthem Properties (with institutional JV partner)","Anthem Properties Group Ltd."
9490,9379,"In-Line Contractors Partnership","In Line Contracting Partnership"
73987,18454,"Wilco Contractors South West Inc. (Calgary Office)","Wilco Contractors South West Inc."
72166,68879,"Station One Architects (SoA)","Station One Architects"
69892,68879,"Station One Architects (Burke Mountain Middle/Secondary School)","Station One Architects"
70703,69109,"Thinkspace Architecture Planning Interior Design (compliance architect)","Thinkspace Architecture Planning Interior Design Ltd."
44642,20545,"RATIO ARCHITECTURE INTERIOR DESIGN","RATIO Architecture, Interior Design, Planning Inc."
72327,18838,"City of Surrey — Engineering","City of Surrey"
73887,69614,"Gibbs Gage Architects","Gibbs Gage Architects (GGA-Architecture)"
74159,68781,"Calgary Catholic School District","Calgary Catholic School District (CCSD)"
71132,16018,"START Architecture (formerly ONPA Architects)","START Architecture Inc"
18404,18405,"Whissell Contracting Calgary LTD","Whissell Contracting Ltd"
18408,18405,"Whissell Contracting Ltd. (of Lethbridge, AB)","Whissell Contracting Ltd"
18409,18405,"Whissell Contracting Ltd. (Whissell Contracting Ltd.)","Whissell Contracting Ltd"
69609,53614,"Calgary Municipal Land Corporation","Calgary Municipal Land Corp. (CMLC)"
71359,71330,"Ron Hart Architecture (Ron Hart Architect Ltd)","Ron Hart Architecture"
31123,19650,"On Side Restoration Services - Vancouver","On Side Restoration Services Ltd"
2194,2196,"Alpha Construction (Calgary) Inc.","Alpha Construction Inc"
71509,2555,"Arc Studio (Alberta)","Arc Studio"
74186,68742,"Magnusson Klemencic Associates","Magnusson Klemencic Associates (MKA)"
72254,71250,"Integra Architecture (confirmed)","Integra Architecture Inc."
27056,18771,"Zeidler Architecture - Vancouver","Zeidler Architecture"
11124,11123,"Luxton Construction (Luxton Construction)","Luxton Construction"
69966,54454,"Wensley Architecture (WA Architects)","Wensley Architecture"
68921,7843,"FWBA Architects (Ferrari Westwood Babits)","FWBA Architects"
73992,68912,"The Miller Hull Partnership","Miller Hull Partnership"
48317,53946,"Osoyoos Indian Band Development Corporation","Osoyoos Indian Band"
54993,53946,"Osoyoos Indian Band Development Corporation (OIBDC)","Osoyoos Indian Band"
18495,20819,"Willow Spring Construction","Willow Spring Construction BC Ltd"
18496,20819,"WILLOW SPRING CONSTRUCTION (ALTA) LTD","Willow Spring Construction BC Ltd"
72320,886,"City of Delta — Engineering","City of Delta"
2973,2972,"Baja construction canada inc. (baja construction)","Baja Construction Canada Inc."
73799,89,"Darwin Properties & Construction","Darwin Properties Ltd."
2218,2217,"Alps Construction Ltd.","Alps Construction (2007) Ltd"
74178,69767,"Teeple Architects (with Stantec / Architecture Tkalcic Bengert)","Teeple Architects"
2772,2773,"Atkinson Construction (ACL) Ltd","Atkinson Construction Ltd."
70729,69001,"MacDonald Hagarty Architects (MHArchitects)","MacDonald Hagarty Architects"
70036,69001,"MacDonald Hagarty Architects (Comox)","MacDonald Hagarty Architects"
70331,69320,"McFarland Marceau Architects (MMA)","McFarland Marceau Architects"
4914,4917,"CKB Construction (2004) Ltd.","CKB Construction Ltd"
70784,166,"Live Edge Okanagan","Live Edge Okanagan Builders"
71503,15,"Urban One","Urban One Builders"
13300,13298,"Pemco Construction Ltd. (General Contractor)","Pemco Construction Ltd"
10744,10745,"Lavergne Construction","Lavergne Construction (1988) Ltd."
8249,8248,"Goldbar Contractors Inc. (Mechanical Contractor)","GOLDBAR CONTRACTORS INC"
4454,4456,"Castle Rock Construction","Castle Rock Contracting Ltd"
71205,12863,"ONPA Architects (now START Architecture)","ONPA Architects Inc."
12864,12863,"ONPA Architects Inc. (ONPA Architects)","ONPA Architects Inc."
21326,167,"Onni Contracting Ltd","Onni Contracting (California), Inc."
71376,72169,"KMBR Architects Planners (Okanagan projects)","KMBR Architects Planners Inc."
71930,16346,"SVEMY Construction Ltd (Alberta)","SVEMY CONSTRUCTION LTD."
4158,56841,"Canadian Development Consultants International","CANADIAN DEVELOPMENT CONSULTANTS"
6111,6112,"Devitt & Forand Construction Ltd.","Devitt & Forand Contractors Inc"
6113,6112,"Devitt & Forand Contractors Inc (Devitt & Forand Contractors Inc.)","Devitt & Forand Contractors Inc"
69047,54541,"Comox Valley Regional District (CVRD)","Comox Valley Regional District"
73929,46132,"NORR Architects (Calgary office)","NORR Architects & Engineers Limited"
72097,525,"Lethbridge College (Lethbridge Polytechnic)","Lethbridge College"
53468,53370,"The Carlisle Group","Carlisle Group"
18054,18051,"Ward Bros. Construction Ltd. (of Lethbridge, AB)","Ward Bros Construction Ltd."
18050,18051,"Ward Bros Construction (of Lethbridge, AB)","Ward Bros Construction Ltd."
71572,9672,"Interworks Contracting Ltd (AB)","Interworks Contracting Ltd."
54948,68622,"Hensel Phelps","Hensel Phelps Construction Co."
69974,68829,"Giannone Petricone Associates (Toronto)","Giannone Petricone Associates"
11332,16853,"Marc Boutin Architectural","The Marc Boutin Architectural Collaborative Inc"
16852,16853,"THE MARC BOUTIN ARCHITECTURAL","The Marc Boutin Architectural Collaborative Inc"
10906,10905,"LEX3 Engineering Inc. (Calgary)","LEX3 Engineering Inc"
67440,69258,"Adamson Associates Architects","Adamson Associates Architects (Design: Frank Gehry Partners)"
71823,7409,"Fillmore Construction Management Inc (Fillmore Construction Management Inc)","FILLMORE CONSTRUCTION MANAGEMENT INC"
22462,70926,"ITC Construction BC Inc","ITC Construction Group"
53626,3202,"Bentall Kennedy","Bentall Kennedy (Canada) LP"
47177,46591,"Wade General Construction LTD","Wade General Contracting Ltd"
69946,69243,"Bjarke Ingels Group (BIG); DIALOG (associate architect)","Bjarke Ingels Group (BIG) + DIALOG"
55048,54118,"Canada Lands Company (CLC)","Canada Lands Company Ltd."
17023,17025,"Timcon Construction","Timcon Construction (1988) Ltd"
17024,17025,"Timcon Construction (1981) Ltd","Timcon Construction (1988) Ltd"
15091,54932,"Scott Construction (Alberta) Ltd","Scott Construction Group"
54266,54330,"Hulbert Group","Hulbert Group International Inc."
54329,54330,"The Hulbert Group","Hulbert Group International Inc."
69458,18819,"BC Institute of Technology (BCIT)","BC Institute of Technology"
12029,71883,"MOST Engineering (2001) Ltd.","MOST Engineering"
71527,71176,"Lemay (Calgary, Toronto, Montreal, Quebec, New York, Edmonton, Dubai, Sao Paolo, Copenhagen, Aarhus)","Lemay"
72170,72164,"Thinkspace Architecture Planning and Interior Design (Lee Blanchard)","Thinkspace Architecture Planning and Interior Design"
72128,5472,"Covenant Health Calgary","Covenant Health"
54998,69186,"Khowutzun Development Corporation (KDLLP)","Khowutzun Development Corporation"
54525,18908,"Thompson Rivers University (TRU)","Thompson Rivers University"
25601,9025,"Holaco Construction","HOLACO CONSTRUCTION (1997) LTD."
71620,17626,"Unsurpassable Construction Ltd (Didsbury)","Unsurpassable Construction Ltd."
15719,15718,"Southwest Design & Construction Ltd. (Same)","Southwest Design & Construction Ltd"
71013,69446,"RWA Group Architecture (Ramsay Worden Architects)","RWA Group Architecture"
23806,172,"Square Nine Builders Inc","Square Nine Development"
14204,14205,"Reco Construction (2010) Ltd","Reco Construction Ltd."
1964,1963,"Akron Engineering Consultant's Group Ltd. (Akron Engineering)","Akron Engineering Consultant's Group LTD"
71211,72112,"HSEA Architecture Inc. (Hodgson Schilf Evans Architects)","HSEA Architecture (Hodgson Schilf Evans Architects)"
15192,15191,"SeNa Constructors Inc. (Engineering & Constructions)","SeNa Constructors Inc."
54157,18920,"Vancouver Island University (formerly Malaspina College)","Vancouver Island University"
68296,42674,"BENNETT'S CONSTRUCTION & SUPPLIES (2011) LIMITED","BENNETT'S CONSTRUCTION & SUPPLIES LTD"
42377,336,"THREE HILLS ENGINEERING LTD.","Three Hills"
47607,47047,"Leighton Contracting Ltd","Leighton contracting (2009) Ltd"
72235,72190,"HDR Architecture Associates (confirmed)","HDR Architecture Associates"
72209,72190,"HDR Architecture (design-build)","HDR Architecture Associates"
70746,69993,"JM Architecture Inc.","JM Architecture Inc (Surrey)"
51042,44414,"CONSTRUCTION POLARIS (1993) INC.","CONSTRUCTION POLARIS CMM INC"
42666,44414,"CONSTRUCTION POLARIS","CONSTRUCTION POLARIS CMM INC"
69890,69862,"Civitas Urban Design & Architecture (2024/2025 revised concept as Concord Landing)","Civitas Urban Design & Architecture"
73928,71323,"WalterFedy Architecture (formerly Riddell Kurczaba Architecture Engineering)","WalterFedy Architecture"
6598,6596,"EBA Engineering Consultants Ltd. (EBA, A Tetra Tech Company)","EBA Engineering Consultants Ltd."
6599,6596,"EBA Engineering Consultants Ltd. (of Calgary, AB)","EBA Engineering Consultants Ltd."
6600,6596,"EBA Engineering Consultants Ltd. (of Lethbridge, AB)","EBA Engineering Consultants Ltd."
47172,47900,"Emmons and Mitchell Construction (2000) Limited","Emmons and Mitchell Construction"
69909,55100,"Tien Sher Development Group Inc.","Tien Sher Group"
69910,69987,"Stantec (full integrated design including architecture)","Stantec (Stefan Schulson, Principal Architect)"
69581,69987,"Stantec (integrated design-build)","Stantec (Stefan Schulson, Principal Architect)"
69923,69987,"Stantec (Craig More, structural engineer)","Stantec (Stefan Schulson, Principal Architect)"
74229,73739,"Trammell Crow Company","Trammell Crow Company — Seattle"
53390,53597,"Yorkton Group","Yorkton Group International"
49411,6911,"Emil Anderson Construction Inc.","EMIL ANDERSON CONSTRUCTION (EAC) INC."
3845,3848,"Bunt & Associates Engineering (N. Alberta) Ltd","Bunt & Associates Engineering Ltd."
3846,3848,"Bunt & Associates Engineering (N.Alberta) Ltd. (Transportation Planning)","Bunt & Associates Engineering Ltd."
54860,69804,"Qualex-Landmark Developments Inc.","Qualex-Landmark"
49153,51062,"PENN-CO CONSTRUCTION CANADA (2003)","PENN-CO CONSTRUCTION CANADA"
74175,11288,"Manasc Isaac (Reimagine)","MANASC ISAAC ARCHITECTS LTD"
73783,68834,"City of Portland","City of Portland (OR)"
12563,12562,"Northern Road Builders Inc. (Construction, Logging, Boring, HDD)","Northern Road Builders Inc."
68842,73733,"Multnomah County (OR)","Multnomah County"
75165,54949,"Whiting-Turner Contracting","The Whiting-Turner Contracting Company"
36310,25097,"Pacific Preferred Development Ltd","Pacific Preferred Developments Ltd"
48268,46649,"Smart Electrical Contractors","Smart Electrical Contractors (2007) Ltd."
71581,3510,"Boald Construction Management Ltd (St. Albert)","Boald Construction Management Ltd"
3511,3510,"Boald Construction Management Ltd. (Boald Construction Management Ltd.)","Boald Construction Management Ltd"
24875,54824,"Canada West Construction Ltd","Canada West Group"
9140,9142,"Hukalo Oberg Engineering Ltd.","Hukalo Oberg Engineering Ltd. (HO Engineering Ltd.)"
53962,21199,"The PCI Group","PCI Group"
18607,18606,"Works of Architecture (WOA)","Works of Architecture"
10642,10643,"Lafrentz Road Marking a Division of Canadian Road Builders (Lafrentz Road Marking)","Lafrentz Road Marking A Division of Canadian Road Builders Inc."
10644,10643,"Lafrentz Road Marking A Division of Canadian Road Builders Inc. (Lafrentz Road Marking)","Lafrentz Road Marking A Division of Canadian Road Builders Inc."
23279,23277,"Hi-Beam Contractors Ltd","Hi-Beam Properties Ltd."
41065,50960,"HIPPERSON CONSTRUCTION COMPANY (1996) LTD.","HIPPERSON CONSTRUCTION PARTNERSHIP"
46662,3301,"Bighorn Construction","Bighorn Construction (2005) Ltd."
32189,26800,"PR Pomeroy Restoration & Construction (BC) Inc.","PR Pomeroy Restoration & Construction Ltd"
13978,13979,"Questic Contracting Ltd (Park, Playground & Spraypark Contracting & Consulting)","Questic Contracting Ltd"
70325,53730,"BC Ferries (British Columbia Ferry Services Inc.)","BC Ferries Corporation"
17284,17283,"Tribuild Contracting Ltd.","Tribuild Contracting (Calgary) Ltd."
49132,69740,"Penticton Indian Band","Penticton Indian Band Development Corporation"
20976,20678,"EDYU Group Construction & Development Ltd","EDYU Group Development & Construction Ltd."
5907,5906,"DCL Construction Services Ltd. (DCL Construction Services Ltd.)","DCL Construction Services Ltd."
13544,13545,"Porscon Construction","Porscon Construction (2012) Ltd."
71521,9684,"Introba Canada LLP (Calgary Office)","INTROBA CANADA LLP"
63935,9684,"INTROBA CANADA ENGINEERING LP","INTROBA CANADA LLP"
73761,73729,"King County Housing Authority","King County Housing Authority (KCHA)"
64055,49990,"FIDELITY ENGINEERING","Fidelity Engineering & Construction"
7650,7651,"Formula Contractors BC Ltd.","Formula Contractors Ltd"
53780,18868,"Greater Vancouver Regional District","Greater Vancouver Regional District (Metro Vancouver)"
40737,40764,"BROOK CONSTRUCTION (2017) INC.","BROOK CONSTRUCTION (2007) INC."
9503,9504,"Innovative Civil Construction","Innovative Civil Constructors Inc"
15128,15129,"Seasonal Impact (Landscape Construction & Maintenance)","Seasonal Impact Contracting Ltd."
71150,2636,"Arrow Engineering (now Englobe)","Arrow Engineering Inc."
14715,14717,"Rossco's Tree Service & Contracting Ltd.","Rossco's Tree Service and Contracting Ltd."
14716,14717,"Rossco's Tree Service & Contracting Ltd. (Rossco's Tree Care)","Rossco's Tree Service and Contracting Ltd."
1908,1909,"AGS Mechanical Contracting","AGS Mechanical Contractors Ltd"
18851,71350,"Department of National Defence (DND)","Department of National Defence Canada"
71417,71316,"Heiltsuk Nation (Heiltsuk Tribal Council)","Heiltsuk Nation"
51188,46545,"MAGELLAN ENGINEERING","MAGELLAN ENGINEERING CONSULTANTS"
11247,11246,"Mainline Construction (2014) Ltd","Mainline Construction"
68809,70296,"NAIT","NAIT (Northern Alberta Institute of Technology)"
36785,55065,"Keltic (Marine) Development Ltd.","Keltic Development"
71104,24837,"Formwerks Boutique","Formwerks Boutique Properties"
5684,5685,"Cutting Edge Contracting Ltd","Cutting Edge Construction Ltd."
10829,10828,"Leeville Construction Ltd. (Craftex Builders)","Leeville Construction Ltd."
14622,71206,"ROCKLIFF PIERZCHAJLO KROMAN ARCHITECTS LTD.","Rockliff Pierzchajlo Kroman Architects Ltd. (RPK Architects, now merged into DIALOG)"
70571,71236,"Highstreet Ventures (owner-builder)","Highstreet Ventures"
70271,18907,"Thompson-Nicola Regional District (TNRD)","Thompson Nicola Regional District"
51458,46568,"BEN WIEBE CONSTRUCTION (1985) LTD.","Ben Wiebe Construction"
9056,9055,"Hopkins Construction Ltd","Hopkins Construction (Lacombe) Ltd."
12204,12205,"NAC Constructors Ltd","NAC Constructors Ltd. (NAC Constructors Ltd.)"
8562,8560,"GS Holdings Company Ltd. (GS Construction)","GS Holdings Co Ltd"
55011,55044,"Williams Lake First Nation (Coyote Rock)","Williams Lake First Nation"
71419,71338,"Nanoose First Nation (Snaw-naw-as)","Nanoose First Nation"
34059,28876,"ZAS Architects + Interiors","ZAS Architects"
11652,11651,"Mega Technical Holdings Ltd. (Mega-Tech)","MEGA TECHNICAL HOLDINGS LTD."
31894,24612,"Ultra West Estates & Developments Ltd","Ultra West Estates & Development Ltd."
5394,5393,"Cormode & Dickson Construction (Fort McMurray) Ltd.","Cormode & Dickson Construction"
