LoserId,SurvivorId,LoserName,SurvivorName
75042,18657,"WSP Canada Inc (Kingston)","WSP Canada Inc."
16769,354,"The City of Red Deer (Red Deer Emergency Services)","The City of Red Deer"
54294,69688,"Busby Perkins + Will","Perkins + Will Architects"
75040,69688,"Perkins + Will Canada Inc","Perkins + Will Architects"
73932,70543,"Kasian Architecture Interior Design and Planning (Calgary office)","Kasian Architecture Interior Design and Planning"
47999,46645,"Don Saywell","Don Saywell Developments Ltd"
10621,69625,"Lafarge Canada Inc. (Infrastructure)","Lafarge Canada"
10622,69625,"Lafarge Canada Inc. (Lafarge Infrastucture)","Lafarge Canada"
10623,69625,"Lafarge Canada Inc. (LafargeHolcim)","Lafarge Canada"
70015,68976,"Berry Architecture and Associates","Berry Architecture + Associates"
64475,771,"SIMON FRASER UNIVERSITY SURREY","Simon Fraser University"
2368,2364,"Amron Construction Management Ltd.","AMRON Construction"
68294,38952,"VANCOUVER FRASER PORT AUTHORITY (VFPA)","Vancouver Fraser Port Authority (Port of Vancouver)"
2195,2196,"Alpha Construction Ic.","Alpha Construction Inc"
20604,70973,"Haebler Construction (2003) Inc","Haebler Construction"
24162,70973,"Haebler Construction Projects Inc","Haebler Construction"
28637,15,"URBAN ONE CONSTRUCTION INC.","Urban One Builders"
10746,10745,"LAVERGNE CONSTRUCTION MANAGEMENT LTD.","Lavergne Construction (1988) Ltd."
20977,143,"Ulmus (Oku) Development Ltd.","Ulmus Development Ltd."
6110,6112,"Devitt & Forand","Devitt & Forand Contractors Inc"
18052,18051,"Ward bros Ltd.","Ward Bros Construction Ltd."
71199,16853,"Marc Boutin Architectural Collaborative Inc.","The Marc Boutin Architectural Collaborative Inc"
32227,70926,"ITC Construction Management BC Inc","ITC Construction Group"
47994,46591,"Wade General Contractingb","Wade General Contracting Ltd"
36438,54932,"SCOTT CONSTRUCTION MANAGEMENT LTD.","Scott Construction Group"
15720,15718,"Southwest Design and Construction","Southwest Design & Construction Ltd"
48708,47900,"EMMONS AND MITCHELL","Emmons and Mitchell Construction"
53918,55100,"Tien Sher Investment","Tien Sher Group"
23827,19756,"Lewis Vancouver Development Ltd.","LEWIS VANCOUVER CONSTRUCTION LTD"
38331,25097,"Pacific Preferred Ltd.","Pacific Preferred Developments Ltd"
15127,15129,"Seasonal Impact","Seasonal Impact Contracting Ltd."
44348,54068,"MAHOE PROPERTIES (2002) LTD","Mahoe Properties"
33132,15173,"SEKO Construction (Vancouver) Ltd","Seko Construction Ltd"
55078,30792,"Pacific Reach Properties","Pacific Reach Properties Development"
17628,29632,"UPA Construction (AB) Ltd.","UPA Construction Group (BC) Ltd"
72247,28694,"Beedie Living","Beedie Living Construction Ltd."
