FamilyKey,Action,LoserId,LoserName,LoserKind,LoserWeight,LoserEnrich,SurvivorId,SurvivorName,SurvivorKind,SurvivorWeight,Confidence,Evidence
"city of calgary",MERGE,698,"The City of Calgary",Buyer,3274,1,53119,"City of Calgary",Buyer,105,High,"join=EXACT; loser-suppressed"
"city of calgary",MERGE,70300,"City of Calgary (relevant reference – not a school division)",Buyer,7,2,53119,"City of Calgary",Buyer,105,High,"join=EXACT; loser-suppressed"
"alberta infrastructure",MERGE,68821,"Alberta Infrastructure (CBE / CCSD / EPSB)",Buyer,17,2,53255,"Alberta Infrastructure",Buyer,2476,High,"join=EXACT; loser-suppressed"
"alberta infrastructure",MERGE,68822,"Alberta Infrastructure (CBE / EPSB)",Buyer,7,1,53255,"Alberta Infrastructure",Buyer,2476,High,"join=EXACT; loser-suppressed"
"wsp canada",MERGE,18653,"WSP Canada (WSP Construction Surveys)",GC,3,0,18657,"WSP Canada Inc.",Competitor,1823,High,"join=EXACT; loser-suppressed"
"wsp canada",MERGE,75042,"WSP Canada Inc (Kingston)",Vendor,3,0,18657,"WSP Canada Inc.",Competitor,1823,Medium,"join=EXACT-NONBD"
"city of red deer",MERGE,578,"City of Red Deer",Buyer,145,6,354,"The City of Red Deer",Buyer,1266,High,"join=EXACT"
"city of red deer",MERGE,16769,"The City of Red Deer (Red Deer Emergency Services)",Vendor,3,0,354,"The City of Red Deer",Buyer,1266,Medium,"join=EXACT-NONBD"
"university of calgary",MERGE,53401,"The University of Calgary",Buyer,38,3,324,"University of Calgary",Buyer,1319,High,"join=EXACT"
"city of medicine hat",MERGE,53315,"City of Medicine Hat",Buyer,37,5,671,"The City of Medicine Hat",Buyer,1152,High,"join=EXACT"
"calgary housing",MERGE,72047,"Calgary Housing Company (City of Calgary)",Buyer,36,2,575,"Calgary Housing Company",Buyer,810,High,"join=EXACT"
"calgary housing",MERGE,70303,"Calgary Housing Company (City-owned housing corporation)",Buyer,7,2,575,"Calgary Housing Company",Buyer,810,High,"join=EXACT; loser-suppressed"
"perkins will",MERGE,68636,"Perkins&Will (Los Angeles office)",Architect,218,7,69688,"Perkins + Will Architects",Architect,182,High,"join=EXACT"
"perkins will",MERGE,73712,"Perkins&Will Seattle",Architect,33,3,69688,"Perkins + Will Architects",Architect,182,High,"join=EXACT"
"perkins will",MERGE,73778,"Perkins&Will (San Francisco)",Architect,31,3,69688,"Perkins + Will Architects",Architect,182,High,"join=EXACT"
"perkins will",MERGE,54294,"Busby Perkins + Will",Architect,18,2,69688,"Perkins + Will Architects",Architect,182,Low,"join=CONTAINS"
"perkins will",MERGE,75040,"Perkins + Will Canada Inc",Vendor,6,1,69688,"Perkins + Will Architects",Architect,182,Medium,"join=EXACT-NONBD"
"associated engineering",MERGE,50834,"ASSOCIATED ENGINEERING (SASK.) LTD.",Competitor,46,0,2711,"Associated Engineering (Alberta) Ltd.",Competitor,409,High,"join=EXACT; loser-suppressed"
"associated engineering",MERGE,2712,"ASSOCIATED ENGINEERING (B.C.) LTD.",Competitor,12,1,2711,"Associated Engineering (Alberta) Ltd.",Competitor,409,High,"join=EXACT; loser-suppressed"
"associated engineering",MERGE,72295,"Associated Engineering",Competitor,5,1,2711,"Associated Engineering (Alberta) Ltd.",Competitor,409,High,"join=EXACT"
"dialog",MERGE,71514,"DIALOG (Alberta)",Architect,41,4,6154,"DIALOG",Competitor,381,High,"join=EXACT"
"dialog",MERGE,68790,"DIALOG (+ HOK)",Architect,20,3,6154,"DIALOG",Competitor,381,High,"join=EXACT"
"dialog",MERGE,74165,"DIALOG (+ HOK / 360 Architecture)",Architect,15,3,6154,"DIALOG",Competitor,381,High,"join=EXACT"
"arcadis ibi",MERGE,72268,"Arcadis IBI Group (Vancouver)",Architect,24,2,153,"Arcadis IBI Group",Architect,357,High,"join=EXACT"
"bc housing",MERGE,70039,"BC Housing (Our Place Society operator)",Buyer,4,1,38939,"BC Housing",Buyer,336,High,"join=EXACT; loser-suppressed"
"mgba",MERGE,69293,"MGBA (Mallen Gowing Berzins Architecture)",Architect,15,3,69932,"MGBA",Architect,315,High,"join=EXACT"
"kasian architecture interior design",MERGE,72795,"KASIAN ARCHITECTURE INTERIOR DESIGN",Architect,55,1,70543,"Kasian Architecture Interior Design and Planning",Architect,232,High,"join=EXACT; loser-suppressed"
"kasian architecture interior design",MERGE,72269,"Kasian Architecture Interior Design & Planning — Vancouver",Architect,20,3,70543,"Kasian Architecture Interior Design and Planning",Architect,232,High,"join=EXACT"
"kasian architecture interior design",MERGE,73932,"Kasian Architecture Interior Design and Planning (Calgary office)",Architect,8,2,70543,"Kasian Architecture Interior Design and Planning",Architect,232,Low,"join=CONTAINS"
"wa architects",MERGE,70697,"WA Architects Victoria",Architect,127,2,68974,"WA Architects",Architect,154,High,"join=EXACT"
"northern alberta institute of technology",MERGE,53400,"Northern Alberta Institute of Technology (NAIT)",Buyer,37,5,852,"Northern Alberta Institute of Technology",Buyer,240,High,"join=EXACT"
"omicron architecture",MERGE,12813,"Omicron Architecture Engineering Ltd.",Architect,15,3,69968,"Omicron Architecture Engineering Construction",Architect,262,High,"join=EXACT"
"peter rose",MERGE,23402,"Peter Rose Architecture & Interiors Inc.",Architect,67,2,22641,"Peter Rose Architecture",Architect,207,High,"join=EXACT"
"red deer polytechnic",MERGE,71208,"Red Deer Polytechnic (formerly Red Deer College)",Buyer,4,1,340,"Red Deer Polytechnic",Buyer,267,High,"join=EXACT; loser-suppressed"
"city of vancouver",MERGE,72146,"City of Vancouver (Vancouver Board of Parks and Recreation)",Buyer,24,2,399,"City of Vancouver",Buyer,240,High,"join=EXACT"
"city of vancouver",MERGE,72148,"City of Vancouver (developer-delivered, City-operated)",Buyer,2,0,399,"City of Vancouver",Buyer,240,High,"join=EXACT; loser-suppressed"
"gec architecture",MERGE,72271,"GEC Architecture (Vancouver — formerly Gomberoff Bell Lyon)",Architect,42,2,1,"GEC Architecture",Architect,179,High,"join=EXACT"
"gec architecture",MERGE,73930,"GEC Architecture (Calgary office)",Architect,26,2,1,"GEC Architecture",Architect,179,High,"join=EXACT"
"bc timber sales branch",MERGE,549,"BC Timber Sales Branch Chinook",Buyer,37,2,596,"BC Timber Sales Branch",Buyer,129,Low,"join=CONTAINS"
"bc timber sales branch",MERGE,400,"BC Timber Sales Branch Kootenay",Buyer,31,3,596,"BC Timber Sales Branch",Buyer,129,Low,"join=CONTAINS"
"bc timber sales branch",MERGE,348,"BC Timber Sales Branch Kamloops",Buyer,25,3,596,"BC Timber Sales Branch",Buyer,129,High,"join=EXACT"
"bc timber sales branch",MERGE,71449,"Babine BC Timber Sales Branch",Buyer,11,1,596,"BC Timber Sales Branch",Buyer,129,Low,"join=CONTAINS; loser-suppressed"
"bc timber sales branch",MERGE,652,"BC Timber Sales Branch Seaward",Buyer,7,1,596,"BC Timber Sales Branch",Buyer,129,Low,"join=CONTAINS; loser-suppressed"
"bc timber sales branch",MERGE,73870,"BC Timber Sales Branch Skeena",Buyer,4,0,596,"BC Timber Sales Branch",Buyer,129,Low,"join=CONTAINS; loser-suppressed"
"ac martin",MERGE,68629,"AC Martin (A.C. Martin Partners)",Architect,165,7,70108,"AC Martin",Architect,72,High,"join=EXACT"
"civida",MERGE,71128,"Civida (formerly Capital Region Housing Corporation)",Buyer,4,1,388,"Civida",Buyer,218,High,"join=EXACT; loser-suppressed"
"city of burnaby",MERGE,72309,"City of Burnaby — Engineering",Buyer,15,2,691,"City of Burnaby",Buyer,206,High,"join=EXACT"
"cornerstone architecture",MERGE,72283,"Cornerstone Architecture (Vancouver)",Architect,33,2,69724,"Cornerstone Architecture",Architect,178,High,"join=EXACT"
"sahuri partners",MERGE,74174,"Sahuri + Partners (with Pfeiffer Partners)",Architect,3,0,14910,"SAHURI + Partners Architecture Inc.",Architect,208,High,"join=EXACT; loser-suppressed"
"chandos construction",MERGE,70574,"Chandos Construction (co-GC: Khowutzun Development)",GC,3,1,4708,"Chandos Construction Ltd.",GC,201,High,"join=EXACT; loser-suppressed"
"studiohub architects",MERGE,70537,"studioHuB Architects (with MQN Architects)",Architect,4,1,68977,"studioHuB Architects",Architect,190,High,"join=EXACT; loser-suppressed"
"cima",MERGE,69328,"CIMA+ (formerly Bogdonov Pao Associates)",Competitor,4,1,4856,"CIMA+",Competitor,184,High,"join=EXACT; loser-suppressed"
"don saywell",MERGE,46886,"Don Saywell Development Ltd",Developer,3,1,46645,"Don Saywell Developments Ltd",Developer,180,High,"join=EXACT; loser-suppressed"
"don saywell",MERGE,47999,"Don Saywell",Vendor,3,1,46645,"Don Saywell Developments Ltd",Developer,180,Medium,"join=EXACT-NONBD"
"empire west",MERGE,20722,"Empire West Properties Ltd.",Developer,37,1,23041,"Empire West Construction Ltd.",GC,148,Low,"join=EXACT; BIZNUM-CONFLICT(812927713 vs 838550259); loser-suppressed"
"lafarge canada",MERGE,10624,"Lafarge Canada Inc. (TBG Contracting Division of Lafarge Canada Inc.)",GC,4,0,69625,"Lafarge Canada",Buyer,172,High,"join=EXACT; loser-suppressed"
"lafarge canada",MERGE,10621,"Lafarge Canada Inc. (Infrastructure)",Vendor,3,0,69625,"Lafarge Canada",Buyer,172,Medium,"join=EXACT-NONBD"
"lafarge canada",MERGE,10622,"Lafarge Canada Inc. (Lafarge Infrastucture)",Vendor,3,0,69625,"Lafarge Canada",Buyer,172,Medium,"join=EXACT-NONBD"
