LoserId,SurvivorId,Reason
55013,55056,"JV 'Hariri Pontarini Architects (w/ Formline; Ramsay Worden; Urban Strategies)' -> lead Hariri Pontarini Architects"
55015,54190,"JV 'GBL Architects (w/ DIALOG; RH Architects)' -> lead GBL Architects"
55036,55058,"JV 'Zaha Hadid Architects + Archistar' -> lead Zaha Hadid Architects"
55038,17644,"JV 'Urban Strategies (master plan) + McElhanney + Vamos Advisors' -> lead Urban Strategies Inc."
55099,55056,"JV 'Hariri Pontarini Architects / Adamson Associates' -> lead Hariri Pontarini Architects"
68730,68705,"JV 'SERA Architects (exec architect; w/ CO Architects)' -> lead SERA Architects"
68796,69765,"JV 'KPMB + Hindle Architects + Tawaw Architecture Collective (JV)' -> lead KPMB Architects"
68808,1,"JV 'GEC Architecture + DIALOG (JV)' -> lead GEC Architecture"
68812,14910,"JV 'Sahuri + Partners (with Pfeiffer Partners)' -> lead SAHURI + Partners Architecture Inc."
68815,8799,"JV 'hcma + DUB Architects + FaulknerBrowns (JV)' -> lead hcma architecture + design"
68817,69767,"JV 'Teeple Architects (with Stantec / Architecture Tkalcic Bengert)' -> lead Teeple Architects"
68819,2579,"JV 'Architecture49 (stations; sub) under Bow Transit Connectors w/ Arcadis-IBI + GEC' -> lead Architecture49 Inc."
68864,38975,"JV 'ZGF Architects + Parkin Architects' -> lead ZGF Architects"
68866,68972,"JV 'Parkin Architects + CEI Architecture' -> lead Parkin Architects"
68870,54753,"JV 'Diamond Schmitt Architects + Kirsten Reite Architecture' -> lead Diamond Schmitt Architects"
68881,1,"JV 'GEC Architecture + DIALOG' -> lead GEC Architecture"
68895,38960,"JV 'Acton Ostry Architects + MJMA' -> lead Acton Ostry Architects Inc."
68896,69765,"JV 'KPMB + Hindle Architects + Tawaw Architecture Collective' -> lead KPMB Architects"
68899,55056,"JV 'Hariri Pontarini Architects / Adamson Architects' -> lead Hariri Pontarini Architects"
68901,69768,"JV 'MJMA + Group2' -> lead MJMA"
69220,69767,"JV 'Teeple Architects / Stantec Architecture' -> lead Teeple Architects"
69229,68972,"JV 'Parkin Architects Ltd. / Kasian Architecture' -> lead Parkin Architects"
69233,14871,"JV 'S2 Architecture / gh3*' -> lead S2 Architecture"
69236,8799,"JV 'hcma architecture + design / Dub Architects / FaulknerBrowns' -> lead hcma architecture + design"
69241,69020,"JV 'Two Row Architect + Teeple Architects + Low Hammond Rowe Architects' -> lead Two Row Architect"
69242,69094,"JV 'Merrick Architecture / GBL Architects / Walter Francl Architecture' -> lead Merrick Architecture"
69256,54753,"JV 'Diamond Schmitt / David Nairne + Associates' -> lead Diamond Schmitt Architects"
69264,69781,"JV 'Ryder Architecture + Hotson Architecture' -> lead Ryder Architecture"
69287,69768,"JV 'MJMA + Acton Ostry Architects' -> lead MJMA"
69310,68972,"JV 'Parkin Architects / ZGF Architects' -> lead Parkin Architects"
69311,71252,"JV 'Kirsten Reite Architecture; Diamond Schmitt Architects; B+H Architects' -> lead Kirsten Reite Architecture"
69338,2579,"JV 'Architect49 / Patkau Architecture / Moriyama Teshima / Carscadden Stokes McDonald / Urban Arts Architecture' -> lead Architecture49 Inc."
69380,54190,"JV 'GBL Architects / RH Architects' -> lead GBL Architects"
69424,69282,"JV 'Patkau Architects + Moriyama Teshima Architects + Carscadden Stokes McDonald Architects' -> lead Patkau Architects"
69427,69214,"JV 'Johnston Davidson Architecture + Urban Arts Architecture' -> lead Johnston Davidson Architecture"
69430,38975,"JV 'ZGF + Parkin Architects' -> lead ZGF Architects"
69585,38960,"JV 'Acton Ostry Architects + MJMA Architecture + Design' -> lead Acton Ostry Architects Inc."
69604,8799,"JV 'HCMA Architecture + Design / Olson Kundig' -> lead hcma architecture + design"
69661,55064,"JV 'JYOM Architecture / GBL Architects' -> lead Jyom Architecture"
69831,54190,"JV 'GBL Architects / IBI Group Architects / James KM Cheng Architects' -> lead GBL Architects"
69833,2579,"JV 'Architecture49 (stations: Eau Claire; 26th Ave; Ramsay/Inglewood); Sturgess Architecture (station concept design)' -> lead Architecture49 Inc."
69836,69646,"JV 'Francl Architecture / Perkins & Will / AECOM (station architects)' -> lead Francl Architecture"
69839,54190,"JV 'GBL Architects (some parcels); DIALOG (some parcels); multiple architects by parcel' -> lead GBL Architects"
69848,38975,"JV 'ZGF Architects / Parkin Architects (joint venture)' -> lead ZGF Architects"
69851,68972,"JV 'Parkin Architects / ZGF Architects (joint venture)' -> lead Parkin Architects"
69852,68972,"JV 'Parkin Architects Western Ltd. (Phase 2 architect of record); IBI Group (Phase 1 architect)' -> lead Parkin Architects"
69867,29895,"JV 'Henriquez Partners Architects (prime); Adamson Associates; Diamond Schmitt; Gensler' -> lead Henriquez Partners Architects"
69869,68972,"JV 'Parkin Architects Ltd.; HDR; Arcadis-IBI Group' -> lead Parkin Architects"
69870,68972,"JV 'Parkin Architects (architect of record); ZGF Architects (design architect)' -> lead Parkin Architects"
69872,68972,"JV 'Parkin Architects / ZGF Architects (design architect)' -> lead Parkin Architects"
69883,68972,"JV 'Parkin Architects / HDR / Arcadis-IBI Group' -> lead Parkin Architects"
69894,71250,"JV 'Integra Architecture (Zara at Lakestone condos); Rositch Hemphill Architects (Waterside neighbourhood)' -> lead Integra Architecture Inc."
69897,68913,"JV 'MQN Architects (mountain lodge addition; 2008); Raymond Letkeman Architects (residential/resort); Hart Howerton (Cabot Revelstoke residential chalets)' -> lead MQN Architects"
