LoserId,SurvivorId,Reason
54248,9229,"JV 'IBI/ HB Architects' -> Vendor lead IBI Group"
55115,4771,"JV 'Chernoff Thompson Architects / B+H Architects' -> Vendor lead Chernoff Thompson Architects"
68784,38934,"JV 'Stantec (architect of record; with Populous)' -> Competitor lead Stantec Inc."
68786,6154,"JV 'DIALOG + HOK (JV)' -> Competitor lead DIALOG"
68788,6154,"JV 'DIALOG (+ HOK / 360 Architecture)' -> Competitor lead DIALOG"
68792,6154,"JV 'DIALOG + Stantec' -> Competitor lead DIALOG"
68830,6154,"JV 'DIALOG + NORR' -> Competitor lead DIALOG"
68869,70635,"JV 'HDR Architecture Associates + Stantec Architecture' -> Competitor lead HDR"
69235,38934,"JV 'Stantec Architecture / Two Row Architecture' -> Competitor lead Stantec Inc."
69262,70635,"JV 'HDR + Parkin Architects' -> Competitor lead HDR"
69280,9229,"JV 'IBI Group / HDR' -> Vendor lead IBI Group"
69340,70635,"JV 'HDR / Arcadis' -> Competitor lead HDR"
69573,70635,"JV 'HDR Architecture Associates Inc. / Stantec Architecture' -> Competitor lead HDR"
69770,9229,"JV 'IBI Group / Arcadis' -> Vendor lead IBI Group"
69789,9229,"JV 'IBI Group Architects + Carscadden Stokes McDonald Architects' -> Vendor lead IBI Group"
69889,70635,"JV 'HDR Architecture; Aplin Martin' -> Competitor lead HDR"
69896,54159,"JV 'Pheidias Project Management / Oberto Oberti (architect-developer)' -> Unknown lead Pheidias Project Management"
69903,54159,"JV 'Pheidias Project Management Corp. / Oberti Resort Design (Oberto Oberti)' -> Unknown lead Pheidias Project Management"
69929,9229,"JV 'IBI Group (residential tower) / Revery Architecture (office tower)' -> Vendor lead IBI Group"
69931,4771,"JV 'Chernoff Thompson Architects (Prime Consultant); Local Practice (sustainable design advisor); Francl Architecture' -> Vendor lead Chernoff Thompson Architects"
69939,38934,"JV 'Stantec / Populous / S2 Architecture (joint venture)' -> Competitor lead Stantec Inc."
69953,70635,"JV 'HDR Architecture / HOK (joint venture); CEI Architecture (architect of record)' -> Competitor lead HDR"
69963,38934,"JV 'Stantec (prime) / DSRA Architecture' -> Competitor lead Stantec Inc."
69978,38934,"JV 'Stantec Architecture (Calgary site); Colliers Project Leaders (Royal Alexandra Hospital site)' -> Competitor lead Stantec Inc."
70046,23640,"JV 'Patrick R. Stewart Architect / Stantec' -> Vendor lead Patrick R. Stewart Architect"
70062,70635,"JV 'HDR / Arcadis IBI Group (architect of record)' -> Competitor lead HDR"
70063,19306,"JV 'Principle Architecture + Local Practice Architecture + Design' -> Vendor lead Principle Architecture"
70092,6154,"JV 'DIALOG + Thinkspace Architecture' -> Competitor lead DIALOG"
70165,16944,"JV 'Thinkspace / Patkau Architects / Urban Arts Architecture / Colborne Architectural Group' -> Vendor lead ThinkSpace"
70235,70635,"JV 'HDR Architecture + Engineering (multi-family phases); KelTec Design & Drafting (Phase 1 single-family)' -> Competitor lead HDR"
70808,70635,"JV 'HDR Architecture Associates Inc. / Endall Elliot Associates' -> Competitor lead HDR"
70917,2953,"JV 'B+H Architects / KRA (Kirsten Reite Architecture) / Diamond Schmitt Architects' -> Vendor lead B+H Architects"
70938,70635,"JV 'HDR Architecture Associates (lead) / Stantec Architecture (collaborating architect)' -> Competitor lead HDR"
70953,38934,"JV 'Stantec Architecture / DSRA Architecture Inc.' -> Competitor lead Stantec Inc."
70955,19306,"JV 'Principle Architecture / Local Practice Architecture' -> Vendor lead Principle Architecture"
70972,70635,"JV 'HDR Architecture Associates Inc. (design architect); Arcadis IBI Group (architect of record)' -> Competitor lead HDR"
71023,9229,"JV 'IBI Group Architects / Yamamoto Architecture' -> Vendor lead IBI Group"
