LoserId,SurvivorId,Reason
68784,38934,"JV 'Stantec (architect of record; with Populous)' -> Competitor lead Stantec Inc."
68786,6154,"JV 'DIALOG + HOK (JV)' -> Competitor lead DIALOG"
68788,6154,"JV 'DIALOG (+ HOK / 360 Architecture)' -> Competitor lead DIALOG"
68792,6154,"JV 'DIALOG + Stantec' -> Competitor lead DIALOG"
68830,6154,"JV 'DIALOG + NORR' -> Competitor lead DIALOG"
68869,70635,"JV 'HDR Architecture Associates + Stantec Architecture' -> Competitor lead HDR"
69235,38934,"JV 'Stantec Architecture / Two Row Architecture' -> Competitor lead Stantec Inc."
69262,70635,"JV 'HDR + Parkin Architects' -> Competitor lead HDR"
69340,70635,"JV 'HDR / Arcadis' -> Competitor lead HDR"
69573,70635,"JV 'HDR Architecture Associates Inc. / Stantec Architecture' -> Competitor lead HDR"
69889,70635,"JV 'HDR Architecture; Aplin Martin' -> Competitor lead HDR"
69939,38934,"JV 'Stantec / Populous / S2 Architecture (joint venture)' -> Competitor lead Stantec Inc."
69953,70635,"JV 'HDR Architecture / HOK (joint venture); CEI Architecture (architect of record)' -> Competitor lead HDR"
69963,38934,"JV 'Stantec (prime) / DSRA Architecture' -> Competitor lead Stantec Inc."
69978,38934,"JV 'Stantec Architecture (Calgary site); Colliers Project Leaders (Royal Alexandra Hospital site)' -> Competitor lead Stantec Inc."
70062,70635,"JV 'HDR / Arcadis IBI Group (architect of record)' -> Competitor lead HDR"
70092,6154,"JV 'DIALOG + Thinkspace Architecture' -> Competitor lead DIALOG"
70235,70635,"JV 'HDR Architecture + Engineering (multi-family phases); KelTec Design & Drafting (Phase 1 single-family)' -> Competitor lead HDR"
70808,70635,"JV 'HDR Architecture Associates Inc. / Endall Elliot Associates' -> Competitor lead HDR"
70938,70635,"JV 'HDR Architecture Associates (lead) / Stantec Architecture (collaborating architect)' -> Competitor lead HDR"
70953,38934,"JV 'Stantec Architecture / DSRA Architecture Inc.' -> Competitor lead Stantec Inc."
70972,70635,"JV 'HDR Architecture Associates Inc. (design architect); Arcadis IBI Group (architect of record)' -> Competitor lead HDR"
