LoserId,SurvivorId,Reason
54248,153,"IBI/HB Architects -> Arcadis IBI Group"
55115,4771,"Chernoff Thompson/B+H -> Chernoff Thompson Architects"
69280,153,"IBI Group/HDR -> Arcadis IBI Group"
69770,153,"IBI Group/Arcadis -> Arcadis IBI Group"
69789,153,"IBI Group Architects+Carscadden -> Arcadis IBI Group"
69929,153,"IBI Group/Revery -> Arcadis IBI Group"
69931,4771,"Chernoff Thompson+Local Practice+Francl -> Chernoff Thompson Architects"
70046,23640,"Patrick R. Stewart Architect/Stantec -> Patrick R. Stewart Architect"
70063,19306,"Principle+Local Practice -> Principle Architecture"
70165,16944,"Thinkspace/Patkau/Urban Arts/Colborne -> ThinkSpace"
70917,2953,"B+H/KRA/Diamond Schmitt -> B+H Architects"
70955,19306,"Principle/Local Practice -> Principle Architecture"
71023,153,"IBI Group/Yamamoto -> Arcadis IBI Group"
