JvId,DisplayName,WantedLead
54248,"IBI/ HB Architects","IBI Group Architects"
54652,"Proscenium Architecture & Interiors/ Teeple Architects","Proscenium Architecture & Interiors"
55019,"Revery Architecture (design); Kasian (architect of record)","Revery Architecture"
55115,"Chernoff Thompson Architects / B+H Architects","Chernoff Thompson Architects"
68727,"OMA / LMN Architects","OMA"
68737,"Pickard Chilton / SkB Architects","Pickard Chilton"
68784,"Stantec (architect of record; with Populous)","Stantec Architecture"
68786,"DIALOG + HOK (JV)","DIALOG"
68788,"DIALOG (+ HOK / 360 Architecture)","DIALOG"
68792,"DIALOG + Stantec","DIALOG"
68794,"Snøhetta + DIALOG (JV)","Snøhetta"
68799,"Foster + Partners; Zeidler (executive architect)","Foster + Partners"
68801,"BIG (Bjarke Ingels) + DIALOG","Bjarke Ingels Group (BIG)"
68818,"Saucier + Perrotte (with Stantec)","Saucier + Perrotte Architectes"
68820,"Group2 Architecture + DLR Group","Group2 Architecture"
68830,"DIALOG + NORR","DIALOG"
68869,"HDR Architecture Associates + Stantec Architecture","HDR Architecture"
68877,"3XN with Ryder Architecture","3XN"
68883,"EHDD + Payette","EHDD"
68889,"SOM + Mithun","SOM (Skidmore, Owings & Merrill)"
68898,"TKA+D + RDHA","TKA+D Architecture + Design"
68900,"Saucier + Perrotte + Stantec","Saucier + Perrotte Architectes"
69234,"Perkins&Will / Schmidt Hammer Lassen Architects","Perkins&Will"
69235,"Stantec Architecture / Two Row Architecture","Stantec Architecture"
69239,"Moriyama Teshima Architects + Acton Ostry Architects","Moriyama Teshima Architects"
69243,"Bjarke Ingels Group (BIG) + DIALOG","Bjarke Ingels Group (BIG)"
69251,"James KM Cheng Architects / Adamson Associates Architects","James KM Cheng Architects"
69260,"Perkins&Will / KPMB Architects","Perkins&Will"
69262,"HDR + Parkin Architects","HDR Architecture"
69280,"IBI Group / HDR","IBI Group Architects"
69295,"Snøhetta + DIALOG","Snøhetta"
69340,"HDR / Arcadis","HDR Architecture"
69375,"Revery Architecture / Kasian Architecture","Revery Architecture"
69573,"HDR Architecture Associates Inc. / Stantec Architecture","HDR Architecture"
69583,"TKA+D Architecture & Design / MJMA Architecture + Design","TKA+D Architecture + Design"
69612,"Group2 Architecture Interior Design Ltd. + DLR Group","Group2 Architecture"
69622,"Snohetta + DIALOG","Snøhetta"
69770,"IBI Group / Arcadis","IBI Group Architects"
69787,"Arthur Erickson / Musson Cattell Mackey Partnership","Arthur Erickson Architects"
69789,"IBI Group Architects + Carscadden Stokes McDonald Architects","IBI Group Architects"
69830,"Snohetta + DIALOG (JV)","Snøhetta"
69846,"Revery Architecture (design architect) / Kasian (architect of record)","Revery Architecture"
69879,"James K.M. Cheng Architects / Stantec (architect of record)","James KM Cheng Architects"
69885,"Revery Architecture (Design Architect); Kasian Architecture (Architect of Record)","Revery Architecture"
69887,"Arney Fender Katsalidis (design); DIALOG (delivery architect)","Arney Fender Katsalidis"
69889,"HDR Architecture; Aplin Martin","HDR Architecture"
69896,"Pheidias Project Management / Oberto Oberti (architect-developer)","Pheidias Project Management"
69903,"Pheidias Project Management Corp. / Oberti Resort Design (Oberto Oberti)","Pheidias Project Management"
69921,"3XN GXN with Ryder Architecture","3XN"
69929,"IBI Group (residential tower) / Revery Architecture (office tower)","IBI Group Architects"
69931,"Chernoff Thompson Architects (Prime Consultant); Local Practice (sustainable design advisor); Francl Architecture","Chernoff Thompson Architects"
69935,"James KM Cheng Architects Inc. (with IBI Group / Arcadis as architect of record)","James KM Cheng Architects"
69939,"Stantec / Populous / S2 Architecture (joint venture)","Stantec Architecture"
69946,"Bjarke Ingels Group (BIG); DIALOG (associate architect)","Bjarke Ingels Group (BIG)"
69950,"DVAD Inc. (housing designs); BHA (master planning)","DVAD Inc."
69953,"HDR Architecture / HOK (joint venture); CEI Architecture (architect of record)","HDR Architecture"
69960,"Ecosign Mountain Resort Planners (master plan); BOS Studio Architecture Ltd. (Discovery Centre / Watershed)","Ecosign Mountain Resort Planners"
69961,"Saucier + Perrotte Architectes / Stantec","Saucier + Perrotte Architectes"
69963,"Stantec (prime) / DSRA Architecture","Stantec Architecture"
69978,"Stantec Architecture (Calgary site); Colliers Project Leaders (Royal Alexandra Hospital site)","Stantec Architecture"
70046,"Patrick R. Stewart Architect / Stantec","Patrick R. Stewart Architect"
70062,"HDR / Arcadis IBI Group (architect of record)","HDR Architecture"
70063,"Principle Architecture + Local Practice Architecture + Design","Principle Architecture"
70078,"3XN (design architect) with Ryder Architecture (architect of record / local lead)","3XN"
70080,"TKA+D Architecture + Design / MJMA Architecture + Design (joint venture)","TKA+D Architecture + Design"
70092,"DIALOG + Thinkspace Architecture","DIALOG"
70110,"HED + Moore Ruble Yudell","HED"
70141,"Workun Garrick / BR2 (P3)","Workun Garrick Architecture"
70142,"Payette / EHDD","Payette"
70146,"SOM (Skidmore, Owings & Merrill) + Mithun","SOM (Skidmore, Owings & Merrill)"
70148,"Bora Architecture + Interiors (Studio Petretti Architecture / PLACE)","Bora Architecture + Interiors"
70165,"Thinkspace / Patkau Architects / Urban Arts Architecture / Colborne Architectural Group","Thinkspace Architecture"
70235,"HDR Architecture + Engineering (multi-family phases); KelTec Design & Drafting (Phase 1 single-family)","HDR Architecture"
70672,"EIDOS Architecture / Faction Architecture Inc.","EIDOS Architecture"
70808,"HDR Architecture Associates Inc. / Endall Elliot Associates","HDR Architecture"
70896,"James K.M. Cheng Architects Inc. / Adamson Associates Architects","James KM Cheng Architects"
70917,"B+H Architects / KRA (Kirsten Reite Architecture) / Diamond Schmitt Architects","B+H Architects"
70923,"James Cheng Architects / Musson Cattell Mackey Partnership / Stantec Architecture","James KM Cheng Architects"
70938,"HDR Architecture Associates (lead) / Stantec Architecture (collaborating architect)","HDR Architecture"
70953,"Stantec Architecture / DSRA Architecture Inc.","Stantec Architecture"
70955,"Principle Architecture / Local Practice Architecture","Principle Architecture"
70957,"Morphosis Architects / Francl Architecture","Morphosis Architects"
70972,"HDR Architecture Associates Inc. (design architect); Arcadis IBI Group (architect of record)","HDR Architecture"
70974,"Moriyama Teshima Architects / Carscadden Stokes McDonald Architects","Moriyama Teshima Architects"
71023,"IBI Group Architects / Yamamoto Architecture","IBI Group Architects"
71031,"TKA+D Architecture + Design / RDHA Architects","TKA+D Architecture + Design"
71116,"Perkins+Will (Brentwood, Gilmore) / Baker McGarva Hart Architects (Renfrew, Rupert)","Perkins+Will"
71122,"TKA+D Architecture + Design (with RDHA)","TKA+D Architecture + Design"
71125,"Stantec Architecture (AOR); nFusion (Prime Consultant)","nFusion"
71138,"gh3* architecture + S2 Architecture","gh3* architecture"
71152,"AXIA Design Associates (lead design); Arriz + Co. (architecture & interiors); Kasian Architecture Interior Design & Planning (executive architect)","AXIA Design Associates"
71164,"gh3* architecture (design architect); Morrison Hershfield (architect of record)","gh3* architecture"
71173,"M.O. George Architect; Claroscuro Architecture","M.O. George Architect"
71183,"Grimshaw Architects; Dub Architects; O2 Planning + Design","Grimshaw Architects"
71191,"gh3* architecture (design architect); CCxA – Claude Cormier x Associés (landscape architect)","gh3* architecture"
71197,"Andrew Bromberg at Aedas (design architect); Stantec Architecture Ltd. (executive architect)","Aedas"
