LoserId,SurvivorId,Reason
70037,69529,McElhanney (Nanaimo) -> McElhanney (same firm, regional office variant)
11515,69529,McElhanney Associates Land Surveying -> McElhanney
11516,69529,McElhanney Consultanting Service Ltd (typo) -> McElhanney
11517,69529,McElhanney Consultanting Service Ltd Peace Region (typo) -> McElhanney
11518,69529,McElhanney Consulting -> McElhanney
11520,69529,McElhanney Consulting Services Ltd Pre-Qualified For RFP -> McElhanney
11521,69529,McElhanney Consulting Services Ltd. -> McElhanney
11522,69529,McElhanney Consulting Services Ltd. Project A CON0019822 & Project B CON0019845 -> McElhanney
11523,69529,McElhanney Geomatics -> McElhanney
11525,69529,McElhanney Land Surveys Ltd. -> McElhanney
59771,69529,MCELHANNEY ASSOCIATES LAND SURVEYIN (ALL CAPS) -> McElhanney
63710,69529,McElhanney Ltl (typo) -> McElhanney
65179,69529,MCELHANNEY ASSOCIATES LAND (ALL CAPS) -> McElhanney
