LoserId,SurvivorId,GarbledName,CorrectedName
10534,10110,"K-Rite Construction Ltd. (K-Rite Construction)","K-Rite Construction Ltd."
11320,11319,"Maple Reinders Constructors Ltd. (MRCL)","Maple Reinders Constructors Ltd."
13299,13298,"Pemco Construction Ltd (ALBERTA HEALTH SERVICES)","Pemco Construction Ltd."
13507,13508,"PnG Custom Builders Inc (PnG Builders)","PnG Custom Builders Inc."
13802,13801,"Prologic Construction Ltd. (General Contractor)","Prologic Construction Ltd."
17627,17626,"Unsurpassable Construction Ltd. N/A","Unsurpassable Construction Ltd."
18435,18434,"Whitson Contracting Ltd (General Contracting)","Whitson Contracting Ltd."
38958,53834,"Vancouver Airport Authority (YVR)","Vancouver Airport Authority"
48860,44289,"MJ CHALEY CONSTRUCTION GROUP LTD","MJ Chahley Construction Group Ltd."
543,53394,"Lloydminster","City of Lloydminster"
54925,22795,"ICON West Construction Corp. (formerly ICON Pacific Construction Corp.)","ICON West Construction Corp."
54935,38946,"Concert Properties (incl. in-house Concert construction operations)","Concert Properties"
54960,18869,"Kwantlen Polytechnic University (KPU)","Kwantlen Polytechnic University"
54980,54978,"Partnerships BC (now Infrastructure BC)","Infrastructure BC"
54994,69740,"Penticton Indian Band Development Corporation (PIBDC)","Penticton Indian Band Development Corporation"
55077,691,"City of Burnaby (City-owned property)","City of Burnaby"
55086,216,"Wesbild","Wesbild Holdings Ltd."
55103,38936,"Adera","Adera Development Corporation"
68617,70103,"KNA Structural Engineers (now part of RTM Engineering Consultants)","KNA Structural Engineers"
68626,54946,"Webcor (Webcor Builders)","Webcor"
68648,73795,"Lendlease (Lendlease Americas)","Lendlease"
68709,74229,"Trammell Crow Company (TCC)","Trammell Crow Company"
68765,74150,"CANA Group of Companies (CANA Construction)","CANA Group of Companies"
68769,53610,"Avi Urban (division of Homes by Avi Group of Companies)","Avi Urban"
68776,53507,"Truman (Truman Homes)","Truman Homes"
68777,74157,"RNDSQR (Round•Square)","RNDSQR"
68779,38948,"ONE Properties (formerly WAM Development Group)","ONE Properties"
68857,65743,"University of California system (UC Office of the President capital program)","University of California"
68860,74225,"University of Southern California (USC)","University of Southern California"
68981,52771,"IWCD (Island West Coast Developments)","Island West Coast Developments Ltd."
69135,68931,"DLR Group | BakerNowicki","DLR Group"
69362,53842,"Tsawout First Nation (SȾÁUTW̱)","Tsawout First Nation"
69395,69186,"Khowutzun Development Corporation (KDC / KDLLP)","Khowutzun Development Corporation"
69396,54997,"Petroglyph Development Group (PDG)","Petroglyph Development Group"
69668,54758,"Wesgroup","Wesgroup Properties"
69768,70154,"MJMA","MJMA Architecture & Design"
69847,70916,"Peak Construction (construction manager)","Peak Construction"
69868,12699,"O2 Design (master planning/landscape)","O2 Planning + Design Inc."
69996,70606,"Skyline Engineering Ltd (Victoria)","Skyline Engineering Ltd."
70031,54015,"Regional District of Nanaimo (RDN)","Regional District of Nanaimo"
70272,18890,"Regional District of Okanagan-Similkameen (RDOS)","Regional District of Okanagan-Similkameen"
70324,843,"North Island College (NIC)","North Island College"
70336,69578,"Stantec (unified design with Nanaimo/Colwood – on hold)","Stantec"
71384,18920,"Vancouver Island University (VIU)","Vancouver Island University"
71634,11507,"McCuaig & Associates Engineering Ltd. (Default)","McCuaig & Associates Engineering Ltd."
72105,22083,"WZMH Architects (Calgary)","WZMH Architects"
72214,72266,"Revery Architecture (Phase 1); Phase 2 not yet confirmed","Revery Architecture"
72276,20402,"Omicron (Vancouver — Architecture + Engineering Integrated Firm)","Omicron Canada Inc."
72293,6154,"DIALOG (Vancouver – Structural)","DIALOG"
72317,18917,"Vancouver Coastal Health — Capital Projects (Richmond Hospital Redevelopment)","Vancouver Coastal Health"
72324,18917,"Vancouver Coastal Health — Capital Projects (Coastal Community of Care)","Vancouver Coastal Health"
72405,72193,"VGH & UBC Hospital Foundation (privately funded, no government capital)","VGH & UBC Hospital Foundation"
72468,18865,"First Nations Health Authority (BC)","First Nations Health Authority"
72469,5472,"Covenant Health (Alberta)","Covenant Health"
