LoserId,SurvivorId,Note
72145,4708,Chandos suffix variant
69367,69703,Iredale Architecture -> Iredale Group Architecture
10395,72122,Klohn Crippen Berger vendor row -> BD record
72113,11697,Metafor -> METAFOR Architecture Inc. (worklist rebrand item; 74145 already folded into 72113 today)
73994,71134,Next Architecture Inc. (ex-Eleven Architects) -> Next Architecture
69117,54992,Ntityix Development Corp. variant
71430,71157,Protostatix suffix variant
54822,16,Rize Alliance -> KorClient record
70145,38933,Saiful Bouquet suffix variant
69578,38934,Stantec -> Stantec Inc.
72280,38934,Stantec Architecture (subsidiary brand) -> Stantec Inc. (prior-pattern consistent)
68752,16056,Stephenson Engineering Ltd./Limited variant
69432,71008,Timber Engineering suffix variant
51423,40109,Timbro case variant
54758,12,Wesgroup Properties -> KorClient record
72277,69660,Yamamoto suffix variant
6768,74130,FLIPPED vs planner: Egis Canada Ltd. vendor row -> curated 74130 (m134 McIntosh Perry consolidation survivor)
