Id,Kind,OldName,NewName
971,Vendor,"1164797 Alberta Ltd. (Shan Trucking) Bid has not been reviewed for compliance","1164797 Alberta Ltd. (Shan Trucking)"
1002,Vendor,"1248907 Alberta Ltd. (Smoky River Environmental Services) Awarded","1248907 Alberta Ltd. (Smoky River Environmental Services)"
1069,Vendor,"15 Vendors Qualified for the Prequalified Supplier Roster","15 Vendors Qualified for the"
1385,Vendor,"612645 Alberta Ltd. o/a CTC Golf and Turf Weighted Evaluation","612645 Alberta Ltd. o/a CTC Golf and Turf"
1469,Vendor,"960722 Alberta Ltd. (Jacqueline Schimpf Communications) Weighted Evaluation","960722 Alberta Ltd. (Jacqueline Schimpf Communications)"
1563,Vendor,"ABB Inc. Weighted Evaluation","ABB Inc"
1622,Vendor,"Accenture Inc. Pre-Qualified not awarded as this was Pre-Qualification not RFP","Accenture Inc"
1668,Vendor,"ACI Architects Inc Successful Prequalified","ACI Architects Inc"
1815,Vendor,"AECOM CANADA Awarded","AECOM CANADA"
1819,Vendor,"AECOM Canada Ltd Successful Proponent","AECOM Canada Ltd"
1834,Vendor,"AECON Transportation West Ltd. Pre-qualified","AECON Transportation West Ltd"
1893,Vendor,"Agnovi Corporation Awarded","Agnovi Corporation"
1970,Vendor,"Al Terra Bids have not been reviewed for compliancy or calculation error","Al Terra"
2003,Vendor,"Alberta Geomatics & Mapping Consultants Contract awarded to highest scoring bidder","Alberta Geomatics & Mapping Consultants"
2004,Vendor,"Alberta Geomatics & Mapping Consultants contract awarded to the highest scoring bidder","Alberta Geomatics & Mapping Consultants"
2037,Vendor,"Alberta Pipe Inspection Ltd. Successful Proponent","Alberta Pipe Inspection Ltd"
2086,Vendor,"Alfa Laval Inc Weighted Evaluation","Alfa Laval Inc"
2259,Vendor,"Al-Terra Engineering Ltd. Prequalified for RFP","Al-Terra Engineering Ltd"
2260,Vendor,"Al-Terra Engineering Ltd. Pre-Qualified For the Request for Proposal","Al-Terra Engineering Ltd"
2262,Vendor,"Al-Terra Engineering Ltd. Weighted Evaluation","Al-Terra Engineering Ltd"
2315,Vendor,"AMEC Environment & Infrastructure Successful Proponent","AMEC Environment & Infrastructure"
2318,Vendor,"AMEC Environment and Infrastructure Successful Proponent","AMEC Environment and Infrastructure"
2324,Vendor,"Amec Foster Wheeler Environment and Infrastructure Awarded","Amec Foster Wheeler Environment and Infrastructure"
2410,Vendor,"Anixter Contract Awardedto Anixter","Anixter"
2422,Vendor,"Antex Western Awarded","Antex Western"
2449,Vendor,"Apallofus Construction Ltd. Tender Awarded","Apallofus Construction Ltd"
2464,Vendor,"Apollo Video Technology Contract awarded","Apollo Video Technology"
2472,Vendor,"Apple Creek Propagators.Inc Bid Received","Apple Creek Propagators.Inc"
2570,Vendor,"Architecture Arndt Tkalcic Bengert Successful proponent","Architecture Arndt Tkalcic Bengert"
2571,Vendor,"Architecture Arndt Tkalcic Bengert Successful proponent for this RFP","Architecture Arndt Tkalcic Bengert"
2576,Vendor,"Architecture: Arndt Tkalcic Bengert Prequalified for Calder Capilano & Stanley Milner Libraries","Architecture: Arndt Tkalcic Bengert"
2578,Vendor,"Architecture: Arndt Tkalcic Bengert Successfully PreQualified","Architecture: Arndt Tkalcic Bengert"
2695,Vendor,"Aspen Pride Construction Ltd Weighted evaluation","Aspen Pride Construction Ltd"
2715,Vendor,"Associated Engineering Alberta Ltd. Awarded","Associated Engineering Alberta Ltd"
2720,Vendor,"Associated Engineering Alberta Ltd. Pre-Qualified for Request For Proposal","Associated Engineering Alberta Ltd"
2723,Vendor,"Associated Engineering Alberta Ltd. Successful Proponent","Associated Engineering Alberta Ltd"
3155,Vendor,"Bee-Clean Building Maintenance Inc. Received/not reviewed for compliancy","Bee-Clean Building Maintenance Inc"
3213,Vendor,"Berlie Technologies Inc. Weighted Evaluation","Berlie Technologies Inc"
3336,Vendor,"Biomomentum Inc. 2018RSS0027 awarded","Biomomentum Inc. 2018RSS0027"
3360,Vendor,"Bird Construction Ltd Pre-Qualified CM","Bird Construction Ltd"
3370,Vendor,"Bits In Glass Inc. (Bits In Glass) Contract Awarded","Bits In Glass Inc. (Bits In Glass)"
3385,Vendor,"Black & McDonald Limited Weighted Evaluation","Black & McDonald Limited"
3394,Vendor,"Black and McDonald Limited Weighted Evaluation","Black and McDonald Limited"
3479,Vendor,"Bluebird Contracting Services prequalified","Bluebird Contracting Services"
3520,Vendor,"Bobcat of Calgary Awarded","Bobcat of Calgary"
3558,Vendor,"Borden Ladner Gervais LLP Weighted Evaluation","Borden Ladner Gervais LLP"
3568,Vendor,"Borger Earthworks Ltd. Bids have not been reviewd for compliancy or calculation errors","Borger Earthworks Ltd"
3833,Vendor,"BUILDING SCIENCE ENGINEERING LTD. The short listed firms for this EOI were invited to submit a bid in response to the Invitational RFP. Invitational RFP's are not posted on APC so the Bid Results and RFP award information can be found under this Public EOI.","BUILDING SCIENCE ENGINEERING LTD"
3845,Vendor,"Bunt & Associates Engineering (N. Alberta) Ltd. Successful Proponent","Bunt & Associates Engineering (N. Alberta) Ltd"
3847,Vendor,"Bunt & Associates Engineering (N.Alberta) Ltd. (Transportation Planning) Successful Proponent","Bunt & Associates Engineering (N.Alberta) Ltd. (Transportation Planning)"
3908,Vendor,"C Wendy Hugh Interior Design Ltd. The short listed firms for this EOI/VRAES were invited to submit a bid in response to the Invitational RFP. Invitational RFP's are not posted on APC so the Bid Results and RFP award information can be found under this Public EOI/VRAES","C Wendy Hugh Interior Design Ltd"
3985,Vendor,"Calder Bateman Communications bids have not been reviewed for compliancy or calculation errors”","Calder Bateman Communications"
3987,Vendor,"Calder Bateman Communications Weighted Evaluation","Calder Bateman Communications"
4128,Vendor,"Canada Post Corporation Awarded","Canada Post Corporation"
4171,Vendor,"Canadian Industrial Paramedics (Canadian Industrial Paramedics) bid received","Canadian Industrial Paramedics (Canadian Industrial Paramedics)"
