Id,NewKind,OldName
54333,Architect,"Architectura"
54406,Architect,"B+H Bunting Coady Architects"
54337,Architect,"Bas Smith Architect Inc."
54312,Architect,"Bjarke Ingles Group"
70022,Architect,"DA Architects"
54550,Architect,"David Tyrell Architect"
54407,Architect,"David Wilkinson"
54600,Architect,"DIALOG Architecture and P+A Landscape Architecture"
69778,Architect,"DiStefano Jaud Architecture"
54332,Architect,"Ekistics Town Planning Inc."
54264,Architect,"Eric Barker Architect Inc."
54436,Architect,"F. Adab Architect Inc."
70111,Architect,"Frank Gehry"
71049,Architect,"Grant and Sinclair Architects Ltd."
54298,Architect,"Halkier and Associates"
70107,Architect,"Hawkins Brown"
54800,Architect,"Heatherwick Studio"
54266,Architect,"Hulbert Group"
54330,Architect,"Hulbert Group International Inc."
54324,Architect,"Hulburt Group"
69993,Architect,"JM Architecture Inc (Surrey)"
54254,Architect,"KelTec Design"
54491,Architect,"Kengo Kuma Architects and Associates"
54775,Architect,"Kohn Pederson Fox"
54762,Architect,"Kurtz Architecture and Design"
54451,Architect,"Lang Wilson Practice In Architecture Culture"
70104,Architect,"Michael Maltzan Architecture"
70102,Architect,"Morphosis (Thom Mayne)"
54472,Architect,"Musson Cattell Mackay Partnership"
54268,Architect,"New Town Planning and Architecture Services"
54559,Architect,"NSDA Architects and Richard Henry Architect"
70041,Architect,"Number 10 Architects"
69908,Architect,"Patrick Cotter Architect Inc."
70105,Architect,"QDG Architecture"
70101,Architect,"Rafael Moneo"
69757,Architect,"Raffi Architecture"
69694,Architect,"Ramsay Worden Architects"
71154,Architect,"RPK Architects (Rockliff Pierzchajlo Kroman Architects Ltd.)"
69982,Architect,"Simcic Architecture Studio (Vancouver)"
54414,Architect,"Su Casa Design"
54329,Architect,"The Hulbert Group"
54249,Architect,"Ulrick Laska Architectural Corp."
70332,Architect,"yes"
55103,GC,"Adera"
28582,GC,"Humphrey Construction (2015) Ltd"
20517,GC,"PCL CONSTRUCTORS WESTCOAST INC"
23359,GC,"Pro-Can Construction Group Corp"
