Id,NewKind,NewName,OldName
52141,Developer,"Advanced Research and Development","Advanced Research And Development"
1969,GC,"Al Saunders Contracting and Consulting","Al Saunders Contracting and Consulting"
1980,GC,"Alberco Construction Ltd.","Alberco Construction Ltd. Evaluated and verified"
19357,Architect,"Anyone Architecture + Design","Anyone Architecture + Design"
2645,GC,"Arte Roofing and Construction Inc.","Arte Roofing and Construction Inc."
2646,GC,"Arte Roofing and Construction Ltd.","Arte Roofing and Construction Ltd. Service Calls"
44764,GC,"Autumn Fencing and Construction","AUTUMN FENDCING AND CONSTRUCTION"
49285,GC,"Axe Fire Protection and Contracting","AXE FIRE PROTECTION AND CONTRACTING"
48276,GC,"B and S Construction","B and S Construction"
34383,GC,"B.C. Wong Contracting and Development Inc.","B.C. Wong Contracting And Development Inc."
21595,Architect,"Bau Studio + Architecture Inc.","Bau Studio + Architecture Inc."
41608,GC,"Beale and Inch Construction Ltd.","BEALE AND INCH CONSTRUCTION LTD"
42272,GC,"BEG4 Construction","BEG4 BUILDING EXCAVATING AND GROUNDWORKS LTD DBA BEG4 CONSTRUCTION"
3324,Architect,"Binnie & Associates Ltd.","Binnie & Associates Ltd. (Landscape Architects, Sports & Rec, and Civil Eng.)"
29482,Architect,"Birmingham & Wood Architects and Planners","Birmingham & Wood Architects and Planners"
19623,Architect,"Birmingham and Wood Architects","Birmingham and Wood Architects"
3693,GC,"Bremner Engineering and Construction Ltd.","Bremner Engineering and Construction Ltd."
3694,GC,"Bremner Engineering and Construction Ltd.","Bremner Engineering and Construction Ltd. Project Awarded to BECL"
66380,Architect,"Building Science + Architecture Ltd.","Building Science + Architecture Ltd"
25892,GC,"C. Moon Design and Construction Ltd.","C.MOON DESIGN AND CONSTRUCTION LTD."
51093,GC,"Canada Paving and Construction","CANADA PAVING AND CONSTRUCTION"
50991,GC,"Canway Paving and Contracting Inc.","CANWAY PAVING AND CONTRACTING INC"
4435,Developer,"Casey Executive Coaching and Team Development","Casey Executive Coaching and Team Development"
33577,GC,"City and Country Contracting","City and Country Contracting"
32566,Architect,"collabor8 Architecture + Design Inc.","collabor8 Architecture + Design (BC) Inc."
23970,Architect,"collabor8 Architecture + Design Inc.","collabor8 Architecture + Design Inc."
5085,Architect,"collabor8 Architecture and Design Inc.","Collabor8 Architecture and Design Inc."
41809,GC,"Colonial Roofing and Contracting","COLONIAL ROOFING AND CONTRACTING"
62897,Developer,"Community Economic Development and Employability Corporation","COMMUNITY ECONOMIC DEVELOPMENT AND EMPLOYABILITY CORPORATION"
63833,Architect,"Concept Plus Architecture and Engineering Incorporated","Concept Plus Architecture and Engineering Incorporated"
5358,Developer,"Copithorne and Blakely Corporation","COPITHORNE AND BLAKELY CORPORATION, OPERATING AS C&B ADVERTISING Creative Strategy and Content Development"
5464,Architect,"Coupland Kraemer Architecture + Interior Design Inc.","COUPLAND KRAEMER ARCHITECTURE + INTERIOR DESIGN INC."
49820,GC,"Cumberland Paving and Contracting Ltd.","Cumberland Paving and Contracting L"
28938,Architect,"Dandyk + Wollin Architects Inc.","Dandyk + Wollin Architects Inc."
48630,GC,"DD Contracting and Construction Ltd.","DD Contracting and Construction Ltd"
63159,Developer,"DEW Engineering and Development ULC","DEW Engineering and Development ULC"
6179,Architect,"Diamond and Schmitt Architects Inc.","Diamond and Schmitt Architects Inc."
6181,Architect,"Diamond and Schmitt Architects Inc.","Diamond and Schmitt Architects Incorporated (Diamond Schmitt Architects)"
6363,GC,"Double D Bobcat Services and Contracting Ltd.","Double D Bobcat Services and Contracting Ltd"
6364,GC,"Double D Contracting and Constructing Ltd.","Double D Contracting and Constructing Ltd."
44700,GC,"Edmonds Landscape and Construction","EDMONDS LANDSCAPE AND CONSTRUCTION"
20191,Architect,"Elemental Architecture and Interiors Inc.","Elemental Architecture and Interiors Inc."
51419,GC,"Elgin Contracting and Restoration Ltd.","ELGIN CONTRACTING AND RESTORATION L"
47900,GC,"Emmons and Mitchell Construction","Emmons and Mitchell Construction"
35713,Architect,"euoi studio architecture + design","euoi studio architecture + design"
7371,GC,"FENCO Contracting Ltd.","FENCO Contracting LTD. RFP was awarded and evaluated based on scoring criteria provided"
7601,Developer,"Focus 4 Development Ltd.","Focus 4 Development Ltd Focus 4 was awarded Genesis Place snow removal de-ice and sanding"
7719,GC,"Fox's Fencing and Construction","Fox's Fencing and Construction"
43736,GC,"Frank's Electrical and Contracting","FRANK'S ELECTRICAL AND CONTRACTING"
24306,Architect,"Frits de Vries Architects + Associates Ltd.","frits de vries architects + associates ltd"
7828,Architect,"FUSE Architecture + Design","FUSE ARCHITECTURE + DESIGN"
45771,GC,"G & E Roofing and Construction","G & E ROOFING AND CONSTRUCTION"
7859,GC,"G. Daniele and Son's Ltd.","G. Daniele and Son's Ltd. Construction"
51400,GC,"Goobie Rentals and Contracting Ltd.","GOOBIE RENTALS AND CONTRACTING LIMI"
43934,GC,"H MacIsaac and Sons Construction","H MACISAAC AND SONS CONSTRUCTION"
47336,GC,"Harmoni Excavating and Contracting Ltd.","Harmoni Excavating and Contracting Ltd"
27469,Architect,"Harmonic Architecture + Design","Harmonic Architecture + Design"
8829,GC,"Heartland Hauling and Contracting Ltd.","Heartland Hauling and Contracting Ltd. Priority Order: 2nd"
26676,Architect,"Heia Studio Architecture and Design","Heia Studio Architecture and Design"
33938,Architect,"Hessey Consulting + Architecture Inc.","Hessey Consulting + Architecture Inc."
25701,GC,"HL Design and Construction Ltd.","HL Design and Construction Ltd."
24547,Architect,"HNPA Architecture + Planning","HNPA Architecture + Planning"
