Id,NewKind,NewName
44710,GC,"Rocky Layne Construction Ltd"
17977,GC,"Downer Contracting"
3359,GC,"Bird Construction Group Ltd"
11079,GC,"Lorac Construction Ltd."
14793,GC,"Rulam Contracting Ltd."
15933,Architect,"Stantec Architecture"
4332,GC,"Carbon Constructors Inc."
7946,Developer,"Gateway Association for Community Living"
13538,Architect,"Poon McKenzie Architects (Alberta) Inc."
23126,Developer,"Khera Homes Ltd."
937,GC,"Driedger Construction"
47663,GC,"Three Way Construction"
996,GC,"Ripley Construction Ltd"
63809,GC,"AFW Construction Ltd."
63728,GC,"TMR Restoration & Construction Inc."
1055,GC,"ScottLynn Contracting"
1068,GC,"Louvec Contracting"
1153,GC,"Hilliars Contracting"
63168,GC,"Veenstra Contracting"
1177,GC,"Woody Works Contracting"
1246,Developer,"Premiere Custom Homes"
21651,Developer,"2501 Broadway Development Ltd."
47727,GC,"Platinum Builders"
940,Architect,"1080 Architecture, Planning + Interiors"
