Id,NewKind,Name
1313,Architect,"3A Design & Architecture"
1422,Architect,"818 studio ltd. (landscape architects)"
48509,GC,"A & H Hanna Construction"
1485,GC,"A & J Construction"
47037,GC,"A & J Hannna Construction"
44558,GC,"A&A SERVICES & MARINE CONTRACTING L"
44075,GC,"A&A SERVICES & MARINE CONTRACTING LTD."
1508,GC,"A.B. Hollingworth & Son Construction Ltd."
32204,GC,"Abaca Landscaping & Construction Ltd."
61646,Architect,"ABCP Architecture et urbanisme"
66204,Architect,"ABCP Architecture et Urbanisme Ltee"
1598,Architect,"Abugov Kaspar Architecture Interior Design"
46636,GC,"ACCESS CONTRACTING LIMITED"
30637,GC,"Act III Design & Construction Ltd."
49140,GC,"ADRIEN DESBIENS & FILS CONSTRUCTION"
42549,GC,"ADS CONTRACTING (2023) INC."
68091,Architect,"AECOM CANADA ARCHITECTS LDT."
42812,GC,"AFFINITY CONTRACTING & ENVIRONMENTAL LTD"
1864,GC,"AG Creations Inc. (General Contracting)"
45891,Architect,"AGIS ARCHITECTURE & CONSTUCTION E.E"
47239,GC,"Airways Contracting Division of Sun Heating & Air Conditioning Limited"
51559,GC,"ALLEN SERVICES & CONTRACTING LTD."
42216,GC,"ALLIANCE ENGINEERING & CONSTRUCTION"
26844,Architect,"AM Architecture Ontario Ltd"
38029,GC,"Ao & Jie Construction Ltd."
68130,Architect,"AODBT ARCHITECTURE +"
37859,GC,"Aquilini Development & Construction"
2559,Architect,"Arcadis Architects (Canada) Inc."
21534,Architect,"Architelier Architecture & Real Estate Consulting Inc."
26019,GC,"Archspace - WY Design & Construction Ltd."
60942,Architect,"ArhiVA Architects LLP"
57916,Developer,"AUTOMOTIVE TESTING & DEVELOPMENT"
58387,Developer,"AUTOMOTIVE TESTING & DEVELOPMENT SERVICES INC"
48434,GC,"B & S Construction Ltd"
42472,GC,"B.CURRY & SONS CONSTRUCTION LTD"
49330,GC,"BAKER LAKE CONTRACTING & SUPPLIES L"
46011,Architect,"BARON ARCHITECTURE LIMITED"
3037,Architect,"Barr Ryder Architects & Interior Designers"
3088,Architect,"BBB Architects Toronto Inc."
3223,Architect,"Berry Architecture & Associates Limited (Berry Architecture & Associates)"
49519,GC,"Birt & MacKay Construction"
67109,Architect,"BISSON FORTIN ARCHITECTURE +"
66859,Developer,"BLANCHARD TRAINING & DEVELOPMENT CANADA LTD"
3453,GC,"Blue Bird Contracting Services Ltd Awarded to Blue Bird"
3467,GC,"Blue Rose Sales & Services (Blue Rose Contracting)"
3476,GC,"Bluebird Contracting Service Ltd."
3478,GC,"BLUEBIRD CONTRACTING SERVICES LTD"
43281,GC,"BLUECON DESIGN & CONSTRUCTION LTD"
30543,Architect,"Boniface Oleksiuk Politano Architects (BOP)"
43652,GC,"BOYD & BUNGAY CONSTRUCTION LTD"
3690,GC,"Bremner Engineering & Construction Ltd"
52118,GC,"Brighouse Civil Contracting Dtm Ltd"
27213,GC,"Buena Vista West Contracting Corp."
51398,Developer,"BURSEY EXCAVATING & DEVELOPMENT INC"
34512,GC,"C & C Construction"
4051,GC,"Cal-R Contracting 2001 Ltd."
65217,GC,"CANADIAN HOME BUILDERS'"
65426,GC,"CANADIAN HOME BUILDERS ASSOCIATION"
40090,GC,"CAN-AM PLATFORMS & CONSTRUCTION LTD"
4255,GC,"Cannex Contracting 2000 Inc."
4434,Developer,"Casey Executive Coaching & Team Development"
4553,Architect,"CEI Architecture Shortlisted"
41571,GC,"CHRIS MACLEOD CONTRACTING 1999 LTD"
4891,Developer,"City of Lethbridge - Community & Social Development - Approved List"
27448,Architect,"clay architecture & interiors"
42804,GC,"CMB CONTRACTING LIMITED"
42680,GC,"COASTAL BRIDGE & CONSTRUCTION LTD"
67996,Architect,"COHLMEYER ARCHITECTURE LIMITED"
66181,Architect,"Cohlmeyer Associates Architects LTD"
63194,Architect,"Colbourne & Kembel Architects Inc."
63337,Architect,"Colbourne Architectures Inc"
55767,Architect,"COLE & ASSOCIATES ARCHITECTS INC."
33840,GC,"Community Builders Group"
5190,GC,"Complete Contracting & Construction Ltd"
23420,GC,"Constec Designs & Contracting LTD."
5293,GC,"Consun Contracting Primary"
5391,GC,"CorMac Projects Inc. (General & HazMat Contracting)"
5392,GC,"CorMac Projects Inc. (General Contracting)"
5393,GC,"Cormode & Dickson Construction"
50081,GC,"COUGAR ENGINEERING & CONSTRUCTION"
26124,Developer,"CP13 Developments & Consulting Ltd"
50237,GC,"D & D CONTRACTING CALGARY LTD"
5727,Developer,"D & M Developments Inc."
5739,GC,"D. Ray Construction Ltd. Sand & Gravel"
43846,Architect,"DAD ARCHITECTURE DESIGN INC"
26317,Architect,"DAE DESIGN ARCHITECTURE EVERYDAY INC."
5909,GC,"DD Contracting & Construction Ltd."
47498,GC,"DD Contracting & Contruction Ltd."
47545,GC,"DD Contrating & Construction"
28673,Architect,"DeAngelis Architecture The A Studio"
26370,Architect,"delage architecture & design"
6079,GC,"Derksen & Son Construction Ltd"
6111,GC,"Devitt & Forand Construction Ltd."
63128,Developer,"DEW Engineering & Development"
52390,Architect,"DMA, COLE & ASSOCIATES ARCHITECTS I"
53098,GC,"DOBSON CONTRACTING LABRADOR INC."
42947,GC,"DOHEY'S CONTRACTING LIMITED"
43297,GC,"DON MCGINNIS CONTRACTING 2008 LTD"
23021,Developer,"Dore Design & Development"
6362,GC,"Double D Bobcat Services & Contracting Ltd."
28355,GC,"DSC Home Builders Co"
6442,GC,"Du-al Contracting & Developments Ltd."
51744,GC,"DUNHAM'S CONTRACTING (2009) LTD"
32932,GC,"Duron Specialty Contracting Group Ltd."
6489,GC,"Dyck's Cat & Construction"
6512,Developer,"E & E HOMES TRADE NAME OF SHORELINE DEVELOPMENTS INC."
43651,GC,"EBY & SONS CONSTRUCTION LTD"
33771,Developer,"Ecoridge Building & developments Ltd"
20678,GC,"EDYU Group Development & Construction Ltd."
39000,Developer,"Eliquo Training & Development Inc."
48089,GC,"Emmons & Mitchell Construction"
45160,GC,"ENGINEERING & CONSTRUCTION INC."
