LoserId,SurvivorId
1820,1818
1822,1818
1823,1818
1824,1818
1825,1818
1826,1818
3026,68902
4710,4708
4711,4708
4712,4708
4713,4708
4923,4922
4924,4922
4925,4922
4927,4922
4928,4922
6155,6154
6156,6154
6157,6154
6158,6154
6159,6154
6160,6154
6161,6154
6162,6154
6163,6154
6164,6154
6165,6154
6166,6154
6167,6154
6168,6154
6169,6154
6170,6154
6171,6154
6172,6154
6854,22257
6855,22257
6856,22257
6858,22257
7018,7017
7019,7017
9769,59847
10188,69120
11321,54934
11382,11381
11383,11381
12497,12496
13245,13243
13246,13243
13247,13243
13248,13243
13249,13243
13250,13243
13251,13243
13252,13243
13253,13243
13254,13243
13255,13243
14180,14179
14872,14871
18659,18657
18660,18657
18661,18657
18662,18657
18663,18657
18664,18657
18665,18657
18666,18657
18667,18657
18668,18657
19440,69120
21978,54936
24063,55102
28713,8799
31887,69094
32168,6154
37515,4922
47285,6154
47306,13537
48365,22257
48656,13537
48793,22257
49638,69120
51515,54936
53734,38949
54384,68994
54387,68878
54534,54190
54592,54190
55081,38946
59226,6154
61292,69120
61862,68646
63277,18657
63278,2579
63905,1818
63933,1818
65031,6154
65036,6154
68761,69120
68979,22257
69007,8799
