Id,NewKind,Name
39042,Developer,"(E) Canadian Accessiblity Standards Development Organization"
50897,Developer,"1 B DEVELOPMENTS LIMITED"
35640,Developer,"15 Cubes Development Ltd"
50837,Architect,"1X1 ARCHITECTURE INC."
52393,Architect,"4C ARCHITECTURE INC."
19063,Developer,"88 Homes LTD."
1494,Developer,"A LEDUC DEVELOPMENTS 1983 LTD"
36886,Developer,"A S Properties Ltd"
19372,Developer,"A1 Ideal Homes"
23658,Architect,"AA Robins Architect"
67709,Architect,"ABBOTT BROWN ARCHITECTS INCORPORATE"
47928,Architect,"ABCP Architecture"
22441,Developer,"Abstract Homes"
24466,Developer,"AC&PB Developments 2021 LTD"
52656,Developer,"ACADIAN PROPERTIES LTD."
52089,Developer,"Access Property Development Inc."
66684,Architect,"Ace Architecture Inc."
1670,Architect,"ACI Architects Inc. Stephens Kozak ACI"
1695,Developer,"Acreage Development Solutions Ltd"
67440,Architect,"Adamson Associates Architects"
68166,Architect,"ADERO ARCHITECTURE"
26028,Architect,"Advent Architecture Inc"
21271,Developer,"aform development inc."
23252,Developer,"AJ PACIFIC HOMES LTD."
38464,Developer,"AJM Homes"
23845,Developer,"Alabaster Homes"
2046,Developer,"Alberta Rural Development Network"
62111,Architect,"ALCAIDE WEBSTER ARCHITECTS INC."
23780,Architect,"Allan Diamond Architect"
35548,Developer,"Alliance Development Management Ltd."
26187,Developer,"Alliance Partners Development Ltd"
28361,Developer,"Amacon Development (Robson) Corp."
19712,Developer,"Ambleside Developments Ltd."
29133,Developer,"AMC Project Development Ltd."
68154,Architect,"AND ARCHITECTURE INC."
19050,Developer,"Aneek Developments Ltd."
36193,Architect,"Antipodes Architecture Ltd."
23957,Developer,"Arborlea Developments Ltd."
23873,Developer,"Archia Development Ltd."
30011,Architect,"Arcnet Design Architecture Ltd."
28840,Developer,"ARDEN DEVELOPMENT LTD"
65182,Architect,"ARDOISES ARCHITECTURE INC."
25480,Developer,"AREE Developments Ltd"
23995,Developer,"Aria Pacific Development Inc. C/O Aria Pacific Limited Partnership"
22644,Developer,"Arix Developments"
30509,Developer,"armeva custom homes"
50994,Developer,"ARNON DEVELOPMENT CORPORATION"
29225,Architect,"Array Architecture"
66468,Architect,"Artefac Architecture"
19870,Developer,"Articulate Development"
27420,Architect,"Artifact Architecture"
23064,Developer,"Artisan Westcoast Homes Ltd"
25277,Developer,"Artius Developments Inc"
32060,Developer,"Artkonstrukt Development Corp"
30084,Developer,"Asanti Homes"
2751,Architect,"ATB Architecture"
22370,Architect,"Atelier Pacific Architecture Inc."
35993,Developer,"Avali Homes"
27260,Developer,"Avani Homes Ltd."
2881,Architect,"AVID ARCHITECTURE INC."
31087,Architect,"AVRP Architecture Inc."
22270,Developer,"AVS Development Ltd."
46759,Developer,"AXION DEVELOPMENT CORP LTD"
20663,Architect,"b Squared Architecture Inc."
2944,Architect,"B. Kennedy Architecture Inc. (KENNEDY)"
2953,Architect,"B+H Architects"
29586,Architect,"B2 Architecture"
27128,Architect,"Babienko Architects"
38676,Developer,"Balandra Development"
52106,Developer,"Banc Developments Limited"
57186,Developer,"BANFF CENTRE LEADERSHIP DEVELOPMENT"
21827,Developer,"Barber Lane Developments Ltd."
23398,Architect,"Barry R. Johnson Architect"
23998,Developer,"Bata Developments Inc."
24317,Architect,"BattersbyHowat Architects Inc."
3066,Architect,"BattersbyHowat Architects Inc. Small Scope"
24011,Developer,"Belmont Homes Ltd"
3228,Developer,"Best Buy Homes"
59570,Developer,"BEYOND BASICS DEVELOPMENT SERVICES"
59383,Architect,"BGHJ ARCHITECTS"
22255,Developer,"BH Centre Head Corp. c/o Hudson Pacific Properties"
27941,Developer,"Birks Developments LTF"
3377,Architect,"BKDI Architects"
20795,Architect,"Blackwell Architecture Inc."
33653,Architect,"Blanken Barbosa Architecture"
52453,Developer,"BLASTROCK DEVELOPMENTS LTD."
51500,Developer,"BLCS DEVELOPMENT LIMITED"
40505,Developer,"BLUE WATER IRRIGATION DEVELOPMENT LTD"
3497,Developer,"BM Homes Ltd"
26853,Architect,"Bobo Architecture"
25155,Developer,"Boffo Developments (Smithe) Ltd."
32155,Developer,"Bogner Kerrisdale Development Inc."
28392,Developer,"Bolar Development Group Ltd"
18942,Architect,"Bradbury Architecture"
30554,Developer,"Bradford West Developments ltd"
33108,Developer,"Brayton Developments"
28894,Developer,"Bricklane Developments"
31414,Developer,"Brienna Homes Ltd"
20845,Developer,"Bright Coast Homes Ltd."
3803,Architect,"BRZ Partnership Architecture Inc"
22200,Developer,"Bucci Garden Homes Ltd"
3910,Developer,"C&B Alberta Solar Development ULC"
30416,Developer,"Caisley Developments"
4010,Developer,"Calgary Olympic Development Association dba WinSport"
4036,Developer,"CALIBRE DEVELOPMENTS INC"
40211,Architect,"CALNITSKY ASSOCIATES ARCHITECTS INC"
22825,Developer,"Can West Development Ltd"
56841,Developer,"CANADIAN DEVELOPMENT CONSULTANTS"
4158,Developer,"Canadian Development Consultants International"
26682,Developer,"Capital International Home Development Ltd"
29939,Developer,"CARRIAGE WEST HOMES"
24129,Developer,"Casa Loma Homes Ltd."
28435,Developer,"Catalyst Community Development Society"
21707,Developer,"C-Best Homes Ltd"
4494,Architect,"Cbstudio Architecture Inc."
