LoserId,SurvivorId,Note
53516,38947,Ivanhoe Cambridge dup -> La Caisse (CDPQ) [verify-2]
9217,153,IBI Group Architects (Canada) Inc -> Arcadis IBI Group (Arcadis acquisition 2022-09) [verify-8]
46917,50504,E. Holland Contracting Inc -> Holland Power Services Inc. (rename collides with existing active) [verify-9]
4851,4856,CIMA Canada Inc (legal name) -> CIMA+ (operating brand) [verify-10]
54297,69676,James Cheng Architects (mpi=3) -> James K. M. Cheng Architects Inc. (mpi=11; richer record survives) [verify-11]
30665,19491,Gustavson Wiley (misspelling) -> Gustavson Wylie Architects Inc. [verify-12]
11041,66594,LOLA Architectures (trailing-s error) -> LOLA Architecture Inc. (affil=2 survives) [verify-13]
8315,8314,Goss Architectural Design Group (of Lethbridge AB) paren variant -> base record [verify-15]
74133,68749,Kassian Dyck & Associates -> Kassian Dyck & Associates Engineering [verify-16]
11225,11222,Magna Vi Engineering Inc. (IV misread) -> Magna IV Engineering [verify-19]
11533,74130,McIntosh Perry Consulting Engineerings Ltd. -> Egis Canada (acquired 2023-06-30) [verify-6]
11534,74130,McIntosh Perry Infrastructure Engineering Ltd. -> Egis Canada (acquired 2023-06-30) [verify-6]
71169,68740,Eng-Spire (dup) -> Eng-Spire Consulting Inc. (same website; both hold Lischuk affiliations) [bonus, verify-23 evidence]
