LoserId,SurvivorId,Reason
23408,69695,DBA merge: 'Robert Billard DBA: Billard Architecture Inc.' -> canonical 'Billard Architecture Inc.'
26991,70657,DBA merge: 'CALLANDER ARCHITECTURE DBA: CALLANDER ARCHITECTURE' -> canonical 'Callander Architecture'
25575,69724,DBA merge: 'Scott Kennedy DBA: Cornerstone Architecture' -> canonical 'Cornerstone Architecture'
19573,71094,DBA merge: 'Farouk Noormohamed DBA: FNDA Architecture Inc.' -> canonical 'FNDA Architecture Inc.'
31561,71098,DBA merge: 'Michael Cox DBA: Gateway Architecture Inc.' -> canonical 'Gateway Architecture Inc.'
35104,69214,DBA merge: 'Violet Johnston DBA: Johnston Davidson Architecture' -> canonical 'Johnston Davidson Architecture'
20235,69750,DBA merge: 'Phoebe Wu DBA: Matthew Cheng Architect Inc.' -> canonical 'Matthew Cheng Architect Inc.'
27015,68973,DBA merge: 'Alfonso Rojo DBA: OMICRON AEC' -> canonical 'Omicron AEC'
19739,70667,DBA merge: 'Rafael Santa Ana DBA: Rafael Santa Ana Architecture Workshop Inc.' -> canonical 'Rafael Santa Ana Architecture Workshop Inc.'
20040,69781,DBA merge: 'Adam James DBA: Ryder Architecture' -> canonical 'Ryder Architecture'
22444,68974,DBA merge: 'Candice Bollivar DBA: WA Architects' -> canonical 'WA Architects'
35842,71314,DBA merge: 'Janice Abott DBA: Atira Women's Resource Society' -> canonical 'Atira Women's Resource Society'
27238,69655,DBA merge: 'Hans Fast DBA: Fastmark Development' -> canonical 'Fastmark Development'
30476,71022,DBA merge: 'Jia You DBA: Forefield Development Group' -> canonical 'Forefield Development Group'
37293,70956,DBA merge: 'Robert Maylan DBA: Lululemon Athletica' -> canonical 'lululemon athletica'
20348,71025,DBA merge: 'Ross Arbo DBA: Metro Vancouver Housing Corporation' -> canonical 'Metro Vancouver Housing Corporation'
23870,69431,DBA merge: 'Jim Loney DBA: More Than a Roof Housing Society' -> canonical 'More Than a Roof Housing Society'
25823,69175,DBA merge: 'Juan Jose Cruz Martinez DBA: PHSA' -> canonical 'PHSA'
26697,70932,DBA merge: 'Neil Piller DBA: St. George's School' -> canonical 'St. George's School'
31468,70100,DBA merge: 'Samantha Brett DBA: Vancouver Art Gallery' -> canonical 'Vancouver Art Gallery'
22101,69024,DBA merge: 'Natasha Saksman DBA: Vancouver School Board' -> canonical 'Vancouver School Board'
24107,69014,DBA merge: 'Trevor Bestwick DBA: RJC Engineers' -> canonical 'RJC Engineers'
20547,69153,DBA merge: 'Thor Tandy DBA: Unisol Engineering Ltd.' -> canonical 'UNISOL Engineering Ltd.'
27824,69917,DBA merge: 'Thiago Olivera  DBA: Beedie Construction' -> canonical 'Beedie Construction'
34977,70926,DBA merge: 'David Hainsworth DBA: ITC Construction Group' -> canonical 'ITC Construction Group'
24652,71035,DBA merge: 'Jeff Van Ryckeghem DBA: NRB Modular Solutions' -> canonical 'NRB Modular Solutions'
19401,69547,DBA merge: 'Behzad  Zargar DBA: LDR Engineering Group' -> canonical 'LDR Engineering Group'
25921,69553,DBA merge: 'Jack Hui DBA: Pontem Group' -> canonical 'Pontem Group'
36700,69546,DBA merge: 'Fred De Barros DBA: SAF Consulting Group' -> canonical 'SAF Consulting Group'
71271,7414,DBA merge: 'Tomas Graham DBA: Fina Electrical Systems Ltd.' -> canonical 'FINA ELECTRICAL SYSTEMS LTD.'
34954,71357,DBA merge: 'Jason Sorensen DBA: Resolve Interior Concepts' -> canonical 'Resolve Interior Concepts'
