LoserId,SurvivorId
36285,76162
53840,76162
53966,76180
54542,75752
54616,75751
54968,76171
54972,69036
59699,70481
68849,54963
68853,76171
69489,70045
71383,54415
71452,70314
72135,70478
73711,76162
73845,69034
73965,76180
74004,68990
74005,70308
74006,70311
74009,70314
74010,69003
74050,70479
74083,69034
75024,54964
75108,54963
75519,69034
75520,18900
75533,75752
75534,54964
75536,76180
75658,76180
75739,68990
75741,69034
75742,69037
75743,54415
75744,18900
75747,69301
75750,70002
75753,76162
75754,76171
75755,75852
75756,70478
75757,70470
75758,54415
75759,53773
75802,69003
75806,76171
75812,69036
75813,70481
75814,69037
75815,70790
75818,76180
75819,53687
75820,68851
75821,69571
75822,54965
75823,68848
75854,69037
75855,69036
75856,69177
75881,53687
75883,69036
75884,68990
75885,69003
75886,69034
75887,69034
75888,70470
75911,18900
75920,70308
75921,54965
75960,68990
75961,70308
75962,70314
75963,69003
75965,54415
75966,54964
75967,68851
75968,76180
75971,69301
75972,68848
75973,75752
76031,54963
76090,69037
76166,68848
76174,54963
76182,69034
76189,54964
76191,53773
76193,53773
76194,69301
76197,53687
76221,69034
76341,69037
76342,70478
76345,54415
76346,54415
76348,75751
76357,69301
76361,70311
76362,53773
76374,75752
76375,53773
76381,69571
76417,68851
76435,75852
76436,54964
76437,69301
76438,54965
76439,53687
76440,70478
76441,70479
76442,70482
76457,69034
76458,70481
76459,69037
76460,70790
76461,69569
76489,75964
76498,69177
76518,69177
76522,54415
