# PROPOSED 2026-09-04 - NOT YET REVIEWED BY IAN. Delete any row you reject before --commit.
# Source: tools/BdIntegrityCheck org_same_domain_shell_brand_match (tier S1): same WebsiteDomain,
# no public-sector member, no JV-shaped name, every member's name carries the domain's brand label.
# Batch 1 keeps only Kind-compatible pairs (same Kind; survivor a frozen KOR client; loser a
# Client/Unknown/Vendor/Subcontractor; or both Competitor/Architect). Cross-business-line pairs
# and frozen losers are held in docs/bd-duplicate-sweep-2026-09-04/batch2-held-back-2026-09-04.csv.
# Survivor = frozen Kind, else Deltek/Clendor anchor, else richest (people+awards+narratives+KOR
# jobs), else lowest Id. BdCanonicalDedup upgrades the survivor's Kind to the best in the pair.
# Dry run:  dotnet run --project tools/BdCanonicalDedup -- --pairs tools/BdCanonicalDedup/shell-brand-match-merge-2026-09-04.csv
# Full detail per pair: docs/bd-duplicate-sweep-2026-09-04/org_same_domain_shell_brand_match-*.csv
LoserId,SurvivorId
77161,38934
77211,38934
77339,38934
77705,38934
77127,18657
77884,18657
77133,13243
77193,13243
77342,69543
77351,69671
20061,49
55110,202
77635,202
69623,12496
77914,12496
22200,218
77343,69535
77153,68631
77277,68631
77324,8129
76791,68925
77131,68622
77197,68622
77230,68622
77300,68622
77226,54947
77299,54947
77306,54947
38949,167
77312,167
68690,73788
76795,68930
69649,169
71060,169
53900,228
76014,16986
16944,69109
75161,54946
75714,54946
77202,54946
77355,68773
76801,68625
77196,68625
77229,68625
77171,38927
77286,38927
77287,38927
75694,53589
77189,53589
77115,68630
75570,68912
77168,68912
53507,75698
54260,54553
72124,71157
76639,71157
38923,77288
77172,77288
77289,77288
77154,68872
76838,68931
75725,60360
75587,216
77278,68633
77279,68687
54396,193
77831,38974
77155,68874
77319,68706
77357,68774
68890,77101
76886,77101
77878,44
77158,68638
77257,76786
54847,124
77194,54950
77174,68610
77195,68628
77157,68884
69524,70693
77179,38921
77175,38930
75662,54978
77170,68746
77879,32319
77227,54943
73795,75723
77233,77272
75599,22795
53724,53418
75711,68621
73714,77282
77173,77122
77198,77231
53281,76745
53843,94
77284,68891
77803,69659
76850,77205
77156,36278
77186,77223
77203,77270
77880,77219
55100,54035
77225,77190
77215,76877
77730,77876
77711,55050
77760,70548
