TargetOrgId,TargetName,ExistingOrgId,ClendorClientId,DeltekName
76077,Adera Development,38936,CL00004,Adera Development Corp.
76097,Adera Development Corp.,38936,CL00004,Adera Development Corp.
76075,Amacon Construction Ltd.,69649,CL00653,Amacon Construction Ltd.
76517,Aragon Properties Ltd.,69445,CL00015,Aragon Properties Ltd.
76710,Barnett Dembek Architects,69704,CL00453,Barnett Dembek Architects
75477,Berry Architecture + Associates,68976,500bbbf39b724d979b50f3eca443e445,Berry Architecture + Associates Ltd.
75842,Berry Architecture + Associates Ltd.,68976,500bbbf39b724d979b50f3eca443e445,Berry Architecture + Associates Ltd.
76720,BHA Architecture,34472,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.
4771,Chernoff Thompson Architects,71463,71B4D18C2C5940EB9E906CEFB533928A,Chernoff Thompson Architects
76057,Cressey Development Corp.,20061,7091c33ab06e4eb0815500db9ff7b4a4,Cressey Development Corporation
76690,DF Architecture Inc.,24,a211659b4fbc4013887802ad9246fb39,DF Architecture
76308,Ekistics Architecture,71074,1d8f860d6a8d4741b1eb72e12a2a1d81,Ekistics Architecture
76613,Formwerks Architectural,19803,CL00149,Formwerks Architectural Inc.
76713,Gateway Architecture,71098,CL00479,Gateway Architecture Inc.
76160,Greenstone Developments,149,5916b41d5f484390b02f0fa0ff3f1d1c,Greenstone Developments Ltd.
72190,HDR Architecture Associates,70635,651F513E2AEF464EA7378F32AAAC4459,"HDR Architecture Associates, Inc."
76837,HMC Architects,68925,5EA71CBBF09442108C5B1D5E6074FBF1,HMC Architects
76682,Matthew Cheng Architect,69750,CL00490,Matthew Cheng Architect Inc.
76583,Matthews West Ltd.,57,026dc6de23a34d879d33f24d061a681b,Matthews West
75476,Meiklejohn Architects,17,76D6C9A4BBA74FE8A4C8196BE3BF9CFD,Meiklejohn Architects Inc.
76641,Next Architecture Inc.,71134,15b81ee9c46f47c2800a013dcc9e2093,Next Architecture Inc.
76564,Nick Milkovich Architects Inc.,69312,CL00590,Nick Milkovich Architects Inc.
76183,NORR Architects Planners Inc.,12496,C5694C7A98E947F8AD60B435C38F1E06,NORR Architects Planners
76521,NOvation Architecture Ltd.,70681,12b21c1fa2774a23a92ad245598a28b9,Novation Architecture Ltd.
76094,Pennyfarthing Development,53,8699CC24484B47C4A7FEA065CC56ECDC,Pennyfarthing Development Corporation
75793,Perkins&Will,69234,CL00499,Perkins + Will
76056,Rafii Architects,38973,CL00500,Rafii Architects Inc.
76526,Redekop Development,190,CL00351,Redekop Development Corp.
76556,Rize Alliance Properties LP,16,CL00360,Rize Alliance Properties Ltd.
76792,Safdie Rabines Architects,68910,72ca46f59b8748549c5d362d5e8ceca8,Safdie Rabines Architects
76228,Shape Properties Corporation,69631,B74CEF4B40974E24ACBAF61A2AF94BD7,Shape Properties Corp.
75838,STARK Architecture,69169,64eb09fe28d34bcb9ca6ee5e9e9d972d,Stark Architecture
76708,Stuart Howard Architects,42,CL00603,Stuart Howard Architects Inc.
75916,Taylor Kurtz Architecture + Design,23375,CL00400,Taylor Kurtz Architecture + Design Inc.
76503,TL Housing Solutions,69807,B0D0B6908B474A7F84AFC8CFEA8FF64F,TL Housing Solutions Ltd.
76169,Urban Arts Architecture Inc.,69121,CL00422,Urban Arts Architecture
75475,WA Architects,68974,CL00512,WA Architects
76694,Wilson Chang Architect Inc.,55102,5734accb518e4f24b5a18853f5e2a657,Wilson Chang Architect Inc
76677,Yamamoto Architecture Inc.,69660,CL00513,Yamamoto Architecture
75687,Zeidler Architecture,18771,22588EF68B8C4432A7D4829170B286BD,Zeidler Architecture Inc.
76198,Zeidler Architecture Inc.,18771,22588EF68B8C4432A7D4829170B286BD,Zeidler Architecture Inc.
76841,ZGF Architects,38975,CL00514,ZGF Architects Inc.
