OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
19815,ATA Architectural Design Ltd.,Architect,D99676A8FB93461EA780392528DE82F4,ATA Architectural Design Ltd.,1
26632,Banks Architecture & Permitting,Architect,311829d796ea493ab212e4b64c827451,Banks Architecture & Permitting,1
76575,Birmingham & Wood Architects & Planners,Architect,CL00456,Birmingham & Wood Architects & Planners,1
29621,Boldwing Continuum Architects Inc.,Architect,CL00457,Boldwing Continuum Architects Inc.,1
76408,CA Ventures,Buyer,CEA7D87154FC48C3B25E64188E70F3AA,CA Ventures,1
19147,Danesh Architect Inc.,Architect,058e4c976c8a423fb60c360b6a69fcb7,Danesh Architect Inc.,1
76672,District of Sechelt,Buyer,CL00563,District of Sechelt,1
19698,Hearth Architectural,Architect,164e92deeb6743b08e8d56bd35e5f728,Hearth Architectural Inc.,1
76011,James Cheng Architects,Architect,CL00578,James Cheng Architects,1
25254,Jay Jung Architect Inc,Architect,db1743a536ff4d5e9d4da2964f817ed9,Jay Jung Architect Inc.,1
76587,Marcon Group of Companies,Buyer,CL00261,Marcon Group of Companies,1
75180,Solomon Cordwell Buenz,Architect,6ec791b32005420b83a2755db7ac9966,Solomon Cordwell Buenz,1
75871,Traine Construction,Buyer,94067256f0e947e787cc815503a411cc,Traine Construction Ltd.,1
