OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
52393,4C ARCHITECTURE INC.,Architect,1eb46e6182054a008b12246b04607bb6,JC Architecture Inc,0.933
38959,ACDF Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.882
66684,Ace Architecture Inc.,Architect,CL00074,CEI Architecture,0.875
75562,ACI Architects Inc.,Architect,8AD125221437485BBD9B90F70204D7C2,Amu Architects,0.857
69653,ADC Management LP,Buyer,CL00347,RDG Management Ltd.,0.857
76095,Adera Developments,Buyer,CL00004,Adera Development Corp.,0.944
70644,Alan Lowe Architect Inc.,Architect,CL00517,Alan Brown Architect,0.85
25181,Amu:architects,Architect,8AD125221437485BBD9B90F70204D7C2,Amu Architects,0.929
68154,AND ARCHITECTURE INC.,Architect,CL00147,FNDA Architecture Inc.,0.882
68970,AR Architecture,Architect,CL00465,Co.lab Architecture,0.875
68904,ARC Architects,Architect,8AD125221437485BBD9B90F70204D7C2,Amu Architects,0.857
59246,ARCHITECTURE BL INC,Architect,CL00450,Architecture 49,0.867
75569,Architecture49,Architect,CL00450,Architecture 49,0.933
63428,Architectured 49 Inc,Architect,CL00450,Architecture 49,0.938
2751,ATB Architecture,Architect,CL00465,Co.lab Architecture,0.875
2881,AVID ARCHITECTURE INC.,Architect,CL00430,VIA Architecture Inc.,0.882
29586,B2 Architecture,Architect,5AD40D65095A4BFB9FAA98D39DECFDED,M2 Architecture Inc.,0.933
76133,Bastion Developments,Buyer,CL00531,Bastion Development Corporation,0.95
65860,BCW ARCHITECTS,Architect,CL00452,B+H Architects,0.857
59383,BGHJ ARCHITECTS,Architect,CL00452,B+H Architects,0.867
3324,Binnie & Associates Ltd.,Architect,7F5FC69AA92A4B81AF865A9C41CD9109,RF Binnie & Associates Ltd.,0.85
70599,BJK Architecture Inc.,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.875
75564,Bora Architecture,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.882
76134,Bosa Developments,Buyer,CL00047,Bosa Development Corp.,0.941
75785,BR2 Architecture,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.875
68762,BR2 Architecture Inc.,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.875
76790,Carrier Johnson + CULTURE,Architect,D62D60BA598541778D0A8AD979A3D974,Carrier Johnson+Culture,0.957
76504,CEI Architecture Associates Inc.,Architect,651F513E2AEF464EA7378F32AAAC4459,"HDR Architecture Associates, Inc.",0.889
54462,CHP Architects,Architect,CL00452,B+H Architects,0.857
76079,Chris Dikeakos Architect,Architect,CL00462,Chris Dikeakos Architects Inc.,0.96
69273,CMTC Architects,Architect,5EA71CBBF09442108C5B1D5E6074FBF1,HMC Architects,0.867
68840,County of Los Angeles,Buyer,1E9FA981D07E4504B136CBF5C848F86E,City of Los Angeles,0.857
43846,DAD ARCHITECTURE DESIGN INC,Architect,9D935154A8CD458FAE085B74C2636CF2,TKA+D Architecture + Design Inc.,0.917
70590,D-Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.933
33284,DC Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.933
19367,DCYT Architecture,Architect,B59A5B5C097D48428143A4C6B2B5725C,DYS Architecture,0.882
54374,DGBK Architects,Architect,CL00154,GBL Architects Inc.,0.867
873,District of West Vancouver,Buyer,CL00562,District of North Vancouver,0.852
20511,DLP Architecture Inc,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.875
75866,Edgar Developments,Buyer,938af438ab544aba934af94fdc968fb9,Edgar Development,0.944
7083,ERA Architects Inc,Architect,CL00471,EFG Architects,0.857
35713,euoi studio architecture + design,Architect,9e660f3c0ab1403fbe70127a672c3672,Leckie Studio Architecture + Design,0.879
76538,f2a architecture,Architect,ef099f2766a9422fb42689f531d2d1ee,Flat Architecture Inc.,0.882
75914,Faction Projects,Buyer,D284E007D7C54FE69E5551250D206B60,Action Projects Inc.,0.938
70546,Faction Projects Inc.,Architect,D284E007D7C54FE69E5551250D206B60,Action Projects Inc.,0.938
54656,Faulkner Browns Architects,Architect,8ba9e82560164c52b47ada7d5d56d3c5,FaulknerBrowns Architecture Inc,0.852
7350,"FBM Architecture, Interior Design, Planning",Architect,CL00486,Kasian Architecture Interior Design & Planning,0.864
68887,Flad Architects,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.867
70626,Fold Architecture Inc.,Architect,312C54275B714411AA5F27AB04830856,FORT Architecture,0.882
30027,Fougere Architecture Inc,Architect,77145fdc1eaf468b8ef60e323c5d9a3f,Longpre Architecture,0.85
19882,Frahcl Architecture,Architect,CL00568,Francl Architecture Inc,0.947
37560,Frank Architecture,Architect,CL00568,Francl Architecture Inc,0.895
59229,FSA ARCHITECTURE INC,Architect,ef099f2766a9422fb42689f531d2d1ee,Flat Architecture Inc.,0.882
7843,FWBA Architects,Architect,CL00512,WA Architects,0.867
70655,G3 Architecture Inc.,Architect,2E9A6A188399401D93EB759F14ABE7C0,GEC Architecture,0.875
68892,GBD Architects,Architect,CL00154,GBL Architects Inc.,0.929
76885,Gensler,Architect,E1D86E4AEFF742F6B8F009E1EA34EC8D,Gensler,1
8131,gh3 architecture,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.875
61619,GNS Architects,Architect,CL00154,GBL Architects Inc.,0.857
63774,GR7 Architecture Inc,Architect,2E9A6A188399401D93EB759F14ABE7C0,GEC Architecture,0.875
55734,GRC ARCHITECTS INC.,Architect,CL00154,GBL Architects Inc.,0.857
76199,Group2 Architecture Interior Design,Architect,672F104537E045BAA2AD60ADC0925A3F,Noble Architecture + Interior Design,0.857
8538,Group2 Architecture Interior Design Ltd.,Architect,672F104537E045BAA2AD60ADC0925A3F,Noble Architecture + Interior Design,0.857
54746,GTA Architecture,Architect,CL00158,GGA - Architecture,0.938
66444,Guy Architects Ltd.,Architect,CL00154,GBL Architects Inc.,0.857
70605,H Development Group,Buyer,B31F0266BCD64C09B0C1BCB9C9015736,CMP Development Group,0.857
71187,H2 Architecture,Architect,5AD40D65095A4BFB9FAA98D39DECFDED,M2 Architecture Inc.,0.933
66303,HCI Architecture Inc,Architect,CL00074,CEI Architecture,0.875
75512,hcma Architecture,Architect,E3ACA05EE37943C6A2E91FEAB9B30EB0,KMA Architecture,0.882
8799,hcma architecture + design,Architect,7d1537293589432ea3191bdb41ecf15f,CTA Architecture & Design Ltd.,0.917
75995,"HDR | CEI Architecture Associates, Inc.",Architect,651F513E2AEF464EA7378F32AAAC4459,"HDR Architecture Associates, Inc.",0.871
75981,HDR Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.875
76322,HGA Architects,Architect,5EA71CBBF09442108C5B1D5E6074FBF1,HMC Architects,0.857
76836,HRGA Architects,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.867
36196,Human Studio Architecture and Urban Design Ltd.,Architect,FE13A41EFEDB44119B2F9A1C3165458B,Human Studio Architecture + Urban Design,0.905
75864,IBI Group Architects,Architect,CL00058,BTY Group Architects,0.85
54314,IBI/ Henriquez Partners Architects,Architect,CL00482,Henriquez Partners Architects,0.879
23890,J+S Architect Inc.,Architect,e7c96cdeb88648d0bcd5ffd7b0363dd9,JC Architect Inc,0.917
36226,JALM Architecture Inc.,Architect,cef31ccbb1cb4e3a91cb3a5a9fcb6aac,JIM Architecture,0.882
76514,JM Architecture Inc.,Architect,cef31ccbb1cb4e3a91cb3a5a9fcb6aac,JIM Architecture,0.938
9987,JMAA architecture ltd.,Architect,864161bd3d1a4f8487b4955f6a01c114,JHA Architecture,0.882
26600,JP Architect Inc.,Architect,e7c96cdeb88648d0bcd5ffd7b0363dd9,JC Architect Inc,0.917
76407,JWDA,Architect,CL00620,JWDA Inc.,1
23748,JY Architecture Inc.,Architect,1fcff47a751b47a19628dae543186ca4,JYW Architecture Inc.,0.938
55064,Jyom Architecture,Architect,cef31ccbb1cb4e3a91cb3a5a9fcb6aac,JIM Architecture,0.882
75553,Kasian Architecture,Architect,1D186F8B3F6F41FE9AA7B32FE29E4ED9,Salikan Architecture Inc.,0.85
24650,Keck Architecture,Architect,2E9A6A188399401D93EB759F14ABE7C0,GEC Architecture,0.882
72062,Keystone Architecture and Planning,Architect,CL00487,Keystone Architecture & Planning,0.882
23161,KGW Architecture,Architect,CL00158,GGA - Architecture,0.875
