OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
38936,Adera Development Corporation,Developer,CL00004,Adera Development Corp.,1
71876,AES Engineering Ltd.,Competitor,51ED8806403F4308BACAB8BF0BC06BD0,AES Engineering,1
23845,Alabaster Homes,Developer,7333C186584843FA936DF113CD431173,Alabaster Homes,1
23780,Allan Diamond Architect,Architect,CL00519,Allan Diamond Architect,1
49947,Alto Construction Ltd,GC,A96D2444E42C41DB974C1E9CEB5FDAEF,Alto Construction,1
53820,Ampri Group,Developer,61E5C12DB1254FECB694E160630B39F9,Ampri Group,1
54302,Ankenman Marchand Architects,Architect,CL00449,Ankenman Marchand Architects,1
23957,Arborlea Developments Ltd.,Developer,CL00016,Arborlea Developments Ltd.,1
2555,Arc Studio,Architect,a2bcea615c5b469fb08ac523663ef033,Arc Studio,1
22370,Atelier Pacific Architecture Inc.,Architect,CL00525,Atelier Pacific Architecture Inc.,1
71004,Axiom Builders,GC,CL00527,Axiom Builders Inc.,1
20663,b Squared Architecture Inc.,Architect,CL00528,b Squared Architecture Inc.,1
3202,Bentall Kennedy (Canada) LP,Developer,CL00037,Bentall Kennedy (Canada) LP,1
34472,BHA Architecture Inc.,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,1
54928,Bird Construction Inc.,GC,CL00533,Bird Construction,1
26285,Boas Construction,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,1
25155,Boffo Developments (Smithe) Ltd.,Developer,CL00671,Boffo Developments (Smithe) Ltd.,1
69692,Bold Properties,Developer,E75335E4D4404A95A9F4AD9A90F87EED,Bold Properties,1
54759,Boniface Oleksiuk Politano Architects,Architect,8F14D9B8DFA94767AC9D6C361CFCF8EA,Boniface Oleksiuk Politano Architects,1
38943,Bosa Properties,Developer,CL00048,Bosa Properties Inc.,1
43596,BOSTON CONSTRUCTION CORPORATION,GC,25527906151E457AA55F513ADB47A6EA,Boston Construction Corp.,1
53777,British Pacific Properties,Developer,CL00055,British Pacific Properties Ltd.,1
33171,Broadway Subway Constructors General Partnership,GC,244D953FE23F4AEDB18185EA8376E121,Broadway Subway Constructors General Partnership,1
22200,Bucci Garden Homes Ltd,Developer,76D8169F7009491FBAA37C3795872F44,Bucci Garden Homes Limited,1
71032,Cascadian Structural Engineering Inc.,Competitor,e7025344987e407e95c26a7a8770f459,Cascadian Structural Engineering,1
4506,CDC CONSTRUCTION LTD.,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,1
4552,CEI Architecture,Architect,CL00074,CEI Architecture,1
4708,Chandos Construction Ltd.,GC,0a90590b8fc64aaca4d97170a82a4ae9,Chandos Construction,1
54553,Ciccozzi Architecture,Architect,CL00464,Ciccozzi Architecture Inc.,1
53696,Cielo Properties Inc.,Developer,CL00387,Cielo Properties Inc.,1
4922,Clark Builders,GC,C072B47DA68E439AB431C19D3FB4F9F8,Clark Builders,1
28005,CMP Development Group Ltd.,Developer,B31F0266BCD64C09B0C1BCB9C9015736,CMP Development Group,1
29920,co.lab Architecture,Architect,CL00465,Co.lab Architecture,1
70903,Converge Construction,GC,CL00092,Converge Construction,1
54570,Corporation of Delta,Developer,CL00559,Corporation of Delta,1
53661,DAVA Developments,Developer,6f521d70c8f3438eb36d2514b309ebe2,Dava Developments Ltd.,1
19132,David S Mah Architect,Architect,56E92CF01F95442BBC1F5942E6E210F7,David S Mah Architect,1
54318,Davidson Yuen Simpson Architects,Architect,CL00467,Davidson Yuen Simpson Architects,1
49490,Dawson Construction Ltd,GC,CL00104,Dawson Construction Inc.,1
69218,Dawson Wallace Construction,GC,187358EDB2B9429EACCEBBE87427DC2E,Dawson Wallace Construction Ltd.,1
38201,Deecorp Properties Ltd,Developer,CL00106,Deecorp Properties Ltd.,1
54216,Elegant Development Inc.,Developer,CL00130,Elegant Development Inc.,1
54385,Element Lifestyle Retirement Inc.,Developer,CL00621,Element Lifestyle Retirement Inc.,1
6947,Enduro Construction Ltd.,GC,dba4c983101e4990b63d51dedff18e1c,Enduro Construction,1
20891,Entice Developments Ltd.,Developer,706D81F0AD194B2E8B706DA933C534B1,Entice Developments Ltd.,1
70947,ETRO Construction,GC,CL00137,Etro Construction Limited,1
54485,Farzin Yadegari Architect,Architect,CL00473,Farzin Yadegari Architect,1
19925,Feenstra Architecture Inc.,Architect,CL00141,Feenstra Architecture Inc.,1
19803,Formwerks Architectural Inc.,Architect,CL00149,Formwerks Architectural Inc.,1
8129,GGA Architecture,Architect,CL00158,GGA - Architecture,1
71895,Gibraltar Construction,GC,a54d3cef4ebb401f92fb5784e68100ce,Gibraltar Construction,1
22060,Gocan Contracting Ltd,GC,CE79ACEBCDEF4EB3BEA97997AF017259,Gocan Contracting Ltd.,1
36239,Goldcon Construction,GC,d5b5d6a08c3841bfbe8b943f710a97b2,Goldcon Construction,1
20502,Gradual Architecture,Architect,5f5cdf5a23214e19925382ef5dac95af,Gradual Architecture Inc.,1
69232,Graham Construction,GC,2399d6aef0e14476a33c71e2f70683ad,Graham Construction,1
21675,Green Oak Development Corp,Developer,CL00164,Green Oak Development,1
68986,Greyback Construction,GC,e5821f3d16884567a6fdf5b3f6cb4fb0,Greyback Construction Ltd,1
19491,Gustavson Wylie Architects Inc.,Architect,CL00166,Gustavson Wylie Architects Inc.,1
53906,H.Y. Engineering Ltd.,Developer,1C4952F972D44A41920444953C536ECA,H.Y. Engineering Ltd.,1
20756,HANEX DEVELOPMENTS LTD,Developer,999F71DB381D4292945CF20E76D93697,Hanex Developments,1
68983,Heatherbrae Builders,GC,CL00175,Heatherbrae Builders,1
68644,Holland Partner Group,Developer,78701EF7E3CD43819589AE6EFB545F3D,Holland Partner Group LLC,1
51663,ICE DEVELOPMENT LTD.,Developer,CL00193,Ice Development Ltd.,1
19978,Igel Architecture,Architect,fe2f2386042043ebac03ace82874c715,Igel Architecture,1
